评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,信安哥，我也是认真的,3,2020-06-15 09:56
https://weibo.cn//u/6158660703,小柒十八子,女,其他,756,421,64,我没有不是我你别瞎说,2,2020-06-15 09:51
https://weibo.cn//u/6345028642,云南政法,男,云南,39187,828,37034,罕见！同时,9,2020-06-15 11:23
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:,0,2020-07-09 16:16
https://weibo.cn//u/6478725896,临沧政法,女,云南,39101,181,5897,回复@云南政法:,0,2020-06-18 15:49
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-06-18 14:09
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:#安哥辟谣#罕见！同时#支付宝微信辟谣# ：没提供数据,0,2020-06-18 10:51
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云南政法:,0,2020-06-18 07:36
https://weibo.cn//hnqhzf,琼海政法,女,其他,4108,206,62,【罕见！同时,0,2020-06-16 10:53
https://weibo.cn//u/7094264232,迪庆政法,女,其他,5573,156,126,//,0,2020-06-16 09:07
https://weibo.cn//u/3783118447,金昌政法,女,甘肃,7924,102,589,//,0,2020-06-16 08:57
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:,0,2020-06-16 08:27
https://weibo.cn//u/5971693732,残阳熙照,女,海外,5,226,96,蓝绿两家第一次口径这么统一，不过从时间上看，绿色选手反应有点慢,0,2020-06-16 03:11
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-06-15 22:28
https://weibo.cn//338225253,明月爱威威,女,四川,37620,1335,3472,不信谣不传谣，只信官方消息,1,2020-06-15 19:17
https://weibo.cn//u/7041296958,和谐昭通,女,其他,8470,57,308,//,0,2020-06-15 18:53
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,//,0,2020-06-15 17:11
https://weibo.cn//hncaw,海南政法,男,海南,34785,340,19558,【罕见！同时,0,2020-06-15 17:07
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-06-15 17:02:26 来自网页,0,2020-06-15 17:02
https://weibo.cn//u/6016531170,福建长安网,男,福建,10509,97,18273,不听谣，不信谣，一起抵制谣言,0,2020-06-15 16:58
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,罕见！同时,0,2020-06-15 16:22
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39468,343,58380,不信谣不传谣,0,2020-06-15 16:14
https://weibo.cn//u/6507798592,五原政法,男,内蒙古,5318,17,1242,不信谣不传谣，转起来一起抵制谣言！,0,2020-06-15 16:02
https://weibo.cn//u/6432311474,内蒙古长安网,男,内蒙古,18633,291,14578,不信谣不传谣，转起来一起抵制谣言！,1,2020-06-15 16:01
https://weibo.cn//u/6507705373,平安青浦,女,其他,3555,42,224,在辟谣这件事上，我们都是认真的！ ,0,2020-06-15 15:47
https://weibo.cn//u/5078003525,武昌检察,男,湖北,14880,3229,1271,//,0,2020-06-15 15:09
https://weibo.cn//u/6385754865,怒江政法,男,云南,21462,76,4316,//@云南政法: #安哥辟谣#罕见！同时#支付宝微信辟谣# ：没提供数据     举报             赞[0]         回复             2020-06-15 14:43:22 来自网页,0,2020-06-15 14:43
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:,0,2020-06-15 13:48
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,罕见！同时,0,2020-06-15 13:48
https://weibo.cn//u/5191076307,桃山区人民法院,男,黑龙江,5539,436,444,不信谣，不传谣,0,2020-06-15 13:42
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:不信谣不传谣,0,2020-06-15 13:09
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,回复@中国长安网:知道。对谣言说不,1,2020-06-15 12:55
https://weibo.cn//u/5216373347,zhuleileileilei,女,北京,597,41,2,不信谣、不传谣,0,2020-06-15 12:54
https://weibo.cn//u/2735734495,仙女云朵派nana,女,其他,237,169,293,不信谣，不传谣,0,2020-06-15 12:46
https://weibo.cn//u/7442338804,长安田头,女,其他,2897,49,29,不信谣，不传谣,0,2020-06-15 12:35
https://weibo.cn//u/3677837702,大庆市大同区人民法院,男,黑龙江,41047,97,2895,转发微博,0,2020-06-15 12:15
https://weibo.cn//ibel913,Ibel知秋不,女,上海,1324,469,672,支付宝辟谣,0,2020-06-15 11:42
https://weibo.cn//zjfxj,浙江政法,男,浙江,12097,502,161634,【罕见！同时,0,2020-06-15 11:38
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:,0,2020-06-15 11:31
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-06-15 11:29
https://weibo.cn//wuqingxiaoyu032,庆安县人民法院,男,黑龙江,20117,489,1891,关注中,0,2020-06-15 11:28
https://weibo.cn//u/6345028642,云南政法,男,云南,39187,828,37034,罕见！同时,9,2020-06-15 11:23
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3897,信安哥就对了,6,2020-06-15 11:19
https://weibo.cn//u/2293546747,龙云飞扬的天使,男,山东,764,49,38,这个可以有,0,2020-06-15 11:18
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12789502,回复@安·四格镁铝·哲斯安格硕德:认准官方信源，不信谣不传谣,2,2020-06-15 10:53
https://weibo.cn//u/6509850579,二连浩特政法,男,内蒙古,3980,54,156,安哥：在辟谣这件事上，我们都是认真的！ ,0,2020-06-15 10:51
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12789504,回复@小柒十八子:认真辟谣 评论配图,1,2020-06-15 10:51
https://weibo.cn//u/2546931623,Oo柠小檬oO,女,福建,785,156,174,安哥日常辟谣,3,2020-06-15 10:32
https://weibo.cn//u/2750076485,哈哈妖精哈,女,江苏,360,31,67,不传谣,0,2020-06-15 10:32
https://weibo.cn//u/3379780532,甘肃白银政法,男,甘肃,7239,196,10757,//,0,2020-06-15 10:31
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,不信谣不传谣，信安哥就对了,2,2020-06-15 10:27
