评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,安哥这又是为辟谣跑断腿的一天,11,2020-06-15 14:55
https://weibo.cn//u/1401376167,净-东方净,女,北京,2162,755,311,安哥：每临大事有静气，遇到谣言我不信！（摆摆手.gif）我在北京，表示我没听到过,8,2020-06-15 15:12
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,安哥：每临大事有静气，遇到谣言我不信！,4,2020-06-15 14:51
https://weibo.cn//u/6504515905,黑白816,女,其他,3987,161,38,加油,0,2020-06-20 21:02
https://weibo.cn//u/6498445688,大兴安岭反邪教,女,其他,1534,115,169,谣言止于智者,0,2020-06-20 16:25
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-06-16 18:15:16 来自网页,0,2020-06-16 18:15
https://weibo.cn//u/5253233831,虎林法院,女,黑龙江,17176,210,2732,不传谣不信谣不造谣,0,2020-06-16 16:19
https://weibo.cn//u/5657467194,宜宾网警巡查执法,男,四川,4344,649,5589, 【别信，别信，别信！关于北京疫情，这些都是谣言！】,0,2020-06-16 14:58
https://weibo.cn//u/6544520222,丰台政法,男,北京,527,10,128,不信谣不传谣//,0,2020-06-16 10:06
https://weibo.cn//u/3677837702,大庆市大同区人民法院,男,黑龙江,41047,97,2895,转发微博,0,2020-06-16 09:37
https://weibo.cn//u/6509850579,二连浩特政法,男,内蒙古,3980,54,156,安哥：每临大事有静气，遇到谣言我不信！,1,2020-06-16 09:34
https://weibo.cn//u/5051719119,鹤岗市绥滨县法院,男,黑龙江,3853,1499,810,转发微博,0,2020-06-16 08:46
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-06-15 22:28
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3577,5768,3897,遇到谣言我不信,6,2020-06-15 21:20
https://weibo.cn//338225253,明月爱威威,女,四川,37620,1335,3472,科学防疫，不信谣，不传谣，只信官方消息,1,2020-06-15 19:14
https://weibo.cn//u/1017985247,刘____海,男,新疆,1347,317,106,谢谢造谣，传谣的要严办！,0,2020-06-15 18:39
https://weibo.cn//u/2735734495,仙女云朵派nana,女,其他,237,169,293,不信谣，不传谣,1,2020-06-15 18:32
https://weibo.cn//u/5934229185,玉林反邪,男,广西,51613,251,1203,【别信，别信，别信！关于北京疫情，这些都是谣言！】,0,2020-06-15 17:40
https://weibo.cn//JiangSuRugaopolice,如皋市公安局,男,江苏,42171,2039,199912,//@江苏政法: 关于北京疫情，这些都是谣言！别信，别信，别信！     举报             赞[0]         回复             2020-06-15 17:31:25 来自网页,0,2020-06-15 17:31
https://weibo.cn//u/2627021165,黄埔检察,男,广东,14278,4567,20950,【别信，别信，别信！关于北京疫情，这些都是谣言！】,0,2020-06-15 17:21
https://weibo.cn//u/1401376167,净-东方净,女,北京,2162,755,311,回复@中国长安网:嗯，我可听话了，全副武装,0,2020-06-15 17:17
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12789404,回复@净-东方净:北京的安侠出门记得戴好口罩哦！,1,2020-06-15 17:16
https://weibo.cn//u/6017714941,庆城政法,男,甘肃,2182,51,110,【别信，别信！关于北京疫情，这些都是谣言！】近日，随着新冠病毒“滋生”了一批谣言，待安哥为大家逐一消灭：①北京核酸阳性患者去欢乐谷游玩？②灯市口稻香村确诊一个？③育民小学某家长传染给孩子？④燕郊一家三口发烧？⑤华熙LIVE·五棵松沦陷？安哥：每临大事有静气，遇到谣言我不信！,0,2020-06-15 17:14
https://weibo.cn//u/3888859297,三水政法,男,广东,1051,70,113,【别信，别信，别信！关于北京疫情，这些都是谣言！】,0,2020-06-15 17:12
https://weibo.cn//u/5830678657,鼹鼠鼹鼠_我是地瓜,女,浙江,2306,145,71,看官博发声它不香吗,0,2020-06-15 17:02
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-06-15 17:00:11 来自网页,0,2020-06-15 17:00
https://weibo.cn//u/5241525284,逊克法院,男,黑龙江,14794,267,236503,转发微博,0,2020-06-15 16:59
https://weibo.cn//u/7460081317,大庆市卧里屯分局,男,其他,650,32,13,每有大事发生，大家越要冷静，多看主流媒体，少听小道信息。以造谣传谣为耻，多看安哥动态。,0,2020-06-15 16:54
https://weibo.cn//dqgxqfy,大庆高新区法院,男,黑龙江,45228,631,9267,     举报             赞[0]         回复             2020-06-15 16:53:51 来自网页,0,2020-06-15 16:53
https://weibo.cn//u/6016531170,福建长安网,男,福建,10509,97,18273,这些谣言，勿信！,0,2020-06-15 16:35
https://weibo.cn//u/1457665780,立青echo,女,北京,1850,734,117,辟谣跑断腿,0,2020-06-15 16:35
https://weibo.cn//u/7368172547,红山政法,女,内蒙古,3220,111,39,每临大事有静气，遇到谣言我不信！,0,2020-06-15 16:31
https://weibo.cn//jiangjinjiancha,江津检察,男,重庆,39511,140,7500,【别信，别信，别信！关于北京疫情，这些都是谣言！】,0,2020-06-15 16:30
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,回复@中国长安网:学起学起，对谣言说不(摆摆手.gif）,0,2020-06-15 16:23
https://weibo.cn//u/6933060187,默默女友粉,女,其他,46,10,3,赶紧结束吧，我要吃庞各庄的西瓜,0,2020-06-15 16:22
https://weibo.cn//138304188k,博法夹规,男,湖北,1171,240,112,心惊报又在给它美爹洗地了,0,2020-06-15 16:19
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,不容谣言乱人心！,0,2020-06-15 16:19
https://weibo.cn//ljxlwb,龙检新媒,男,黑龙江,1990,222,753,别信！别信！ ,0,2020-06-15 16:13
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39468,343,58380,不信谣不传谣！,0,2020-06-15 16:11
https://weibo.cn//u/1830849682,凌源公安,女,辽宁,25651,2041,15834,【别信，别信，别信！关于北京疫情，这些都是谣言！】,0,2020-06-15 16:11
https://weibo.cn//u/6197693424,不吃鱼的团子,女,其他,137,109,8,图一那个 不知道真假还乱发,0,2020-06-15 16:08
https://weibo.cn//sdzfw,北京政法,男,北京,30039,849,1182111,不容谣言乱人心！,1,2020-06-15 16:03
