评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,安哥，这个假消息集体翻车了,20,2020-06-22 14:56
https://weibo.cn//u/6345028642,云南政法,男,云南,39187,828,37033,经查此为谣言，证实车主仍在世。,10,2020-06-22 15:33
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,好庆幸这是个假消息,10,2020-06-22 15:13
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:,0,2020-07-16 15:47
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:,0,2020-06-30 16:40
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:#安哥辟谣##鄂牌车车主因新冠去世未挪车系谣言#经查此为谣言，证实车主仍在世。,0,2020-06-28 08:46
https://weibo.cn//u/7295342982,肇州政法,女,其他,1164,10,7,自己的车辆要好好管理，不然自己都不知道会被别人编成什么故事,0,2020-06-26 12:25
https://weibo.cn//u/6678987118,让胡路政法,男,黑龙江,2959,27,12,不信谣不传谣！！！！,0,2020-06-24 17:17
https://weibo.cn//u/6360547889,德宏政法,男,云南,31401,186,1014,回复@云南政法:谣言,0,2020-06-24 15:07
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:谣言,0,2020-06-24 14:09
https://weibo.cn//hszfw999,和顺县政法委,男,山西,5430,275,228,//,0,2020-06-24 10:13
https://weibo.cn//u/7331278303,徐文胜2019,男,山东,9940,1467,978,山东潍坊城管暴力犯罪无人管，美好词语再多，法律再好，基层不执行，家法大于国法，我被社区书记吕永芬诬告进拘留所，她组织城管及社会人员把我家属绑架、拘禁、抢夺走手机并刷了机，去多级部门反映均互相推诿，案件发生一年有余，官官相护，老百姓该信谁,0,2020-06-24 00:02
https://weibo.cn//u/6542199403,林西县大井镇政法宣传,男,其他,9388,408,230,转发微博,0,2020-06-23 18:54
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:#安哥辟谣##鄂牌车车主因新冠去世未挪车系谣言#经查此为谣言，证实车主仍在世。,0,2020-06-23 18:03
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,经查此为谣言，证实车主仍在世。,0,2020-06-23 18:02
https://weibo.cn//u/6364431662,永平政法,男,云南,9626,43,583,//,0,2020-06-23 17:36
https://weibo.cn//u/6478725896,临沧政法,女,云南,39101,181,5897,回复@云南政法:谣言真的是传得快,0,2020-06-23 17:16
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:,0,2020-06-23 17:09
https://weibo.cn//u/1140508295,sxllww,男,北京,2869,478,584,能对源头进行惩罚么？,0,2020-06-23 13:33
