评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6345028642,云南政法,男,云南,39185,828,37031,不造谣，不传谣！,7,2020-12-29 14:19
https://weibo.cn//u/5915215161,重庆检察,女,重庆,77772,1733,682174, 【辽宁省高速公路封闭了？假的！】,1,2020-12-28 20:51
https://weibo.cn//gxzzqdwzfw,广西政法,男,广西,30061,1561,245000,辟谣！,0,2020-12-29 13:40
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:,0,2020-12-31 23:00
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云南政法:不信谣不传谣,0,2020-12-31 20:04
https://weibo.cn//u/7041296958,和谐昭通,女,其他,8470,57,308,回复@云南政法:不传谣,0,2020-12-31 15:06
https://weibo.cn//u/6478725896,临沧政法,女,云南,39101,181,5897,回复@云南政法:不传谣！,0,2020-12-31 11:16
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:不造谣，不传谣！,0,2020-12-30 22:03
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:不造谣，不传谣！,0,2020-12-30 21:58
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-12-30 15:24
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165, 【辽宁省高速公路封闭了？假的！】,0,2020-12-30 12:04
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:不造谣，不传谣！,0,2020-12-29 16:55
https://weibo.cn//u/5198616588,巨野县人民检察院,男,山东,16453,61,516,//,0,2020-12-29 16:50
https://weibo.cn//u/3379780532,甘肃白银政法,男,甘肃,7239,196,10757, 【辽宁省高速公路封闭了？假的！】,0,2020-12-29 16:46
https://weibo.cn//u/1663521665,大庆检察,男,黑龙江,13166,2029,3228, 【辽宁省高速公路封闭了？假的！】,0,2020-12-29 16:41
https://weibo.cn//u/5198616588,巨野县人民检察院,男,山东,16453,61,516,转发微博,0,2020-12-29 16:38
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-12-29 16:10:30 来自网页,0,2020-12-29 16:10
https://weibo.cn//u/3746607642,杜尔伯特县法院,男,黑龙江,76187,750,12436, 【辽宁省高速公路封闭了？假的！】,0,2020-12-29 16:04
https://weibo.cn//u/6363694281,丽江政法,男,云南,20656,113,1010,不造谣，不传谣,0,2020-12-29 15:16
https://weibo.cn//u/6345028642,云南政法,男,云南,39185,828,37031,不造谣，不传谣！,7,2020-12-29 14:19
https://weibo.cn//gxzzqdwzfw,广西政法,男,广西,30061,1561,245000,辟谣！,0,2020-12-29 13:40
https://weibo.cn//u/1892866295,库车反邪教,男,新疆,4383,151,887,加油,0,2020-12-29 12:34
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-12-29 11:43
https://weibo.cn//u/5341858893,青海政法,男,青海,42898,692,45805, 辽宁省高速公路封闭了？假的！,0,2020-12-29 10:51
https://weibo.cn//u/3400834320,宜昌市葛洲坝人民检察院,男,湖北,31502,123,700,转发微博,0,2020-12-29 10:36
https://weibo.cn//u/6224464042,咸阳政法,男,陕西,13172,1091,30237,【辽宁省高速公路封闭了？假的！】近日，网传受疫情影响，辽宁省高速公路封闭了。据,0,2020-12-29 10:13
https://weibo.cn//u/6231817002,邱雅妍DianNa,女,广东,7348,4034,118,回复@内蒙古长安网:,0,2020-12-29 09:56
https://weibo.cn//u/6432311474,内蒙古长安网,男,内蒙古,18630,291,14578,不造谣，不传谣，以官方消息为准，作理智聪明的网络用户。,0,2020-12-29 09:47
https://weibo.cn//u/7469241252,潍坊刘梅花,女,山东,941,1084,165,     举报             赞[0]         回复             2020-12-29 09:43:58 来自网页,0,2020-12-29 09:43
https://weibo.cn//wuqingxiaoyu032,庆安县人民法院,男,黑龙江,20117,489,1891,关注中,0,2020-12-29 09:28
https://weibo.cn//u/5241524439,五大连池法院,男,黑龙江,17633,488,237337,【辽宁省高速公路封闭了？假的！】,0,2020-12-29 09:21
https://weibo.cn//u/3677837702,大庆市大同区人民法院,男,黑龙江,41047,97,2895,转发微博,0,2020-12-29 09:01
https://weibo.cn//u/7300713988,肇州司法,女,其他,266,13,18,不造谣，不传谣，以官方发布信息为准。,0,2020-12-29 08:57
https://weibo.cn//u/5219603913,鸡东法院微博,女,黑龙江,13314,110,4017,辽宁省高速公路封闭了？假的！,0,2020-12-29 08:53
https://weibo.cn//u/1084854274,常德中院,男,湖南,14299,459,83210, ,1,2020-12-29 08:47
https://weibo.cn//u/6509850579,二连浩特政法,男,内蒙古,3980,54,156,安哥：不造谣，不传谣，以官方发布信息为准。,0,2020-12-29 08:44
https://weibo.cn//u/2709616183,Tiramisu-微笑,男,河南,5033,105,609,不信谣，不传谣。坚决打赢疫情防控阻击战！,0,2020-12-29 08:33
https://weibo.cn//u/1029824953,明道子曰,男,辽宁,806,71,1187,对在互联网上的造谣者的处罚，应该从重处罚！！！,0,2020-12-29 07:58
https://weibo.cn//u/3009016771,幽幽3009016771,女,其他,1182,150,24,     举报             赞[0]         回复             2020-12-29 07:23:31 来自网页,0,2020-12-29 07:23
https://weibo.cn//u/7445495572,桃夭华酱,女,其他,266,9,2,不要轻信谣言！！,0,2020-12-29 07:20
https://weibo.cn//u/7467336475,拓跋紫玉走江湖,女,上海,624,276,13,不信谣不传谣！,0,2020-12-29 00:42
https://weibo.cn//jxmsjcy,麻山区人民检察院,男,黑龙江,4026,54,114, 【辽宁省高速公路封闭了？假的！】,0,2020-12-28 23:45
https://weibo.cn//u/5692876955,邱太阳V,女,辽宁,739,162,44,不造谣、不信谣、不传谣！,0,2020-12-28 22:54
https://weibo.cn//u/5604333173,中华义勇军格格,女,辽宁,80107,1649,2136,假的假的假的，造谣者一定要严惩,0,2020-12-28 22:31
https://weibo.cn//u/6385998266,绳志新_自然,男,湖南,27,12,1,就每天在期待着演啥,0,2020-12-28 22:25
https://weibo.cn//ritagu,鸭梨山大的塔塔,女,广东,1619,406,234,不信谣不传谣！,0,2020-12-28 22:23
https://weibo.cn//u/7362814443,奋斗的娲牛,男,其他,64,13,1,不传谣不造谣,0,2020-12-28 22:11
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-12-28 21:26:22 来自网页,0,2020-12-28 21:26
