评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//xiaoxuan06,炫炫炫小炫,女,广东,2347,216,280,一个敢卖一个敢买？？ 举报 赞[11] 回复 2020-08-13 17:29:48 来自网页,11,2020-08-13 17:29
https://weibo.cn//u/3956937456,男神太多ID写不下,女,广西,31612,735,375,我收到的版本倒不是买，是叫入股，十万块起步，说是全国这个需求量，稳赚,9,2020-08-13 17:09
https://weibo.cn//u/6345028642,云南政法,男,云南,39186,828,37032,相信科学，别信谣言,9,2020-08-13 23:56
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:相信科学,0,2020-08-27 15:06
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,回复@云南政法:,0,2020-08-26 10:38
https://weibo.cn//u/6478725896,临沧政法,女,云南,39101,181,5897,回复@云南政法:不信谣，不传谣，借疫情赚“黑心钱”，“银手环”在等着！,0,2020-08-21 10:29
https://weibo.cn//u/5831810251,吾皇之泪,男,上海,395,615,23,千万不能相信,0,2020-08-20 08:10
https://weibo.cn//hnqhzf,琼海政法,女,其他,4108,206,62,【498元一支！朋友圈的新冠疫苗千万别买,0,2020-08-17 10:10
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:相信科学，别信谣言,0,2020-08-17 09:05
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,相信科学，别信谣言,0,2020-08-17 09:04
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云南政法:相信科学,0,2020-08-16 16:01
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:相信科学，别信谣言,0,2020-08-15 18:02
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:相信科学，别信谣言,0,2020-08-15 17:29
https://weibo.cn//ZiYunGongAn,紫云县公安局,男,贵州,2065,179,1806,警惕！！,0,2020-08-14 20:34
https://weibo.cn//u/3173334254,金州司法,男,贵州,2632,277,6613,相信科学，别信谣言,0,2020-08-14 16:16
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:不信谣，不传谣,0,2020-08-14 15:21
https://weibo.cn//u/5241524439,五大连池法院,男,黑龙江,17633,488,237337,相信科学，别信谣言！,0,2020-08-14 15:13
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-08-14 15:12
https://weibo.cn//u/6176174063,四川长安网,男,四川,20076,848,231963,救不了命，只是谋财害命！,0,2020-08-14 14:48
https://weibo.cn//hszfw999,和顺县政法委,男,山西,5430,275,228,//,0,2020-08-14 11:31
https://weibo.cn//hefeiga,合肥警方,男,安徽,15688,958,710037,朋友圈的新冠疫苗千万别买,0,2020-08-14 11:24
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-08-14 10:58
https://weibo.cn//u/6550099712,灵石政法,男,山西,8135,173,106,//,0,2020-08-14 10:09
https://weibo.cn//u/6039800615,徐州经开区平安在线,男,江苏,4639,7,67,相信科学，别信谣言！,0,2020-08-14 10:00
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-08-14 09:46
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:嘿。真是一个敢卖，一个敢买,0,2020-08-14 09:31
https://weibo.cn//sxgazx,淮北濉溪公安在线,男,安徽,36915,1144,260765,相信科学，别信谣言！,0,2020-08-14 09:30
https://weibo.cn//u/5219603913,鸡东法院微博,女,黑龙江,13314,110,4017,相信科学，别信谣言！,0,2020-08-14 09:14
https://weibo.cn//wuqingxiaoyu032,庆安县人民法院,男,黑龙江,20117,489,1891,关注中,0,2020-08-14 09:11
https://weibo.cn//u/1749192350,左权_政法,女,山西,7188,30,47,//,0,2020-08-14 08:39
https://weibo.cn//u/6230378306,糖豆人wuhu,男,其他,138,58,1,不信谣不传谣,0,2020-08-14 08:29
https://weibo.cn//u/3272980043,晋中政法,男,山西,11932,164,3333,//,0,2020-08-14 08:17
https://weibo.cn//jxzfw,江西政法网,男,江西,4059,272,12490,498元一支！朋友圈的新冠疫苗千万别买！,0,2020-08-14 07:16
