评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1881372322,KittHarris,女,浙江,1660,2906,502,用科学对待这病毒，一定要做好防疫措施,3,2020-08-14 11:40
https://weibo.cn//u/3290571832,鹤弦子,男,广东,657,531,307,跟着安哥涨姿势,1,2020-08-14 12:17
https://weibo.cn//u/6345028642,云南政法,男,云南,39186,828,37032,记得带好口罩,10,2020-08-14 23:31
https://weibo.cn//u/2807440757,门口卖脆枣的,男,河北,334,566,265,都是官方号啊,0,2020-11-28 23:50
https://weibo.cn//u/6618444643,一杯橙汁去冰去糖,女,广东,177,154,10, 看这个,0,2020-11-12 17:11
https://weibo.cn//u/5020312581,凤梨好次好次,女,其他,577,466,220,@凤梨好次吗,0,2020-11-12 01:48
https://weibo.cn//u/6364395726,大理政法,男,云南,40605,153,11127,回复@云南政法:做好个人防护,0,2020-09-01 11:02
https://weibo.cn//u/3806438262,昆明市委政法委,男,云南,29284,270,12211,回复@云南政法:戴好口罩,0,2020-08-27 15:08
https://weibo.cn//u/6336558648,西双版纳政法,男,云南,24841,186,4877,     举报             赞[0]         回复             2020-08-26 10:11:53 来自网页,0,2020-08-26 10:11
https://weibo.cn//u/6478725896,临沧政法,女,云南,39101,181,5897,回复@云南政法:再唠叨一句，做好个人防护很重要哦！,0,2020-08-24 09:45
https://weibo.cn//qjzfw,平安曲靖,女,其他,29268,187,29371,回复@云南政法:防护不能懈怠,0,2020-08-21 15:43
https://weibo.cn//u/3917140004,伊春市金林区人民法院,女,黑龙江,8507,24,16647,做好个人防护,0,2020-08-20 10:07
https://weibo.cn//u/5083369597,平安鸡西,男,黑龙江,7687,103,1676,复阳≠复发！复阳≠再次患病！,0,2020-08-18 14:10
https://weibo.cn//u/6360547889,德宏政法,男,云南,31401,186,1014,回复@云南政法:还是要做好防护,0,2020-08-18 09:11
https://weibo.cn//u/6606580144,commanderss-in-chief,女,海外,37,185,84,也就是说，这个病毒一直存在！,0,2020-08-17 20:10
https://weibo.cn//hnqhzf,琼海政法,女,其他,4108,206,62,复阳≠复发！复阳≠再次患病！,0,2020-08-17 10:14
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,回复@云南政法:做好防护！,0,2020-08-17 09:24
https://weibo.cn//bszfw,保山政法,男,云南,41743,268,123313,做好防护很重要！,0,2020-08-17 09:24
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-08-17 09:16
https://weibo.cn//u/6342621923,红河政法,男,云南,39793,171,2468,回复@云南政法:一定要做好个人防护,0,2020-08-17 08:48
https://weibo.cn//u/7311913737,楚雄州政法,女,云南,23295,177,675,回复@云南政法:记得带好口罩,0,2020-08-17 08:31
https://weibo.cn//u/6348346023,玉溪政法,男,云南,41149,253,2892,回复@云南政法:,0,2020-08-15 16:58
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-08-15 10:18
https://weibo.cn//u/7467336475,拓跋紫玉走江湖,女,上海,624,276,13,涨姿势了！,0,2020-08-15 00:48
https://weibo.cn//u/6345028642,云南政法,男,云南,39186,828,37032,记得带好口罩,10,2020-08-14 23:31
https://weibo.cn//u/1924451845,爱哭的鱼宝,女,湖北,546,725,251,关键是复阳，本人可能没有症状，但有没有传染性，这还是没有定论，所以一定要做好防护！,1,2020-08-14 23:09
https://weibo.cn//u/6443448750,黑心小姑娘,男,上海,1483,682,217,溜出去玩玩玩,0,2020-08-14 22:26
https://weibo.cn//u/5292828551,天涯客有梦想,男,宁夏,1127,231,13,转发微博,0,2020-08-14 21:48
https://weibo.cn//sxzf,山西政法,男,山西,36874,278,23125,做好个人防护！,0,2020-08-14 21:32
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,科学防疫不恐慌，讲究卫生很重要,3,2020-08-14 20:54
https://weibo.cn//u/2831948434,多昂拉姆,女,海南,2117,231,78,好专业，只记住重点是复阳不是复发,0,2020-08-14 19:38
https://weibo.cn//u/6183813333,西藏政法,男,西藏,11240,211,13694,复阳≠复发！复阳≠再次患病,0,2020-08-14 18:37
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39467,343,58380,做好个人防护，不要恐慌，不信谣不传谣。加油！,0,2020-08-14 17:27
https://weibo.cn//u/5985910168,和平政法综治,女,天津,2075,41,128,强防护，不恐慌，信科学，不传谣，做好个人防护很重要！！,0,2020-08-14 17:20
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,做好个人防护很重要！,0,2020-08-14 17:01
https://weibo.cn//jiangjinjiancha,江津检察,男,重庆,39511,140,7500,复阳≠复发！复阳≠再次患病！,0,2020-08-14 16:53
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-08-14 16:51:57 来自网页,0,2020-08-14 16:51
https://weibo.cn//u/5132141734,兰州检察,男,甘肃,13658,1638,3144,复阳≠复发！复阳≠再次患病！,0,2020-08-14 16:05
https://weibo.cn//u/5341858893,青海政法,男,青海,42898,692,45805,做好个人防护很重要,0,2020-08-14 15:57
https://weibo.cn//u/7039959086,观海听涛平语烬人,男,辽宁,6063,714,163,恐慌也没用,0,2020-08-14 15:55
https://weibo.cn//u/5553121725,大兴安岭检察分院,女,黑龙江,8929,999,1134,     举报             赞[0]         回复             2020-08-14 15:21:01 来自网页,0,2020-08-14 15:21
https://weibo.cn//u/5075043883,林甸县法院,男,黑龙江,62514,625,8082,转发微博,0,2020-08-14 15:09
https://weibo.cn//u/5580480344,肇州检察,男,黑龙江,2438,415,725,不传谣不信谣，科学防疫,0,2020-08-14 14:59
https://weibo.cn//u/7436286040,vip带你上火星,男,其他,586,161,19,     举报             赞[0]         回复             2020-08-14 14:46:59 来自网页,0,2020-08-14 14:46
https://weibo.cn//u/5623320176,爱辉区检察院,女,黑龙江,12348,497,494,转发微博,0,2020-08-14 14:38
https://weibo.cn//338225253,明月爱威威,女,四川,37620,1335,3472,不信谣，不传谣，做好防护,1,2020-08-14 14:26
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788962,回复@鹤弦子:多来瞅瞅,1,2020-08-14 14:07
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788963,回复@KittHarris:做好防护重中之重！,1,2020-08-14 14:07
https://weibo.cn//u/6319292203,幸运捕手77,男,其他,0,2,1,不信谣，不传谣，做好个人防护[加油],0,2020-08-14 13:12
https://weibo.cn//u/6342447615,软芝芝,女,海外,19,65,8,不谣传,0,2020-08-14 13:10
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,不信谣，不传谣，做好个人防护[加油],2,2020-08-14 13:06
https://weibo.cn//u/5252328341,林口法院,男,黑龙江,7699,239,617,转发微博,0,2020-08-14 12:48
https://weibo.cn//u/1105003710,无常1105003710,男,其他,886,924,78,不恐慌，也不大意,0,2020-08-14 12:37
https://weibo.cn//u/3290571832,鹤弦子,男,广东,657,531,307,跟着安哥涨姿势,1,2020-08-14 12:17
https://weibo.cn//wangfujing,王府井,女,北京,45237,297,38290,科学看待复阳不恐慌！日常做好防护哦！,0,2020-08-14 11:58
https://weibo.cn//u/3226612662,L明灯,男,山东,3922,268,529,张大嘴！,0,2020-08-14 11:53
https://weibo.cn//u/5934229185,玉林反邪,男,广西,51613,251,1203,复阳≠复发！复阳≠再次患病！,0,2020-08-14 11:53
https://weibo.cn//tuminghai,R热河,男,新疆,204,242,2007,转发微博,0,2020-08-14 11:47
https://weibo.cn//u/6463269758,古玥轩2018,男,湖北,11461,182,334,被敌生化病毒感染者，治愈后，仍有余症，必须调养。其间，敌有暗中观察。,0,2020-08-14 11:47
https://weibo.cn//u/5886370520,萌始就学,男,其他,2766,544,116,一直都在做个人防护,0,2020-08-14 11:44
https://weibo.cn//u/5886237622,海太阳,男,广东,10821,1223,175180,张名宏说的有道理。不用紧张。关键是：老百姓，一直以“阴性=0病毒测量值”为标准，来理解。科学上，判定“阴性＜病毒测量值37”为标准，阳性=病毒含量40为基准。这样，测量误差和病毒含量波动，就会复阳。所谓复阳，就是无症状感染者，测量值还在波动//,4,2020-08-14 11:42
https://weibo.cn//u/2645820887,小星辰2050,女,河北,1291,283,334,科学态度正确对待！,0,2020-08-14 11:40
https://weibo.cn//u/1881372322,KittHarris,女,浙江,1660,2906,502,用科学对待这病毒，一定要做好防疫措施,3,2020-08-14 11:40
https://weibo.cn//jinfengongan,平安金凤,男,宁夏,55649,670,13803,复阳≠复发！复阳≠再次患病！,0,2020-08-14 11:38
https://weibo.cn//u/1844570750,御剑翼行,男,四川,7107,160,154,哪里都有他！,0,2020-08-14 11:34
https://weibo.cn//lawyerywz,杨文战律师,男,北京,21944,860,2554643,终于有解释”复阳“问题的内容了，看完之后发现：这病毒真TM鬼!,0,2020-08-14 11:28
https://weibo.cn//u/7442435633,克东政法,男,黑龙江,9018,353,6229,转发微博,0,2020-08-14 11:26
https://weibo.cn//u/3379057062,oldcharmer_65309,女,河北,5195,1038,153,大神新论,0,2020-08-14 11:24
https://weibo.cn//u/6990392554,来自火星的智障狗神仙,男,甘肃,106,256,9,真不知道他干了什么大事红成这样,0,2020-08-14 11:23
https://weibo.cn//u/6248713415,吐槽也熏香,男,其他,3196,264,72,科学看待复阳，做好个人防护！,6,2020-08-14 11:22
