评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,造谣传谣都要严惩,21,2020-09-14 22:36
https://weibo.cn//nannange1987,大糖糕僧爱吃煎bingo子,男,其他,10988,585,244,被引导的网民有判断力吗？！ 举报 赞[12] 回复 2020-09-14 22:26:30 来自网页,12,2020-09-14 22:26
https://weibo.cn//u/1401376167,净-东方净,女,北京,2162,755,311,造谣生事，闲的没事干啊？安哥那么忙，还得辟谣打假，容易吗？,11,2020-09-14 22:27
https://weibo.cn//u/5594542318,七台河检察,男,黑龙江,46740,1454,7371,     举报             赞[0]         回复             2020-10-15 11:13:26 来自网页,0,2020-10-15 11:13
https://weibo.cn//u/1756990927,乐活小欧,女,北京,2416,781,630,到底什么才是真的？真的怕了,0,2020-10-14 10:28
https://weibo.cn//jixishisifaju,鸡西司法局,男,黑龙江,3630,104,253,造谣者，是何居心？上网者，自有判断！,0,2020-09-17 10:36
https://weibo.cn//u/7304253839,鹤岗市南山政法,男,黑龙江,925,11,11,造谣者，是何居心？上网者，自有判断！,0,2020-09-16 10:46
https://weibo.cn//u/1401495954,欧累欧累,男,浙江,1813,72,132,必须严惩！,0,2020-09-15 17:01
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-09-15 16:25:01 来自网页,0,2020-09-15 16:25
https://weibo.cn//u/5918754266,重庆检察四分院,男,重庆,7755,27,739,【辟谣！武汉大学中南医院：,0,2020-09-15 16:11
https://weibo.cn//hszfw999,和顺县政法委,男,山西,5430,275,228,//,0,2020-09-15 15:54
https://weibo.cn//hegangjiancha,鹤岗检察,男,黑龙江,13899,600,959,     举报             赞[0]         回复             2020-09-15 15:51:18 来自网页,0,2020-09-15 15:51
https://weibo.cn//u/3536775713,沙坪坝检察,男,重庆,19027,37,3248,//,0,2020-09-15 14:46
https://weibo.cn//hnqhzf,琼海政法,女,其他,4108,206,62,【辟谣！武汉大学中南医院：,0,2020-09-15 13:52
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-09-15 11:46
https://weibo.cn//u/5241524439,五大连池法院,男,黑龙江,17633,488,237337,:溯本清源，以正视听。,0,2020-09-15 11:16
