评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,互联网不是法外之地，不造谣，不信谣，不传谣。,4,2020-10-04 10:18
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,转给家长群里的老人家了,2,2020-10-04 14:09
https://weibo.cn//u/3853163420,小人物冷眼看世界,男,其他,1926,312,65,话不要乱说，要负责的，管好嘴,1,2020-10-04 09:28
https://weibo.cn//u/3616728044,杜蒙检察,男,黑龙江,4029,187,309,别信！,0,2020-10-13 15:01
https://weibo.cn//u/5083369597,平安鸡西,男,黑龙江,7687,103,1676,【别信！,0,2020-10-13 09:27
https://weibo.cn//u/6992347577,遛猫的咸鱼2019,男,新疆,39,217,1,对对对，讲的对,0,2020-10-05 17:00
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,厉害了我的国,0,2020-10-05 11:42
https://weibo.cn//u/7451826853,183高183重的方形西北大汉,男,甘肃,3687,78,50,这么大岁数了，跟自己有仇啊？造谣犯法好不好？,2,2020-10-04 23:09
https://weibo.cn//u/5502826510,宁德市检察院,男,福建,8669,289,1530,【别信！,0,2020-10-04 20:15
https://weibo.cn//u/1863473067,LenNeSSy_,女,北京,226,213,683,要是真的就太可怕了，除了新发地其他都去过,0,2020-10-04 19:57
https://weibo.cn//u/6828226480,潍坊政法,男,山东,4645,140,549,转发微博,0,2020-10-04 18:53
https://weibo.cn//u/5937032204,一位马先生,男,新疆,176,214,114,不信谣不造谣,0,2020-10-04 18:23
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,回复@中国长安网:是的是的,0,2020-10-04 18:18
https://weibo.cn//u/1911189255,一团糯米_,女,安徽,2519,1104,500,好多老年人不懂，比较信,0,2020-10-04 17:10
https://weibo.cn//u/3083213137,皮特忒皮,男,其他,1370,44,172,8000余次转发就是严重扰乱公共秩序？当初抓李文亮也是这个说法。,0,2020-10-04 17:07
https://weibo.cn//u/2016239851,Minoz祥云,女,北京,16548,658,90,回复@中国长安网:嗯,0,2020-10-04 16:10
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788810,回复@Minoz祥云:再闲也不能造谣！,0,2020-10-04 15:34
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788810,回复@再见浪涛:,0,2020-10-04 15:34
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,转给家长群里的老人家了,2,2020-10-04 14:09
https://weibo.cn//u/5388740465,tobod,男,其他,895,136,114,回复@是PG不是后卫:婚姻法的变化就是一例，有何可笑呢？,0,2020-10-04 13:49
https://weibo.cn//u/7306012480,任小飛,男,陕西,600,1696,2065,66岁？自己编的？,2,2020-10-04 13:10
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,我们的安哥容易吗，大过节的还要跑在辟谣的路上，那些造谣生事的人怎么一点也不心疼安哥,1,2020-10-04 12:38
https://weibo.cn//u/7505328283,不过是个租房的,女,广东,0,26,1,回复@柳州政法:得了吧，听最多的谣就是你们官方出来的,0,2020-10-04 12:24
https://weibo.cn//u/5859631635,是PG不是后卫,男,江苏,44,165,83,回复@tobod:搞笑,0,2020-10-04 12:22
https://weibo.cn//u/5388740465,tobod,男,其他,895,136,114,回复@是PG不是后卫:没有可以补充呀，法律是随时代变化而变化，不是一成不变的。单一行政处罚目前效果并不佳。,0,2020-10-04 12:20
https://weibo.cn//u/7506327158,若羌警务,女,新疆,58,16,3,互联网不是法外之地,0,2020-10-04 12:15
https://weibo.cn//u/2865894840,文景LJ,男,河北,1014,559,346,造谣的人图的是啥，图个行政拘留努努力升级为寻衅滋事罪吗，图以后孩子孙子直系亲属都当不了兵考不了公务员？,1,2020-10-04 12:07
https://weibo.cn//u/7506490849,轮台司法,男,新疆,963,6,24,不听谣、不信谣、不传谣，消息以官方为准,0,2020-10-04 11:51
https://weibo.cn//u/7506386430,长安轮台,男,新疆,1165,29,21,转发微博,0,2020-10-04 11:40
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,66岁还这么无聊无知，真扶啦,4,2020-10-04 11:08
https://weibo.cn//u/6995814498,公益养老史话,男,北京,822,985,592,这年龄段的人，轮子多,0,2020-10-04 10:48
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788820,回复@安·四格镁铝·哲斯安格硕德:说得对,1,2020-10-04 10:47
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788822,回复@小人物冷眼看世界:不听不信不传谣,0,2020-10-04 10:46
https://weibo.cn//u/6110979724,钱礼和利君雅便后用左手吃饭,男,其他,157,584,27,这是不是收钱了,0,2020-10-04 10:45
https://weibo.cn//u/6341437228,心之所向12966,女,新疆,196,265,24,勿传流言，勿造恐慌～,0,2020-10-04 10:44
https://weibo.cn//u/6042990975,重庆长安网,女,重庆,39467,343,58379,不信谣不传谣！,0,2020-10-04 10:30
https://weibo.cn//u/5859631635,是PG不是后卫,男,江苏,44,165,83,回复@tobod:法盲 中国没有社区劳动的行政处罚,0,2020-10-04 10:28
https://weibo.cn//wolfccb,wolfccb,男,北京,518,191,2345,我就纳闷了，造谣“中国制造新冠病毒”的武小华就在北京海淀，转发过亿，她怎么就能逍遥法外？,3,2020-10-04 10:24
https://weibo.cn//u/6124294891,初爱国C,男,海外,103841,775,5124,控 告 信  我叫初爱国，是辽宁省抚顺市中级人民法院（2018）辽04执230号案、（2020）辽04执恢35号案（以下简称抚顺中法）的申请执行人，今向领导实名举报抚顺中法法官执行局副局长“殷健”玩弄法律、任意枉法的违法事实，恳请领导依法履行管理职责，依法启动纠错机制“一案双查”，查明事实真相后，依,0,2020-10-04 10:19
https://weibo.cn//u/1847372750,安·四格镁铝·哲斯安格硕德,女,广东,908,243,332,互联网不是法外之地，不造谣，不信谣，不传谣。,4,2020-10-04 10:18
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,厉害了我的国,0,2020-10-04 10:18
