评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,信安哥，不信谣,3,2020-10-13 12:24
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,安哥又在辟谣路上奔波🚶♂️,2,2020-10-13 10:07
https://weibo.cn//lvqihongling,憂傷的灰菇涼,女,海外,11592,850,1410,没有官方公开的信息，不信谣不传谣！传播谣言也是违法违规行为，那些参与者是法盲吗？,1,2020-10-13 08:42
https://weibo.cn//u/7295342982,肇州政法,女,其他,1164,10,7,关注权威消息，不信谣不传谣！,0,2020-10-31 21:26
https://weibo.cn//u/3616728044,杜蒙检察,男,黑龙江,4029,187,309,【,0,2020-10-21 10:20
https://weibo.cn//u/7341041562,朔城政法,女,其他,1697,108,97,转发微博,0,2020-10-19 16:01
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,【,0,2020-10-17 17:24
https://weibo.cn//u/5244090798,勃利县法院,男,黑龙江,8587,373,1417,     举报             赞[0]         回复             2020-10-15 13:48:53 来自网页,0,2020-10-15 13:48
https://weibo.cn//u/7300177939,灵璧长安,男,安徽,6743,46,25,//,0,2020-10-14 15:42
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,【,0,2020-10-14 11:36
https://weibo.cn//u/6452302583,长安怀宁,男,安徽,5302,89,71,//,0,2020-10-14 10:05
https://weibo.cn//u/5241524439,五大连池法院,男,黑龙江,17633,488,237337,不传谣！不信谣！,0,2020-10-14 09:21
https://weibo.cn//u/5083369597,平安鸡西,男,黑龙江,7687,103,1676,【,0,2020-10-14 09:04
https://weibo.cn//u/7268396278,察右后旗政法工作,男,其他,2604,25,72,转发微博,0,2020-10-14 08:50
https://weibo.cn//u/3952263736,大通区法院,男,安徽,5472,111,2868,//,0,2020-10-14 08:44
https://weibo.cn//u/5453317479,楚店政法,男,安徽,6890,285,374,【,0,2020-10-14 08:33
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,回复@中国长安网:是钻石了,0,2020-10-13 22:01
https://weibo.cn//u/6031792745,自由鸿毛UN,男,浙江,14,242,23,不管有没有这个事，发视频的人有麻烦了。,0,2020-10-13 21:33
https://weibo.cn//u/5479108086,淮南特警支队,男,安徽,11064,462,3987,//,0,2020-10-13 20:38
https://weibo.cn//u/6889321449,闻喜政法,男,山西,7549,466,233,【,0,2020-10-13 17:24
https://weibo.cn//u/6889321449,闻喜政法,男,山西,7549,466,233,不传谣不信谣，青岛加油！,0,2020-10-13 17:23
https://weibo.cn//u/5241524439,五大连池法院,男,黑龙江,17633,488,237337,//,0,2020-10-13 16:48
https://weibo.cn//u/7442435633,克东政法,男,黑龙江,9014,353,6229,不信谣不传谣[加油],0,2020-10-13 16:33
https://weibo.cn//u/6155344804,河北长安网,男,河北,24949,215,38583,关注权威消息，不信谣不传谣！,0,2020-10-13 16:32
https://weibo.cn//u/7402347403,长安库尔勒开发区政法,男,新疆,204,25,64,不信谣不传谣,0,2020-10-13 16:29
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-10-13 16:27:19 来自网页,0,2020-10-13 16:27
https://weibo.cn//u/6234899812,福海政法,男,新疆,925,10,5,不信谣不传谣！,0,2020-10-13 16:06
https://weibo.cn//u/7491524033,萨尔图普法,女,黑龙江,630,3,2,不传谣！不信谣！,0,2020-10-13 16:02
https://weibo.cn//u/6821383597,澄迈政法,女,海南,1856,99,83,【,0,2020-10-13 16:01
https://weibo.cn//u/6502428019,和县正道,男,安徽,8463,124,249,//,0,2020-10-13 15:28
https://weibo.cn//u/5261567440,双鸭山中院,男,黑龙江,11807,172,78863,不传谣！不信谣！,0,2020-10-13 15:10
https://weibo.cn//u/5598120531,田家庵区检察院,男,安徽,6301,71,151,不传谣！不信谣！,0,2020-10-13 15:07
https://weibo.cn//u/7207553457,马鞍山政法,女,其他,9860,124,223,不信谣 不传谣！//,0,2020-10-13 15:03
https://weibo.cn//yaozentao,姚泽涛,男,广东,10084,1298,1207,不造谣 不传谣,0,2020-10-13 15:01
https://weibo.cn//jixishisifaju,鸡西司法局,男,黑龙江,3630,104,253,【,0,2020-10-13 14:50
https://weibo.cn//u/5492734072,相山区政法委,女,安徽,41946,296,888,//,0,2020-10-13 14:46
https://weibo.cn//u/6894754102,临汾政法,男,山西,28275,61,26359,//,0,2020-10-13 14:44
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788736,回复@shbarbiegirl:辟谣跑断腿,1,2020-10-13 14:42
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788736,回复@chx亚曦:铁铁的安侠！,0,2020-10-13 14:42
https://weibo.cn//hncaw,海南政法,男,海南,34785,340,19558,不传谣！不信谣！,0,2020-10-13 14:17
https://weibo.cn//nqxjcy,西藏那曲县检察院,男,西藏,8111,145,587,转发微博,0,2020-10-13 13:58
