评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5347904120,安之公主今天从地上起来了吗,男,北京,4547,581,158,他图啥,3,2020-11-25 09:44
https://weibo.cn//u/5391136810,-彩儿唯一,女,辽宁,492,1400,882,不知道网上不是法外之地么,3,2020-11-25 09:30
https://weibo.cn//digitalrafg,老米大王,女,上海,6043,261,1099,我怀疑这些二百五就是想蹭吃蹭喝蹭几天住。否则实在想不出是图什么。,2,2020-11-25 09:29
https://weibo.cn//u/7025060597,武威政法,男,甘肃,10887,124,2125,: ,0,2020-11-30 17:20
https://weibo.cn//u/7300713988,肇州司法,女,其他,266,13,18,他图啥,0,2020-11-30 16:38
https://weibo.cn//u/7268396278,察右后旗政法工作,男,其他,2604,25,72,转发微博,0,2020-11-27 08:42
https://weibo.cn//u/6016531170,福建长安网,男,福建,10509,97,18273,造谣者必自食其果！,0,2020-11-26 21:34
https://weibo.cn//u/2146967694,郫都公安,男,四川,4516,162,13406,网络不是法外地，散布谣言不得行,0,2020-11-26 18:15
https://weibo.cn//u/6622788634,枉法裁判死磕到底,男,山东,487,66,18,青岛中院安太欣枉法裁判，二审程序错误（不开庭审理；拒绝取证），认定事实错误（一审黄岛法院车绍文篡改笔录、合议庭成员未参加庭审、未在笔录签字、超审限13个月，安太欣却坚称一审程序合法），适用法律错误（将政府调控政策认定为不可抗力），不担当不作为（发现一审明显错误，故意枉法维持原判）,0,2020-11-26 16:48
https://weibo.cn//u/3746607642,杜尔伯特县法院,男,黑龙江,76187,750,12436, 【,0,2020-11-26 14:42
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165, 【,0,2020-11-26 11:31
https://weibo.cn//u/6039800615,徐州经开区平安在线,男,江苏,4639,7,67,【,0,2020-11-26 09:43
https://weibo.cn//u/7079678373,建华公安,男,黑龙江,715,26,421,谣言猛于虎，大家一定要擦亮双眼，不信谣不传谣,0,2020-11-26 08:47
https://weibo.cn//u/5241524439,五大连池法院,男,黑龙江,17633,488,237337,【,0,2020-11-26 08:42
https://weibo.cn//u/5083369597,平安鸡西,男,黑龙江,7687,103,1676,【,0,2020-11-26 08:34
https://weibo.cn//u/7336591974,再见浪涛,女,广东,1199,521,101,该,1,2020-11-25 21:28
https://weibo.cn//hszfw999,和顺县政法委,男,山西,5430,275,228,//,0,2020-11-25 19:40
https://weibo.cn//u/5019134830,晶小一,女,其他,32,41,6,🎤 🎤,0,2020-11-25 19:11
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,//,0,2020-11-25 18:21
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-11-25 18:04:45 来自网页,0,2020-11-25 18:04
https://weibo.cn//u/3856142061,陕西政法,男,陕西,34756,837,58845,编造谣言者，必严惩！,0,2020-11-25 17:48
https://weibo.cn//zlqzfw,正蓝旗政法,女,其他,7019,74,88,编造谣言者，必严惩！ ,0,2020-11-25 17:28
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788655,回复@清新淡雅15918:依法严惩！,0,2020-11-25 16:07
https://weibo.cn//u/3379780532,甘肃白银政法,男,甘肃,7239,196,10757, 【,0,2020-11-25 15:26
https://weibo.cn//u/3400834320,宜昌市葛洲坝人民检察院,男,湖北,31502,123,700,转发微博,0,2020-11-25 15:26
https://weibo.cn//u/3379780532,甘肃白银政法,男,甘肃,7239,196,10757,//,0,2020-11-25 15:23
https://weibo.cn//njjcy,嫩江检察院,女,黑龙江,18084,259,609,     举报             赞[0]         回复             2020-11-25 15:14:23 来自网页,0,2020-11-25 15:14
https://weibo.cn//u/1749192350,左权_政法,女,山西,7188,30,47,//,0,2020-11-25 14:47
https://weibo.cn//u/6610913458,崇明政法综治,女,其他,1855,1219,85,网上并非法外之地！,0,2020-11-25 14:43
https://weibo.cn//u/6889321449,闻喜政法,男,山西,7549,466,233,造谣太恶劣，定要严惩他！,0,2020-11-25 14:41
https://weibo.cn//kaifenghebei,河北反邪教,女,其他,55691,1927,146266,     举报             赞[0]         回复             2020-11-25 14:27:25 来自网页,0,2020-11-25 14:27
https://weibo.cn//u/1892866295,库车反邪教,男,新疆,4383,151,887,教育引导,0,2020-11-25 14:25
https://weibo.cn//u/5241525284,逊克法院,男,黑龙江,14794,267,236503,转发微博,0,2020-11-25 14:22
https://weibo.cn//u/7484555429,龙凤分局微博,男,黑龙江,393,9,21,【,0,2020-11-25 13:59
https://weibo.cn//u/3127769101,饶河反邪教,男,黑龙江,2842,2584,756,【,0,2020-11-25 13:56
https://weibo.cn//u/6155280701,赫章政法,男,贵州,19369,3540,15222, 【,0,2020-11-25 13:50
https://weibo.cn//xjcjsjcy,昌吉市检察,女,新疆,724,1494,1026,造谣一张嘴，辟谣跑断腿！     举报             赞[0]         回复             2020-11-25 13:00:48 来自网页,0,2020-11-25 13:00
https://weibo.cn//u/6052741942,京粤飞天联盟B,男,广东,5174,1557,198,回复@江苏政法:中国需要网络正能量,0,2020-11-25 11:23
https://weibo.cn//u/6892712944,陇原政法,女,其他,19141,752,59687, 造谣，严惩,1,2020-11-25 11:21
https://weibo.cn//u/6456714454,韩鑫淼lucky,女,其他,15,64,3,     举报             赞[0]         回复             2020-11-25 11:20:19 来自网页,0,2020-11-25 11:20
https://weibo.cn//u/6052741942,京粤飞天联盟B,男,广东,5174,1557,198,     举报             赞[0]         回复             2020-11-25 11:19:45 来自网页,0,2020-11-25 11:19
https://weibo.cn//u/6052741942,京粤飞天联盟B,男,广东,5174,1557,198,回复@江苏政法:,0,2020-11-25 11:17
https://weibo.cn//u/7512605321,克山政法,男,黑龙江,310,18,10,造谣生事者，言必惩！,0,2020-11-25 11:11
https://weibo.cn//u/5690757210,chx亚曦,女,广东,1232,206,321,造谣惑众，严惩！,2,2020-11-25 11:09
https://weibo.cn//u/7507640798,阿勒泰市S司F法,男,新疆,737,4,1,转发微博,0,2020-11-25 11:06
https://weibo.cn//u/3225288732,昆山法院,男,江苏,3361,1756,5954,编造谣言者，必严惩！//,0,2020-11-25 10:53
https://weibo.cn//u/5934229185,玉林反邪,男,广西,51613,251,1203, 【,0,2020-11-25 10:52
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-11-25 10:52
https://weibo.cn//u/5725381863,子午岭林区检察,男,甘肃,22124,479,748,编造谣言者，必严惩！,0,2020-11-25 10:43
https://weibo.cn//u/1738444665,LJ__,男,其他,205,252,300,拖出去斩了！,0,2020-11-25 10:42
https://weibo.cn//u/2603844100,麦芒为颖,女,四川,626,149,206,编造谣言者，必严惩！,0,2020-11-25 10:37
https://weibo.cn//u/3272980043,晋中政法,男,山西,11932,164,3333,//,0,2020-11-25 10:36
https://weibo.cn//jszfgfwb,江苏政法,女,江苏,16727,500,246129,【,0,2020-11-25 10:36
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,#安哥辟谣#,0,2020-11-25 10:33
https://weibo.cn//u/7301062614,富裕县司法,男,黑龙江,781,71,83, 【,0,2020-11-25 10:32
https://weibo.cn//u/3820915614,北京市第一中级人民法院,男,北京,16516,280,1237786,//,0,2020-11-25 10:29
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788680,回复@安之公主今天从地上起来了吗:反正现在出名了,1,2020-11-25 10:25
https://weibo.cn//u/1980140617,重庆网警,男,重庆,27848,1573,673408,【,0,2020-11-25 10:24
https://weibo.cn//u/6348044920,库洛里多的猫,男,北京,87,73,17,回复@老米大王:现在都是要自己花钱吃牢饭的，不劳动没饭吃,0,2020-11-25 10:21
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,这种人就是居心叵测，唯恐天下不乱！,0,2020-11-25 10:19
https://weibo.cn//u/6889321449,闻喜政法,男,山西,7549,466,233,造谣太恶劣，定要严惩他！,0,2020-11-25 10:16
https://weibo.cn//zjfxj,浙江政法,男,浙江,12097,502,161634, 造谣太恶劣，定要严惩他！,0,2020-11-25 10:10
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788683,回复@老米大王:可以让他们看看牢饭体验卡系列,1,2020-11-25 10:09
https://weibo.cn//u/6052741942,京粤飞天联盟B,男,广东,5174,1557,198,回复@河北长安网:,0,2020-11-25 10:09
https://weibo.cn//changan,中国长安网,男,北京,40351,1138,12788686,回复@-彩儿唯一:这次一定让他知道！,0,2020-11-25 10:08
https://weibo.cn//u/5696189845,丰林县人民检察院,男,黑龙江,25183,2290,3547,转发微博,0,2020-11-25 10:02
https://weibo.cn//u/5630395862,浪里个浪呦chen,男,其他,68,174,9,转发微博,0,2020-11-25 10:01
https://weibo.cn//u/5836539794,丰林县检察院qry,女,黑龙江,3912,256,49,     举报             赞[0]         回复             2020-11-25 09:53:32 来自网页,0,2020-11-25 09:53
https://weibo.cn//u/7304253839,鹤岗市南山政法,男,黑龙江,925,11,11,造谣一张嘴，辟谣“跑断腿”。编造谣言者，必严惩！,0,2020-11-25 09:49
https://weibo.cn//u/6155344804,河北长安网,男,河北,24949,215,38583,编造谣言者，必严惩！,0,2020-11-25 09:48
https://weibo.cn//u/1718979843,库尔勒司法,男,其他,907,14,36,编造谣言者，必严惩！,0,2020-11-25 09:46
https://weibo.cn//u/6656420389,开封政法,女,河南,8735,50,3013, 造谣太恶劣，定要严惩他！,0,2020-11-25 09:45
https://weibo.cn//u/5347904120,安之公主今天从地上起来了吗,男,北京,4547,581,158,他图啥,3,2020-11-25 09:44
https://weibo.cn//sissi73,秋天的枫叶9335,女,其他,25982,3058,1354,严惩不贷,1,2020-11-25 09:41
https://weibo.cn//fywz1818,风雨无阻_1818,男,河北,151,588,355,刑拘太轻，应该直接3年起步,0,2020-11-25 09:41
https://weibo.cn//u/1497115965,辛客er,男,河南,652,188,29,房房呢,1,2020-11-25 09:40
https://weibo.cn//hgslbfy,鹤岗市萝北县法院,男,黑龙江,4656,205,1027, ,0,2020-11-25 09:40
https://weibo.cn//sxzf,山西政法,男,山西,36874,278,23125, 造谣太恶劣，定要严惩他！,0,2020-11-25 09:36
https://weibo.cn//sdzfw,北京政法,男,北京,30037,849,1182110, 对未经证实的消息要做到不听不信不传，网络不是法外之地，共同维护健康的网络环境和良好的社会秩序。,0,2020-11-25 09:31
https://weibo.cn//u/6509850579,二连浩特政法,男,内蒙古,3980,54,156,安哥：造谣一张嘴，辟谣“跑断腿”。编造谣言者，必严惩！,0,2020-11-25 09:31
https://weibo.cn//u/5758732305,清新淡雅15918,女,浙江,348,122,19,造谣太恶劣了，多关些天,0,2020-11-25 09:30
https://weibo.cn//u/5391136810,-彩儿唯一,女,辽宁,492,1400,882,不知道网上不是法外之地么,3,2020-11-25 09:30
https://weibo.cn//digitalrafg,老米大王,女,上海,6043,261,1099,我怀疑这些二百五就是想蹭吃蹭喝蹭几天住。否则实在想不出是图什么。,2,2020-11-25 09:29
