评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1005514824,shbarbiegirl,女,上海,17051,400,930,之前有人造谣说上海要封城，现在又说成都，这些人到底是太闲还是使坏啊，简直是过分，我还心疼安哥的腿呢！,1,2020-12-08 13:24
https://weibo.cn//lapolice,六安公安在线,男,安徽,47418,927,274626, 举报 赞[2] 回复 2020-12-08 12:18:34 来自网页,2,2020-12-08 12:18
https://weibo.cn//u/5908184802,吉林政法声音,女,吉林,55909,1477,443321,不信谣不传谣,1,2020-12-08 13:23
https://weibo.cn//u/6502428019,和县正道,男,安徽,8463,124,249,成都不排除封城？官方辟谣：假的！//,0,2020-12-10 14:43
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,【成都不排除封城？官方辟谣：假的！】,0,2020-12-10 12:34
https://weibo.cn//njjcy,嫩江检察院,女,黑龙江,18084,259,609,     举报             赞[0]         回复             2020-12-10 10:31:18 来自网页,0,2020-12-10 10:31
https://weibo.cn//u/7375142514,凤台司法,女,其他,962,8,19,不信谣！不传谣！//,0,2020-12-10 10:25
https://weibo.cn//hszfw999,和顺县政法委,男,山西,5430,275,228,//,0,2020-12-10 10:01
https://weibo.cn//u/5581745927,淮南大通检察,男,安徽,3703,304,720,//,0,2020-12-10 08:37
https://weibo.cn//u/3955273284,陇南政法,男,甘肃,102264,2112,8327,     举报             赞[0]         回复             2020-12-09 18:25:50 来自网页,0,2020-12-09 18:25
https://weibo.cn//u/7151645188,高平政法,女,其他,3475,23,1442,成都不排除封城？官方辟谣：假的！,0,2020-12-09 16:34
https://weibo.cn//u/7517302044,blkxrmfy123451,女,新疆,675,63,1,不信谣，不传谣！,0,2020-12-09 15:47
https://weibo.cn//u/3299236847,潘集区司法行政,男,安徽,790,143,185,//,0,2020-12-09 12:47
https://weibo.cn//u/7199005165,淮南政法,女,其他,10359,5,1459,//,0,2020-12-09 11:23
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-12-09 11:06
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,【成都不排除封城？官方辟谣：假的！】,0,2020-12-09 11:02
https://weibo.cn//u/6516534144,长安天堂镇,女,安徽,4900,23,23,//,0,2020-12-09 10:28
https://weibo.cn//u/7268396278,察右后旗政法工作,男,其他,2604,25,72,转发微博,0,2020-12-09 09:58
https://weibo.cn//u/5598120531,田家庵区检察院,男,安徽,6301,71,151,不信谣！不传谣！,0,2020-12-09 09:28
https://weibo.cn//u/5241524439,五大连池法院,男,黑龙江,17633,488,237337,不信谣！不传谣！,0,2020-12-09 08:54
https://weibo.cn//149403270,北林区法院,男,河北,11302,275,1837,转发微博,0,2020-12-09 08:41
https://weibo.cn//u/7207490011,宿州长安,男,安徽,11167,55,1803,//,0,2020-12-09 08:29
https://weibo.cn//u/1986283497,vv333vv,女,上海,805,327,260,不信谣，不传谣！,0,2020-12-09 07:51
https://weibo.cn//u/7501169234,塔城政法,女,新疆,1728,173,3340,不信谣，不传谣，一切以官方通报为准,0,2020-12-08 21:21
https://weibo.cn//u/5453317479,楚店政法,男,安徽,6890,285,374,【成都不排除封城？官方辟谣：假的！】对于成都市出现新冠肺炎患者一事，今日网传“成都卫健委：将视情况采取措施，不排除实施封城” 为不实信息。安哥：不信谣，不传谣，一切以官方通报为准！,0,2020-12-08 20:41
https://weibo.cn//u/6869646672,荔浦政法lpzfw,男,广西,469,31,23,转发微博,0,2020-12-08 18:33
