评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7518361489,万事如意时时顺心天天开心,女,其他,207,205,3,造谣动动嘴，辟谣跑断腿！一旦谣言散发出去就很难控制住，希望严惩那个造谣的人，太过分了！,17,2020-12-12 14:48
https://weibo.cn//u/3830001020,请叫我红红红红红领巾,男,上海,496,156,2485,我刚刚就在群里说P图为啥不P英文,30,2020-12-12 14:46
https://weibo.cn//u/7349428453,lucky家家家,女,甘肃,998,383,58,那么会p图 就用在造谣上了,21,2020-12-12 15:25
https://weibo.cn//u/7404784044,彩色的我666,男,上海,4,9,1,成都加油,0,2021-01-04 11:45 
https://weibo.cn//u/3616728044,杜蒙检察,男,黑龙江,4029,187,309,安哥辟谣#野蛮粗暴的绝非制度，而是p图和造谣。,0,2020-12-16 10:12
https://weibo.cn//u/6292260319,蠡县长安网,女,河北,1054,21,33,: 严惩造谣者！不传傜，不信谣,0,2020-12-15 16:30
https://weibo.cn//hnqhzf,琼海政法,女,其他,4108,206,62,#安哥辟谣#,0,2020-12-14 15:10
https://weibo.cn//u/3746607642,杜尔伯特县法院,男,黑龙江,76187,750,12436,！,0,2020-12-14 14:30
https://weibo.cn//u/6659788071,乱投林的潭,男,河北,28,292,177,连英文都不懂还搞事,0,2020-12-14 13:21
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,【快回家了！,0,2020-12-14 11:23
https://weibo.cn//u/5243886959,沙雅县反邪,女,新疆,8697,153,165,严惩造谣者,0,2020-12-14 11:22
https://weibo.cn//u/6889321449,闻喜政法,男,山西,7549,466,233,//,0,2020-12-14 10:51
https://weibo.cn//u/7268396278,察右后旗政法工作,男,其他,2604,25,72,转发微博,0,2020-12-14 09:03
https://weibo.cn//u/2512044163,魏都区法院,男,河南,66005,991,2869,转发微博,0,2020-12-14 08:57
https://weibo.cn//u/2512044163,魏都区法院,男,河南,66005,991,2869,//,0,2020-12-14 08:32
https://weibo.cn//u/6173873876,逗是那个人,男,其他,0,105,1,枪毙他,0,2020-12-13 14:34
https://weibo.cn//u/7155141774,彩色的我789,男,上海,148,15,2,不信谣不传谣,0,2020-12-13 11:56
https://weibo.cn//huayangpcs,安庆望江公安华阳派出所,男,安徽,118702,1957,18697,转发微博,0,2020-12-13 11:53
