评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//kmslfb,昆明石林发布,女,云南,8819,235,179368,转发微博,0,2020-01-26 21:29
https://weibo.cn//u/6837672843,江酱讲蒋将,男,浙江,11,139,6,这个谣言好像不错,2,2020-01-26 20:16
https://weibo.cn//u/2958390725,习字的微博,女,云南,168,414,258,虽然是谣言，但是挺好的。,3,2020-01-26 20:28
https://weibo.cn//u/1684402301,rolinyin,男,北京,33,65,58,防患于未然还是有必要的,0,2020-01-26 22:48
https://weibo.cn//u/6559434394,WSCWHM,女,云南,2,34,8,能不能呼吁禁办酒席,1,2020-01-26 22:17
https://weibo.cn//u/5262705928,放手而随心27011,男,其他,6,50,88,现在造谣的 感觉他们有组织,0,2020-01-26 22:14
https://weibo.cn//kmslfb,昆明石林发布,女,云南,8819,235,179368,转发微博,0,2020-01-26 21:29
https://weibo.cn//u/3283531230,阿啊漓,女,其他,557,291,165,是真的不好吗,0,2020-01-26 20:51
https://weibo.cn//u/2983861635,Clrlily辛德瑞拉,女,云南,124,466,195,现在云南有多少人确诊，请公布一下数据。,0,2020-01-26 20:36
https://weibo.cn//u/2958390725,习字的微博,女,云南,168,414,258,虽然是谣言，但是挺好的。,3,2020-01-26 20:28
https://weibo.cn//u/6837672843,江酱讲蒋将,男,浙江,11,139,6,这个谣言好像不错,2,2020-01-26 20:16
https://weibo.cn//karryone1027,颖子的karryone,女,重庆,52249,369,1063,朋友圈到处都是，吓人了,0,2020-01-26 20:12
https://weibo.cn//u/5545110731,我爱的谁i,女,云南,1406,927,132,昆明会封路吗，明天还可以进出城不！,0,2020-01-26 20:11
https://weibo.cn//YNlingjuli,云南零距离,男,云南,1286,166,1571447,不信谣不传谣,0,2020-01-26 20:01
https://weibo.cn//u/5636040465,狐狸的新衣,男,江苏,33,90,26,抓起来,0,2020-01-26 19:59
