评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//huanxing,Kay你好世界,女,海外,7809,276,404,“完全透明公开” ？那就公布具体轨迹,723,2020-02-13 18:05
https://weibo.cn//u/1967509497,DavidQAQ88,男,上海,1832,310,125,嗯嗯希望后面别打脸啊,578,2020-02-13 18:05
https://weibo.cn//u/6235480982,了凡stanley,男,上海,48,152,42,想起了李文亮，央视辟谣的，警方训诫的,374,2020-02-13 18:32
https://weibo.cn//guhaitian,心莲心0超喜,男,上海,1384,53,390,回复@哈利囡囡:3000个人在哪里,0,2020-02-21 12:28
https://weibo.cn//guhaitian,心莲心0超喜,男,上海,1384,53,390,回复@HakeemLiu:每天2、3例就不用重视吗？这些人不会传染吗？你这是什么狗屁逻辑,0,2020-02-21 12:03
https://weibo.cn//qianlianna,莱豹豹,女,上海,87,130,113934,回复@HakeemLiu:咱也不知道到底是不是谣言，咱也不敢知道，但是那么多群那么多各式各样的发言，怎么就偏偏把这条发言拎出来作为谣言，然后各种辟谣呢,0,2020-02-21 00:03
https://weibo.cn//guhaitian,心莲心0超喜,男,上海,1384,53,390,回复@了凡stanley:已经连续两天0新增,0,2020-02-20 11:38
https://weibo.cn//u/6183277029,循环V规律,男,上海,29,233,43,回复@Gukaite老顾:我什么时候说1000？看看清楚再说话，字都看不清楚跑上来就喷，脑子进水了？,0,2020-02-19 11:53
https://weibo.cn//u/6183277029,循环V规律,男,上海,29,233,43,回复@Gukaite老顾:被我？你自己看看数据,0,2020-02-19 10:50
https://weibo.cn//guhaitian,心莲心0超喜,男,上海,1384,53,390,回复@音离於菟:为什么,0,2020-02-19 10:37
https://weibo.cn//wurenchu1972,wurenchu,男,上海,23858,5802,2313,凭心而论，上海这次防疫工作没有兄弟省市做的好。而且基层社区的防疫工作也是参差不齐，有好有坏。上海普通百姓这次为防疫做出了很多牺牲，有些事情也被伤透心。,0,2020-02-18 03:53
https://weibo.cn//u/6047260590,护我中华万民,女,上海,8,174,2,回复@HakeemLiu:如果是说了假话，就会训诫！如果没说假话，心里坦荡荡，反而不会急着辟谣,0,2020-02-18 01:50
https://weibo.cn//u/6047260590,护我中华万民,女,上海,8,174,2,回复@Kay你好世界:我们小区回很多群租的外地年轻人，经常三五成群的不带口罩聚在楼栋门口聊天！有两个口罩是带了，只是都扣在下巴上！居委没人管,0,2020-02-18 01:48
https://weibo.cn//u/5622608250,沐小妮子11,女,上海,28,213,3,回复@QCalculus:诶……节哀,0,2020-02-17 21:38
https://weibo.cn//u/2956023991,星火不息star,男,上海,560,409,190,在想，为啥天天辟谣,0,2020-02-17 18:53
https://weibo.cn//u/5854489549,一只羞涩的羽毛群群,女,上海,14,54,1279,回复@沐小妮子11:说是来了两武汉亲戚，家里老头子先被传染了，小区周围都传开了，后来过了一周说他们家感染了俩，老头子死了。,0,2020-02-17 18:37
https://weibo.cn//u/5854489549,一只羞涩的羽毛群群,女,上海,14,54,1279,回复@沐小妮子11:是啊,0,2020-02-17 18:34
https://weibo.cn//u/1773740657,Yx森森,女,江苏,2382,1607,683,回复@手贱得把以前的号弄丢了:公信力被谁弄丢的？,0,2020-02-17 17:24
https://weibo.cn//u/6235406693,手贱得把以前的号弄丢了,男,江西,354,408,817,回复@Yx森森:谣言不也就毫无根据的微信截图加语音吗，为什么这么多人信呢？？？而政府正规渠道的通知反而没人信？？？这是什么心态,0,2020-02-17 15:21
https://weibo.cn//u/6235406693,手贱得把以前的号弄丢了,男,江西,354,408,817,回复@Sonnet2208:你什么小区，爆出来听听,0,2020-02-17 15:19
https://weibo.cn//flankliu,巴扎嘿就是灿烂,男,北京,563,52,184,有些事，必须做，有些话，也必须说,0,2020-02-17 05:42
https://weibo.cn//u/1895204757,Doctor_Fake,男,海外,368,1318,64,双黄连算不算谣言呢？,0,2020-02-16 22:20
https://weibo.cn//u/6372159680,诸葛孔明七星灯,男,上海,10,131,4,觉得没那么严重的那就出去浪呗,0,2020-02-16 20:52
https://weibo.cn//u/1733478107,天灵星-湖底苍月,女,上海,9828,1604,974,回复@Unknown帆帆:500万人出逃这是事实，可50万人到上海这个数据你有什么事实证据？别说什么按你自己算，没有依据就别乱说。你知道50万人有多少吗？你知道上海的总面积有多大吗？突然多出50万人会是什么样子吗？,0,2020-02-16 16:53
https://weibo.cn//u/1740271480,Unknown帆帆,女,上海,258,521,374,回复@天灵星-湖底苍月:封城之前500万武汉人出逃，这不是我编的吧？据统计来沪人数排第一，各大新闻可以搜到，也不是我编的吧？所以说50万，实际上可能还不止,0,2020-02-16 16:24
https://weibo.cn//u/1733478107,天灵星-湖底苍月,女,上海,9828,1604,974,回复@Unknown帆帆:50万？你数过？,0,2020-02-16 16:11
https://weibo.cn//u/1733478107,天灵星-湖底苍月,女,上海,9828,1604,974,回复@酸奶味de橘子:湖北黄冈人不错，可他的出发地不一定是湖北黄冈。他难道就不可以是在湖北以外的地方打工然后返回上海的吗？,0,2020-02-16 16:07
https://weibo.cn//u/1153376611,街边榕树,男,上海,25,353,59,我看破不说破，静静地等待迷底揭开……,1,2020-02-16 15:41
https://weibo.cn//u/1715804293,0我若成风0,女,上海,1946,209,179,回复@米老鼠_2020:身边有医护人员，的确天天被领导逼着，自愿去支援隔离病房,0,2020-02-16 15:07
https://weibo.cn//u/1715804293,0我若成风0,女,上海,1946,209,179,回复@卑微践行:公布轨迹，大家就能有效避免去这些场所，然后有所防范，毕竟上海全靠自觉的,0,2020-02-16 15:02
https://weibo.cn//u/2120401534,会武功的怪,男,海外,2443,171,1337,回复@Wyyyy0925:听你口气感觉你很被社会重视？你是当朝太子,0,2020-02-16 13:54
