评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1897448413,不爱出去玩,男,上海,227,158,14,如果真的是车辆故障，怎么地铁公司不自己在官博说明，要你们卫健委来说是车辆故障，这说明什么，说明已经有本土病例了，而且还不止一个，你们防控不利想推卸责任吗,8,2020-06-19 20:06
https://weibo.cn//chenzihao1234,20爱你的同时也要爱自己的汐Mo,男,上海,7688,594,1087,在哪里有这个传言,2,2020-06-19 19:18
https://weibo.cn//u/5966253474,放开那个小niu,女,其他,318,186,34,请问可以一个镇聚众开会学四史吗？还学四史，我一个群众都不知道什么是四史,1,2020-06-22 09:28
https://weibo.cn//u/6079099370,Mr_LVsID,男,上海,325,392,91,回复@不爱出去玩:没有政治头脑,1,2020-06-30 00:13
https://weibo.cn//u/6155280574,小giaogiao33,男,上海,56,461,8,回复@不爱出去玩:上海地铁11号线之前有个bug，在播报防疫信息的时候所有屏幕都会显示列车因故障停运，最近已经改过来了,1,2020-06-22 22:50
https://weibo.cn//u/1897448413,不爱出去玩,男,上海,227,158,14,回复@L114EVER:你得了吗,0,2020-06-22 22:23
https://weibo.cn//u/5966253474,放开那个小niu,女,其他,318,186,34,请问可以一个镇聚众开会学四史吗？还学四史，我一个群众都不知道什么是四史,1,2020-06-22 09:28
https://weibo.cn//u/2721100945,L114EVER,男,上海,3,78,123,回复@不爱出去玩:你哪只眼睛看到的地铁官博没发？你嘴巴也放干净点 还咒别人得新冠。,1,2020-06-22 02:08
https://weibo.cn//234506047,嘉宸同学_,男,江苏,5496,979,1003,回复@不爱出去玩:发一条评论多少钱？给哥推荐下，有钱一起挣啊,0,2020-06-21 21:35
https://weibo.cn//u/6031776513,无用挂件儿,男,上海,23,196,38,回复@H_ballan:这个人是湾湾美利坚的网军，你点进去他主页看看就知道了，别理他，当🐵 看就完事了。,3,2020-06-21 19:33
https://weibo.cn//u/1897448413,不爱出去玩,男,上海,227,158,14,回复@H_ballan:明明已经被李文亮及其他医生说了似沙士的病毒，结果不但听取他们的诊断，不让事实公布于众，说是造谣，结果呢？事实证明所谓的谣言，就是事实。在它们嘴里辟谣的，最后都是最真实的武汉就是最好的列子。就是不想上海变成武汉不要再把真相当成武汉。你这么维护它们，上海如真的爆发，你一定会中新冠病毒,1,2020-06-20 23:00
https://weibo.cn//hongbonie,H_ballan,男,上海,178,236,107,回复@不爱出去玩:你自己去@上海地铁shmetro  看看，上午11点故障就说明，一直公布情况，连发几条微博，并且在12点恢复运行也及时发博说明。你们造谣都这样了，卫建委特意辟谣难道不是认真负责的表现，成年人要就事论事，一直以来，类似的谣言不少，上海爆发了吗？！有一个是真实的吗？！真的，劝你去600号住几天！,33,2020-06-19 21:05
https://weibo.cn//u/2971150414,CJ_Ane,女,上海,10633,338,99,地铁难道还能测病毒了不成 怎么啥都扯到新冠 辟个谣还能当锤用 怕不是失了智,11,2020-06-19 20:52
https://weibo.cn//u/1897448413,不爱出去玩,男,上海,227,158,14,如果真的是车辆故障，怎么地铁公司不自己在官博说明，要你们卫健委来说是车辆故障，这说明什么，说明已经有本土病例了，而且还不止一个，你们防控不利想推卸责任吗,8,2020-06-19 20:06
https://weibo.cn//u/6581101740,蒸汽眼罩bot,男,其他,366,85,358,那说上海已经有本地病例，但是没有被公布出来，这个是真的假的呀？,3,2020-06-19 19:20
https://weibo.cn//chenzihao1234,20爱你的同时也要爱自己的汐Mo,男,上海,7688,594,1087,在哪里有这个传言,2,2020-06-19 19:18
