评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6714355550,花栗实验室,男,广东,64,49,11124,所以温州怎么了？,0,2020-02-21 11:48
https://weibo.cn//u/6894043018,坚强地65426,男,其他,10,82,3,去过的隔离很正常，全国只要外出本地区都要隔离，更何况你路过疫区，谁知道有没有潜A到处乱窜咱成了B，一级响应也不是啥时候都有，注意安全最重要,0,2020-02-21 09:55
https://weibo.cn//ohnonozlf,朱卢朱卢,女,浙江,207,242,850,所以现在温州可以去广州了吗,1,2020-02-21 00:17
https://weibo.cn//u/6714355550,花栗实验室,男,广东,64,49,11124,所以温州怎么了？,0,2020-02-21 11:48
https://weibo.cn//u/6894043018,坚强地65426,男,其他,10,82,3,去过的隔离很正常，全国只要外出本地区都要隔离，更何况你路过疫区，谁知道有没有潜A到处乱窜咱成了B，一级响应也不是啥时候都有，注意安全最重要,0,2020-02-21 09:55
https://weibo.cn//u/5338844503,魏圈圈_,女,浙江,45,1071,189,回复@朱卢朱卢:同问，好焦虑，做服装行业的，错过旺季，一年租金很难生存,0,2020-02-21 09:16
https://weibo.cn//ohnonozlf,朱卢朱卢,女,浙江,207,242,850,所以现在温州可以去广州了吗,1,2020-02-21 00:17
https://weibo.cn//lohiuwamp,N_A_U,女,广东,5105,1061,556,回复@我要做天然黑:重灾区重点关注没毛病啊，难道不管会让人舒心一点？,0,2020-02-20 19:44
https://weibo.cn//u/5198072886,persistent123,女,广东,380,286,160,这根本不是造谣，我从苏州路过温州南两分钟，我都被居家隔离，门口装了监禁器。,5,2020-02-20 17:54
https://weibo.cn//54with4869,记得要忌口的蝎子,女,广东,9059,199,317,回复@我要做天然黑:重灾区啊，12号我就接到要排查的通知了，如果微博搜一下，其他地区还会排查广州和深圳的,2,2020-02-19 21:06
https://weibo.cn//u/3214749745,伊谷春,男,广东,32,576,2838,回复@我要做天然黑:重灾区啊,2,2020-02-19 19:00
https://weibo.cn//u/3076073360,半岛cornerv,女,浙江,204,219,87,因为广州疫情也比较严重，马上又要迎接返工潮，温州又是除了湖北城市以外目前确诊人数最多的，所以排查温州一点都不奇怪。但是无中生有的造谣就过分了，脑子是个好东西，可是不是人人都有,21,2020-02-19 16:24
https://weibo.cn//u/1902390077,Ted-ocs,男,浙江,777,235,357,估摸着做档案，好跟踪吧,2,2020-02-19 15:41
https://weibo.cn//guaguaxiaobaobei,呱呱_楼,男,广东,1653,321,715,回复@你有祈玉吗:小心驶得万年船，很多企业都复工了，如果大家都按要求做好，3月广州就可以正常了,0,2020-02-19 15:09
https://weibo.cn//384love32,我要做天然黑,男,广东,374,507,50,但是真的在排查温州籍的人，怎么解释,6,2020-02-19 15:06
https://weibo.cn//u/7087184658,竟然比老宋秃了不能比一斤更秃,男,其他,393,76,43,但是温州来的人要排查是真的,8,2020-02-19 14:53
