微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Ji0zM3uaa,【辟谣！社保疫情补助，没有这回事儿哦！】近期，关于社保疫情补助的一些不实消息。在朋友圈、微信群等渠道流传。@成都人社局 来辟谣，下图消息是假的！成都社保局没有发放疫情补助，社保经办服务大厅二楼33、34、35号窗口也没有办理此项业务。疫情期间，天气炎热，请大家不要白跑一趟！  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/c547f14egy1gi6kelo7k2j20ci08cq35.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gi6kels1nqj20j60f3myy.jpg",无,TRUE,无,无,2020/8/28 15:38,微博 weibo.com,1,0,1,1
JeO9BADMt,#不信谣不传谣# 【辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练】针对近日“青石桥疑似新冠病例”的传言，今日@成都市场监管 发布消息：8月6日下午，锦江市场监管局举行农贸市场疫情防控应急双盲演练。应急双盲演练以“青石桥农贸市场发现一经营户确诊为新冠病例”为假设开展，以现场模拟形式进行，通过“事发现场处置展示”和“部门联动”方式将场景依次展开。 [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/c547f14egy1ghi8ezh742j20ci08cq35.jpg,http://ww2.sinaimg.cn/large/c547f14egy1ghi8ezim7qj20j60ljjwp.jpg,http://ww3.sinaimg.cn/large/c547f14egy1ghi8ezj5lyj20j60eeq5y.jpg",无,TRUE,无,无,2020/8/7 14:29,微博 weibo.com,2,1,0,2
JceLh5zlK,#辟谣#【#官方辟谣某女从哈萨克斯坦入境传播病毒#】近日，网上流传此次乌鲁木齐新冠疫情是由某女从哈萨克斯坦入境未经核酸检测和隔离措施而引起。据公安机关调查，以上信息为谣言，无任何依据。公安机关已对发布谣言的违法人员金某某（女）依法处理。经有关部门核查及疾控部门流行病学调查分析，未发现此次乌鲁木齐新发疫情首例指证病例在发病前有过境外旅居史。经流行病学调查，今年以来所有确诊病例和无症状感染者均无境外旅居史。目前疾控部门正在对此次新发疫情的病毒进行基因测序，对相关人员行动轨迹进行完善，对流调数据库信息进行补充，进一步查找感染来源。http://t.cn/A6yEWB4f 原图 ,,http://wx3.sinaimg.cn/large/c547f14egy1ggxjjjwz7mj20ci08cq35.jpg,无,TRUE,无,无,2020/7/21 16:43,微博 weibo.com,1,0,0,3
J7OEhAjC0,"转发理由:【转发辟谣！#网传孝感私家车无人认领车主抗疫去世为谣言#】  
原始用户: 人民日报
转发内容: 【转发辟谣！#网传孝感私家车无人认领车主抗疫去世为谣言#】近日，网传湖北孝感一车主将车停在公园后因抗疫去世。今天，@孝感网警巡查执法 发布通报，经查此为谣言，证实车主仍在世。另据@孝感晚报 ，该车是公司所属车，车主身体健康，目前在孝感。知情人士称车主会对网传消息发布者发起起诉。  原图 ",,无,http://wx3.sinaimg.cn/large/a716fd45ly1gg0zhx10vtj20os0fqwj1.jpg,FALSE,无,无,2020/6/22 14:53,微博 weibo.com,2,2,0,1
J6Wplb13B,【转发辟谣！#北京疫情这些谣言别信#】北京欢乐谷游客核酸检测呈阳性？河北燕郊一家三口发烧？北京育民小学已有学生确诊新冠肺炎？北京灯市口稻香村出现确诊病例？这些全是谣言。@首都网警 呼吁：防控不能松懈，重视但不恐慌。转发提醒！  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/c547f14egy1gftyedpnb3j20c80le0u8.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gftyedsh7ej20c80mqgn8.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gftyedssxdj20c80uk41r.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gftyedthrrj20c80letan.jpg",无,TRUE,无,无,2020/6/16 20:48,微博 weibo.com,0,1,2,1
IEuZu5xG1,【#世卫组织辟谣新冠病毒起源自实验室#：已有证据表明病毒源自动物】世卫组织发言人法德拉·沙伊卜21日表示，世界卫生组织目前正与两种“大流行”斗争，分别是新冠疫情大流行和“虚假信息大流行”，#世卫称抗疫同时也在抗击虚假消息大流行#。针对近期在媒体和社交平台上流传的一些有关新冠病毒起源的谬论，她表示，所有已知证据都表明新冠病毒源自动物，而不是经实验室人工干预或制造而来的。http://t.cn/A6wEyEpL ,,无,无,TRUE,无,无,2020/4/22 14:46,深度报道 · 视频社区,0,0,0,2
IBAskkTPy,【#教育部辟谣取消6月份四六级考试#：不实】针对近日“原6月份大学英语四六级考试取消，与下半年考试合并”的传言，记者3日从教育部考试中心证实，教育部考试中心已于2月底发布公告，推迟全国范围内2020年上半年全国大学英语四六级考试（CET）、全国大学英语四六级口语考试（CET-SET）、全国外语水平考试（WSK）、书画等级考试（CCPT）网上报名工作，并未发布取消考试的通知。（新华社） 原图 ,,http://wx1.sinaimg.cn/large/c547f14egy1gdgekb6r0ij20ci08cq35.jpg,无,TRUE,无,无,2020/4/3 11:10,微博 weibo.com,3,0,0,1
IyLaJjrHF,【315打假！#新冠肺炎辟谣#】连日来，疫情的发展牵动着每个人的心，各种谣言紧随其后。不带口罩驾车被扣6分？体温枪伤眼，造成永久伤害？微波炉加热口罩可以消毒？洗热水澡能预防新型冠状病毒？......看看你避开了多少？让谣言止于“较真”！  [组图共10张] 原图 ,,"http://ww1.sinaimg.cn/large/c547f14egy1gcuhdivmifj20j60863zb.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcuhdez3f5j20j60v341c.jpg,http://ww3.sinaimg.cn/large/c547f14egy1gcuhdf1429j20j60v2tbz.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcuhdf1bjkj20j60v30vl.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gcuhdf245zj20j60v3dij.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcuhdf1a5jj20j60v3acp.jpg,http://ww1.sinaimg.cn/large/c547f14egy1gcuhdfdvozj20j60v3whk.jpg,http://ww3.sinaimg.cn/large/c547f14egy1gcuhdf9x8lj20j60v3q5s.jpg,http://ww3.sinaimg.cn/large/c547f14egy1gcuhdfbrgqj20j60v3tbn.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcuhdizeurj20j617jdjt.jpg",无,TRUE,无,无,2020/3/15 20:56,微博 weibo.com,2,6,0,1
IxNlC6yaf,【辟谣！#湖北产地的水果不能吃为谣言#！】近日，网传消息称：湖北秭归17万吨滞销脐橙，有网友表示有心助农但担心传染不敢购买。中国工程院副院长、“柑橘院士”邓秀新表示：果蔬是不可能与人传染的，#不要歧视湖北水果#。3月2日，首批8万多斤秭归脐橙已经发往全国，全程实现“云品控”。@武汉发布  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/c547f14egy1gcmie5bkg2j20ci08cq35.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gcmie1ku2ij20j606v0un.jpg",无,TRUE,无,无,2020/3/9 12:38,微博 weibo.com,1,4,0,2
IwCQgrxjX,【转发辟谣！#新冠肺炎最新谣言汇总#】钟南山“预测”各地解除限制时间？北京积水潭医院将建方舱医院？3万只羊赶往二连浩特？…这些说法你听过吗？统统都是假的↓↓不信谣，不传谣，转发辟谣！  [组图共14张] 原图 ,,"http://ww3.sinaimg.cn/large/c547f14egy1gcecmoa4egj20j60jpdia.jpg,http://ww3.sinaimg.cn/large/c547f14egy1gcecmo180uj20j60gfjtb.jpg,http://ww1.sinaimg.cn/large/c547f14egy1gcecmoiwgfj20j60ijwgt.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gcecmoem91j20j60jpmz9.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gcecmo6ibbj20j60edabj.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcecmohif9j20j60ibjt9.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcecmokzmfj20j60fj0u4.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcecmssaajj20j60hlgna.jpg,http://ww3.sinaimg.cn/large/c547f14egy1gcecmszpgbj20j60iv0vc.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcecmsxmmyj20j60jujtu.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gcecmsxoy7j20j60ixjtn.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcecmsz41lj20j60gkwg6.jpg,http://ww2.sinaimg.cn/large/c547f14egy1gcecmt0aoyj20j60i80v2.jpg,http://ww4.sinaimg.cn/large/c547f14egy1gcecmwuqppj20j60jqwgj.jpg",无,TRUE,无,无,2020/3/1 20:03,微博 weibo.com,2,5,2,1
