评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3101965371,fx我心有海-随遇而安,女,四川,273,103,7,为啥成都市的具体数据永远比郊县的慢 举报 赞[12] 回复 2020-02-05 10:31:07 来自网页,12,2020-02-05 10:31
https://weibo.cn//u/1849902484,月野兔_本兔,女,四川,6883,351,893,请问锦江区确诊的几名患者的行走轨迹在你微博里哪条新闻有写啊？,3,2020-02-05 10:28
https://weibo.cn//chengduzhujie,闹市隐,男,四川,3402,749,857,成都数据的更新速度，我已经无力吐槽了。,3,2020-02-05 10:45
https://weibo.cn//tongchenghui,微博同城,女,北京,38961,2388,1829783,Hi，我已将你的微博收录到新鲜事 ,0,2020-02-05 13:37
https://weibo.cn//u/1921667725,没钱可是就想去玩呀,女,四川,580,234,300,回复@多二二二:赞同，公布不详细,0,2020-02-05 11:41
https://weibo.cn//u/3340565982,ABC106jab,男,西藏,533,517,162,谣言之所以产生是因为信息的不透明，你们明明可以在每天公示中明显每个确诊病例的所在区所在街道甚至是所在小区，让公众更明确，而不是处在猜疑中，不是更好吗？,3,2020-02-05 10:53
https://weibo.cn//u/6079843145,OREO曲奇奶盖,男,四川,282,112,79,都要十一点了还不更新嘛,0,2020-02-05 10:50
https://weibo.cn//u/2010293577,Alex_柯宝,男,天津,71,60,2,成都今天新增的哪个区的不公布吗？,3,2020-02-05 10:46
https://weibo.cn//chengduzhujie,闹市隐,男,四川,3402,749,857,成都数据的更新速度，我已经无力吐槽了。,3,2020-02-05 10:45
https://weibo.cn//u/2208391105,咻咻咻咻咻咻,女,四川,41,149,88,请问能不能公布一下活动轨迹，这样大家才安心呀,4,2020-02-05 10:40
https://weibo.cn//u/5032798039,今天想当小朋友,女,四川,21,102,217,求更新,1,2020-02-05 10:37
https://weibo.cn//cdqsr,法海寺的猫,男,四川,293,227,470,广汉都要公布路线轨迹活动区域 永远都是几例几例,1,2020-02-05 10:36
https://weibo.cn//u/5553049268,01鬼画符,男,四川,4,108,5,还没更新么,2,2020-02-05 10:31
https://weibo.cn//u/3101965371,fx我心有海-随遇而安,女,四川,273,103,7,为啥成都市的具体数据永远比郊县的慢     举报             赞[12]         回复             2020-02-05 10:31:07 来自网页,12,2020-02-05 10:31
https://weibo.cn//u/1849902484,月野兔_本兔,女,四川,6883,351,893,请问锦江区确诊的几名患者的行走轨迹在你微博里哪条新闻有写啊？,3,2020-02-05 10:28
