评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2831756647,山西交警,男,山西,48963,402,1231821,【转发辟谣！,0,2020-01-24 10:57
https://weibo.cn//u/1604466704,呼和浩特交警,男,内蒙古,35001,213,636599,【转发辟谣！,0,2020-01-24 10:33
https://weibo.cn//qxngsjj,黔西南高速交警,女,贵州,13928,571,69578,【转发辟谣！】 白岩松：①抽烟抵抗了SARS也可抵抗新型冠状病毒？这谣言太Low了。②用钟南山院士的画面称“饮高度酒对抗冠状病毒”？真相其实是：75%的酒精能够杀灭病毒，即用医用酒精擦拭手机、双手等日常接触的地方进行消毒是有用的，可没说“喝”！请停止散播谣言！,0,2020-01-23 23:21
https://weibo.cn//u/6998854071,兜巴星201902,女,广东,61,36,1,转发微博,0,2020-02-13 17:01
https://weibo.cn//u/2649482583,胶州交警,男,山东,61873,3441,9628,【转发辟谣！,0,2020-01-27 09:07
https://weibo.cn//u/6854793268,哟锦鲤,女,其他,0,29,3,回复@90後那场梦:毛子的 生命之水,0,2020-01-26 14:48
https://weibo.cn//u/2512208181,云州区交通管理大队,男,山西,9510,168,700,转发微博,0,2020-01-24 14:44
https://weibo.cn//jiaozuojiaojing,焦作交警,男,河南,17177,2045,224406,【转发辟谣！,0,2020-01-24 14:40
https://weibo.cn//u/5329683435,鹿茸茸的仙女,女,浙江,60,134,231,还有那些抽烟的，也醒醒吧，高温灭菌，不是这样搞得好吧,0,2020-01-24 11:58
https://weibo.cn//u/3967045286,平陆交警,女,山西,30696,2187,6251,转发微博,0,2020-01-24 11:23
https://weibo.cn//u/2831756647,山西交警,男,山西,48963,402,1231821,【转发辟谣！,0,2020-01-24 10:57
https://weibo.cn//u/1604466704,呼和浩特交警,男,内蒙古,35001,213,636599,【转发辟谣！,0,2020-01-24 10:33
https://weibo.cn//u/7280432878,平昌县交警大队,男,四川,1202,20,275,转发微博,0,2020-01-24 10:03
https://weibo.cn//qxngsjj,黔西南高速交警,女,贵州,13928,571,69578,【转发辟谣！】 白岩松：①抽烟抵抗了SARS也可抵抗新型冠状病毒？这谣言太Low了。②用钟南山院士的画面称“饮高度酒对抗冠状病毒”？真相其实是：75%的酒精能够杀灭病毒，即用医用酒精擦拭手机、双手等日常接触的地方进行消毒是有用的，可没说“喝”！请停止散播谣言！,0,2020-01-23 23:21
https://weibo.cn//u/6075776974,小曦曦是萌神呐,女,其他,84,299,31,。：我就想知道那些在武汉的，封城以后偷偷找司机，从武汉到孝感800！！回老家的准备干嘛！！气死我了！全国人民都在为武汉加油！！,1,2020-01-23 19:59
https://weibo.cn//gljj122,古蔺交警,男,四川,2078,140,1186,转发微博,0,2020-01-23 19:44
https://weibo.cn//92ydc,90後那场梦,男,湖北,112,905,280,我想只有二哈才会“喝”75%的酒，这如果都看不明白看不懂，那就真是活该,1,2020-01-23 19:43
