评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2831756647,山西交警,男,山西,48963,402,1231821,【转发辟谣！,0,2020-01-24 10:55
https://weibo.cn//u/1604466704,呼和浩特交警,男,内蒙古,35001,213,636599,【转发辟谣！,0,2020-01-24 10:32
https://weibo.cn//u/6182412806,给我糖就走,男,辽宁,96,96,206,怎么做正确，望指导,3,2020-01-24 07:18
https://weibo.cn//u/7127941754,丽水遂昌交警,男,浙江,406,92,93,转发微博,0,2020-02-03 10:06
https://weibo.cn//u/2117979311,最钟祥,男,湖北,13464,1574,128002, ,0,2020-01-30 09:18
https://weibo.cn//u/2649482583,胶州交警,男,山东,61873,3441,9628,【转发辟谣！,0,2020-01-27 09:08
https://weibo.cn//u/2512208181,云州区交通管理大队,男,山西,9510,168,700,转发微博,0,2020-01-25 09:58
https://weibo.cn//u/1974438244,湖北咸宁交警,男,湖北,16964,541,119276,转发辟谣！,0,2020-01-24 21:52
https://weibo.cn//u/2512208181,云州区交通管理大队,男,山西,9510,168,700,转发微博,0,2020-01-24 14:44
https://weibo.cn//u/3732846850,监利交警大队,女,湖北,1036,227,1400,转发微博,0,2020-01-24 14:28
https://weibo.cn//u/3967045286,平陆交警,女,山西,30696,2187,6251,转发微博,0,2020-01-24 11:23
https://weibo.cn//u/2831756647,山西交警,男,山西,48963,402,1231821,【转发辟谣！,0,2020-01-24 10:55
https://weibo.cn//u/1604466704,呼和浩特交警,男,内蒙古,35001,213,636599,【转发辟谣！,0,2020-01-24 10:32
https://weibo.cn//u/7280432878,平昌县交警大队,男,四川,1202,20,275,转发微博,0,2020-01-24 10:02
https://weibo.cn//xianjiaojing,西安交警,男,陕西,35354,249,815491,【转发辟谣！,0,2020-01-24 09:37
https://weibo.cn//u/5246971439,北岸交警,男,福建,1980,52,225,转发辟谣！,0,2020-01-24 09:07
https://weibo.cn//u/2424650311,祥符交警,男,河南,19553,237,1252,共渡难关！,0,2020-01-24 08:59
https://weibo.cn//u/1410591805,最帅小金猪,男,江西,793,361,129,说真的吧,0,2020-01-24 08:20
https://weibo.cn//jcjjzd,金昌交警支队,男,甘肃,63891,1012,121982,     举报             赞[0]         回复             2020-01-24 07:39:02 来自网页,0,2020-01-24 07:39
https://weibo.cn//sunwind0000,云禅之边,男,山东,49291,2364,1609,谣言止于智者,0,2020-01-24 07:36
https://weibo.cn//u/6182412806,给我糖就走,男,辽宁,96,96,206,怎么做正确，望指导,3,2020-01-24 07:18
https://weibo.cn//u/2294875302,喧哗时间,男,江苏,134,187,60,新年好,0,2020-01-24 07:16
