微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
ICdU610bj,#北京近期公布开学时间#【转起辟谣！#北京辟谣9月1日前不开学#】@北京市教委：近日，部分家长微信群流传“北京某区教委接到通知，确认9月1日前不会复学”“网课就这么一直上下去“等信息，对此，北京市委教育工委、市教委明确表示，这是一条虚假信息。目前，北京市委教育工委、市教委正在分批次、分类型做开学准备工作，制定各批次、各年级开学详细计划。近期，市委教育工委、市教委将公布具体开学时间。 @央视新闻 原图 ,,http://wx2.sinaimg.cn/large/9c8ccb53ly1gdl8q175m7j20go0gognx.jpg,无,TRUE,无,无,2020/4/7 15:35,OPPO随光而变R17 Pro,1,0,0,1
ICcgNgX2U,#辟谣# 【掌阅|辟谣！“开始抢粮食、粮店超市都抢光了”系谣言】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 @兰州_安宁 http://t.cn/A6ZgTcIV ,,无,无,TRUE,无,无,2020/4/7 11:26,微博 weibo.com,0,6,2,1
IBCWz0Zav,#四六级# #教育部辟谣取消6月份四六级考试# 【掌阅|辟谣！“6月份大学英语四六级考试取消”不实】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 @兰州_安宁 http://t.cn/A6ZT62YP ,,无,无,TRUE,无,无,2020/4/3 17:30,微博 weibo.com,1,5,1,1
IBASHwwoL,#教育部辟谣取消6月份四六级考试#四六级听力里容易混淆的形近音近词收藏起来～  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/9c8ccb53ly1gdggfv9beuj20da104q4w.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gdggfvwgmtj20ds105q4r.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gdggfwl4v8j20ds0zr0uk.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gdggfx71k3j20d2108tap.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gdggfy1bakj20go0fmt9a.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gdggfynliwj20cq106mz4.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gdggfzbwnxj20dg106q4v.jpg,http://ww2.sinaimg.cn/large/9c8ccb53ly1gdggfzxz12j20bm10640c.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gdggg0hk3rj20dy108q4r.jpg",无,TRUE,无,无,2020/4/3 12:15,OPPO随光而变R17 Pro,151,102,6,1
Iz47cdxlw,#辟谣# 【关于网传“有关部门追查沙特回甘人员”不实信息的辟谣声明】                       辟谣声明近日，网传：“有关部门正在追查沙特回甘人员17人，在兰州等地找到6人，其余11人行踪尚不明确。”经有关部门和区县核实，沙特来甘返甘居住我市人员已全部集中隔离，密接人员也已全部采取了措施。经证实，该消息为虚假信息。公安机关已对散布谣言的李某进行了批评教育，李某认识到自己的错误行为，并表示不会在网上发表、传播、散布任何不实言论。请广大网友理性对待网络信息，不信谣，不传谣，感谢大家对兰州市新冠肺炎防控工作的关注和支持。兰州市联防联控领导小组办公室2020年3月17日（兰州市互联网联合辟谣平台）@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 @兰州_安宁 ,,无,无,TRUE,无,无,2020/3/17 21:09,OPPO随光而变R17 Pro,10,4,8,2
Iz0vaBBNJ,#北京海关辟谣11万人从欧洲到北京#【转发辟谣！#官方辟谣11万人将从欧洲抵京#，北京海关：虚假消息】据@北京海关123600 ，3月16日，有网络传言：“北京海关向国内航空公司汇总欧洲至北京航班机票预订情况，中午统计结果出来了，未来一周有11万人从欧洲各地到北京。”经核实，我关未开展过此项调查，该消息为虚假信息。理性对待网络信息，不信谣，不传谣！@人民日报 原图 ,,http://wx3.sinaimg.cn/large/9c8ccb53ly1gcwsehssifj20mn0ahab6.jpg,无,TRUE,无,无,2020/3/17 11:57,OPPO随光而变R17 Pro,3,1,0,1
Iyo1tAFIm,#辟谣# 【辟谣！“今天上午市政府会议精神相关内容”系谣言】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 @兰州_安宁 http://t.cn/A6zVu6B8 ,,无,无,TRUE,无,无,2020/3/13 10:00,微博 weibo.com,4,0,3,1
IynqFhZor,#辟谣# 【辟谣！“今天上午市政府会议精神相关内容”系谣言】网传“今天上午市政府会议精神相关内容”，经核实，此消息不属实，系谣言。请广大网友从官方权威渠道获取信息，不传谣、不信谣！@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 @兰州_安宁 原图 ,,http://wx1.sinaimg.cn/large/9c8ccb53ly1gcrzuf70olj20eg0m8gmz.jpg,无,TRUE,无,无,2020/3/13 8:29,OPPO随光而变R17 Pro,3,2,7,1
IxMBKyiVh,#辟谣# 【辟谣！教育部正式通知：今年高考延期至6月26日举行系谣言】@甘肃发布@中国甘肃网@每日甘肃网@城关发布 @七里河发布 @西固发布 @红古发布 @榆中发布 @兰州新区官方微博 @博爱兰州 @话兰州 @尕兰州 @IN兰州 @时尚兰州 @兰州美 @兰州这点事 @兰州同城 @兰州人说兰州事 @兰州官宣 @行遍陇原 @兰州内参 @兰州全媒体@爱在母亲河畔@新浪甘肃 @兰州_安宁 http://t.cn/A6zPn4M9 ,,无,无,TRUE,无,无,2020/3/9 10:45,微博 weibo.com,6,4,2,1
IwzziClFM,【转发辟谣！#新冠肺炎最新谣言汇总#】钟南山“预测”各地解除限制时间？北京积水潭医院将建方舱医院？3万只羊赶往二连浩特？…这些说法你听过吗？统统都是假的↓↓不信谣，不传谣，转发辟谣！ @人民日报  [组图共14张] 原图 ,,"http://ww1.sinaimg.cn/large/9c8ccb53ly1gce9zi0roxj20j60jp76d.jpg,http://ww2.sinaimg.cn/large/9c8ccb53ly1gcea2expdkj20j60gfjt0.jpg,http://ww2.sinaimg.cn/large/9c8ccb53ly1gcea2fjx2vj20j60ijtan.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gcea2g59j9j20j60jpabv.jpg,http://ww2.sinaimg.cn/large/9c8ccb53ly1gcea2gn7krj20j60edaba.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gcea2h2ftaj20j60ibtaa.jpg,http://ww2.sinaimg.cn/large/9c8ccb53ly1gcea2hj1dij20j60fjdh0.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gcea2hz5q8j20j60ivgns.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gcea2ij4s5j20j60jumza.jpg,http://ww3.sinaimg.cn/large/9c8ccb53ly1gcea2j3r9vj20j60ixtam.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gcea2jnxbnj20j60i8tar.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gcea2kbthlj20j60hl3zw.jpg,http://ww4.sinaimg.cn/large/9c8ccb53ly1gcea2lbctfj20j60jqq4o.jpg,http://ww1.sinaimg.cn/large/9c8ccb53ly1gcea2ls6okj20j60gkjsu.jpg",无,TRUE,无,无,2020/3/1 11:43,OPPO随光而变R17 Pro,1,1,0,1
