评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5708360709,安非他屿,女,其他,90,82,167,所以饭店啥时候开门,0,2020-02-19 16:16
https://weibo.cn//u/5908677185,黑化肥会会挥发4869,男,其他,22,102,15,兰州后天会开学吗,1,2020-02-28 20:09
https://weibo.cn//u/1111165271,悟空悟不空啊,男,海外,852,159,103,请问什么时候开学啊,0,2020-02-20 18:57
https://weibo.cn//u/6985141714,飞大大很酷,男,其他,8,173,5,什么时候能开学啊，一点眉目都没有,0,2020-03-31 10:40
https://weibo.cn//u/7241902087,青黛史君,女,其他,9,86,1,快点开学吧。。。哭了,0,2020-03-12 01:03
https://weibo.cn//u/1733674875,fox-半面妆,女,其他,1996,369,892,建议取消网课，今天我爸去给我弟弟买电脑买打印，我弟今年一年级，我爸小学毕业完全弄不了，去店里买打印机和电脑被忽悠了小一万，回去还不会用，伤财伤力，外面打印一张作业6块钱，难道没人管吗？,0,2020-03-11 17:03
https://weibo.cn//u/7382625324,DJ扎西,男,甘肃,2,5,1,那卫校毕业生呢    要考大专的也是推迟吗？,0,2020-03-03 23:24
https://weibo.cn//u/2626472787,兰州发布,男,甘肃,71783,473,780847,回复@悟空悟不空啊:目前没有相关消息，如有小编会发布，感谢您的关注,0,2020-02-28 20:12
https://weibo.cn//u/2626472787,兰州发布,男,甘肃,71783,473,780847,回复@黑化肥会会挥发4869:您好，目前没有相关消息，如有小编会发布，感谢关注,0,2020-02-28 20:11
https://weibo.cn//u/5908677185,黑化肥会会挥发4869,男,其他,22,102,15,兰州后天会开学吗,1,2020-02-28 20:09
https://weibo.cn//u/5048895358,予己Yuki,男,其他,306,956,47,学校不开学，店这个季度租金还没交呢，太难了,0,2020-02-24 23:05
https://weibo.cn//u/1111165271,悟空悟不空啊,男,海外,852,159,103,请问什么时候开学啊,0,2020-02-20 18:57
https://weibo.cn//lizhilino,博爱兰州,男,甘肃,262625,19633,841087, ,0,2020-02-19 21:17
https://weibo.cn//u/2626472787,兰州发布,男,甘肃,71783,473,780847,回复@36号花朝十二:希望疫情能够尽快过去，饭店就都能够开门啦[加油],0,2020-02-19 19:53
https://weibo.cn//u/2626472787,兰州发布,男,甘肃,71783,473,780847,回复@是洋哥哥呦:小编目前没有相关消息，如有会发布，感谢您的关注,0,2020-02-19 19:52
https://weibo.cn//u/7335732640,一个人走-201911,男,甘肃,16,54,23,回复@36号花朝十二:几天没吃饭了？？？,0,2020-02-19 18:47
https://weibo.cn//u/3946429662,小龙虾張福龙,男,甘肃,528,188,65,保| 保利甘肃双城钜惠内购秒杀 利| 5700元/㎡起，享光能通透三房 领| 6000元/㎡起，一口价旺铺限量发售 秀| 2月29日前享30天无理由退房 山| 𝑽𝑰𝑷-𝑳𝑰𝑵𝑬：13099297242,0,2020-02-19 17:40
https://weibo.cn//u/2626472787,兰州发布,男,甘肃,71783,473,780847,回复@蕾姆酱超甜的耶:http://t.cn/A6Pievy3,0,2020-02-19 16:26
https://weibo.cn//u/7011390445,肖战今天死了没啊,男,其他,49,74,5,我想问一下大家在兰州如何成为志愿者，给家乡做点贡献,1,2020-02-19 16:24
https://weibo.cn//u/5708360709,安非他屿,女,其他,90,82,167,所以饭店啥时候开门,0,2020-02-19 16:16
https://weibo.cn//u/5652353349,是洋哥哥呦,男,辽宁,209,146,92,所以到底啥时候开学,1,2020-02-19 16:10
