评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3015470695,程曦o,女,其他,2593,589,489,建议顺丰再起诉他,834,2020-01-30 18:52
https://weibo.cn//u/6264211300,utcxicohocurz,女,其他,2418,42,5,？？？？？十五天？？？？？？？？,249,2020-01-30 18:51
https://weibo.cn//renqiuhan,任秋寒,女,其他,14762,122,7995,什么东西！就地焚烧了他都嫌污染环境！,171,2020-01-30 18:51
https://weibo.cn//u/5658856052,小前可萌了灬,男,其他,6,91,4,那个，，，我今天亲戚从韩国邮过来的800多个口罩，打开少了一半，怎么解决？,0,2020-02-03 11:55
https://weibo.cn//u/7030513680,诀徵羽,男,海外,2,43,22,！,0,2020-02-03 10:37
https://weibo.cn//u/7030513680,诀徵羽,男,海外,2,43,22,讲真相说别人造谣？,0,2020-02-03 10:37
https://weibo.cn//haitongbense,孩童本涩·兮Airen,女,山东,623,331,427,回复@醒不了太早:这人接受行政处罚,0,2020-02-01 19:44
https://weibo.cn//u/5165450630,冯桅文,男,其他,2,36,26,回复@源默安:对有些人来说，案底真没什么。。。,0,2020-02-01 02:31
https://weibo.cn//ludaxi,darenCCC,女,其他,3697,392,435,回复@华邦大桃:一面照妖镜,0,2020-01-31 23:39
https://weibo.cn//leozetaandp,华邦大桃,女,其他,3473,520,584,回复@darenCCC:这都什么乱世啊,0,2020-01-31 23:38
https://weibo.cn//ludaxi,darenCCC,女,其他,3697,392,435,@华邦大桃,0,2020-01-31 23:32
https://weibo.cn//hasszack,扶桑知事,男,其他,287,110,429,现在辟谣有效果吗？,0,2020-01-31 22:36
https://weibo.cn//shengxiamujin,许一大先生,男,其他,380,53,237,回复@月色绮丽:,0,2020-01-31 22:17
https://weibo.cn//yinhengyi,月色绮丽,男,浙江,62,507,5969,回复@考不上研就送快递:是的，说没货了然后诬陷海关，说海关强行无偿征用自己血本无归，所以价格贵了大家也不能埋怨，只能怨国家机关,0,2020-01-31 22:13
https://weibo.cn//shengxiamujin,许一大先生,男,其他,380,53,237,回复@木忆1浅夏:哈哈哈哈真正着急的会找到办法的,0,2020-01-31 19:07
https://weibo.cn//shengxiamujin,许一大先生,男,其他,380,53,237,回复@木忆1浅夏:是，众说纷纭,0,2020-01-31 18:52
https://weibo.cn//shengxiamujin,许一大先生,男,其他,380,53,237,回复@木忆1浅夏:顺丰官方客服已经一一跟进解决了，有问题一定要处理，没问题的盲目跟风肯定不对,0,2020-01-31 18:36
https://weibo.cn//u/5818526209,小王以后要赚大钱,女,陕西,1193,141,248,回复@荆雷在2018要努力赚钱:天哪真的吗,0,2020-01-31 17:02
https://weibo.cn//u/1903066373,Magical_于慧,女,吉林,1321,700,1155,@爱搞笑的红海儿,0,2020-01-31 16:37
https://weibo.cn//u/5397726714,醉醉醉由,男,河南,197,67,63,我想问高价卖口罩，怎么举报有效,0,2020-01-31 14:09
https://weibo.cn//u/2798754193,焙尔妈妈_贝贝甜,女,其他,1170,632,13081,不要脸的，瞎拍,0,2020-01-31 11:42
https://weibo.cn//u/7338255161,孽之妖妖,女,重庆,2,263,5,15日太轻了,0,2020-01-31 10:23
https://weibo.cn//u/3309093435,我想做天边的云,女,其他,11469,178,122,真是好的不耐烦了 这个时候出来添乱,0,2020-01-31 09:48
https://weibo.cn//shengxiamujin,许一大先生,男,其他,380,53,237,回复@虞简子:顺丰对于员工的监督管理还是要加强啊…,0,2020-01-31 09:43
https://weibo.cn//shengxiamujin,许一大先生,男,其他,380,53,237,回复@月色绮丽:还有这种操作？？,1,2020-01-31 09:25
https://weibo.cn//u/5904661252,双生魄魂,男,浙江,1105,191,70,回复@双子星塔sama:他们又不是第一次这么干了,0,2020-01-31 08:51
https://weibo.cn//u/6397901630,没没没小疯子,女,江西,751,131,17,查查红十字会,0,2020-01-31 08:50
https://weibo.cn//u/6174474629,__情怀__,男,河南,138,39,206,回复@猫猫酱527:,0,2020-01-31 08:44
https://weibo.cn//u/5883940617,杨小小Ni,女,重庆,4,74,17,15天就算了？ 妈的这个时候出来搞事，明明就是求死嘛，顺丰不要放过他！,0,2020-01-31 08:41
https://weibo.cn//u/6989518069,猫猫酱527,女,广东,89,216,19,回复@__无颜__:有可能是中转场的同事转错位置了，这种情况也有可能的，转错之后只能拦截，拦截不成功只能继续按安排路线走，再绕回来,0,2020-01-31 08:36
https://weibo.cn//yinhengyi,月色绮丽,男,浙江,62,507,5969,回复@考不上研就送快递:还有微商为了涨价卖口罩，说是海关截取征用的,0,2020-01-31 07:54
https://weibo.cn//yinhengyi,月色绮丽,男,浙江,62,507,5969,回复@源默安:没有的,0,2020-01-31 07:52
https://weibo.cn//u/2665625623,爱新觉罗猫爪,女,海外,1947,553,648,犯罪的成本真低。,0,2020-01-31 07:28
https://weibo.cn//u/1940971273,Oo愤怒的小河豚oO,女,广东,1063,338,179,昨天那些键盘侠骂别人说顺丰好的是舔狗呢,0,2020-01-31 07:21
https://weibo.cn//u/2571936345,我不懂架构,女,陕西,537,386,156,快递员这么辛苦，诬陷他们，你的良心不会痛吗,0,2020-01-31 07:16
https://weibo.cn//u/1869516560,追G风X------者M------------,男,北京,9830,1996,1854,丢我们甘肃的建,0,2020-01-31 07:10
https://weibo.cn//googleshoes,周承舟ARMIDA,男,北京,640,223,72775,回复@种花家的兔子tfq:带节奏的都是干其他快递的,0,2020-01-31 03:58
https://weibo.cn//u/3874944377,果树朝南,女,江苏,120,146,18,脑子有病!,0,2020-01-31 02:44
https://weibo.cn//u/2685078527,站在逆风的方向ccc,女,四川,514,341,124,脑袋有坑,0,2020-01-31 02:30
https://weibo.cn//u/1732121333,孤独皇冠L,女,广东,6454,247,1783,回复@源默安:不是公诉坐牢不会有案底,0,2020-01-31 02:23
https://weibo.cn//u/7343709930,篱篱原上草Eugenia,女,吉林,1083,157,125,这些人是闲出屁来了吗？还嫌现在不够乱？？？拘留15日都算轻的了，顺丰就应该告他俩不赔得他俩底裤都不剩这些人都不长记性！,0,2020-01-31 02:17
https://weibo.cn//u/2562109671,学生代购球鞋,女,海外,739,513,171,回复@荆雷在2018要努力赚钱:现在有网络了 谣言满天飞 听风就是雨,0,2020-01-31 02:08
https://weibo.cn//u/5541385742,以芒果的名义起誓,女,福建,933,313,138,回复@程曦o:借楼，我弟之前是顺丰员工，有个海鲜店老板嫌空运贵选择陆运，结果海鲜坏了被客户投诉，他说是我弟没空运。我弟不服气去店里找他理论，他先推了我弟，我弟想打他，被店里客人拉住没打，然后海鲜老板儿子就报警还要找媒体说这件事。顺丰为了维护公司形象就扣了我弟两千工资赔偿。我弟就从顺丰离职了。,1,2020-01-31 02:02
https://weibo.cn//u/2399734912,不苦b的阿森纳球迷云嘉,男,上海,2296,867,489,回复@相思赋予谁o:回下水道了,0,2020-01-31 01:30
https://weibo.cn//evalaw1112,花-椰-菜-小-姐,女,上海,3213,899,602,搞不懂搞不懂,0,2020-01-31 01:28
https://weibo.cn//u/3893703324,欣那个欣那个欣,女,其他,491,463,260,顺丰客服电话为啥打不通？？？人工服务的，我的快递到了一个地方两天没动了，着急用口罩呀。,0,2020-01-31 01:23
https://weibo.cn//u/6514132491,随性已惯960327,男,其他,6,140,1,李心草事件还没有结果吧,0,2020-01-31 01:18
https://weibo.cn//u/6174474629,__情怀__,男,河南,138,39,206,回复@蓝eating:不是啊   快递已经到昆明了  而且已经配送了   结果第二天又跑海口去了,0,2020-01-31 01:18
https://weibo.cn//u/6174474629,__情怀__,男,河南,138,39,206,回复@Mstark123:你这是在找骂？,0,2020-01-31 01:17
https://weibo.cn//u/1695038963,汤多多妈咪,女,四川,2428,1137,866,真的是无业游民，又蠢又笨,0,2020-01-31 01:16
https://weibo.cn//u/5561831456,youarenotsorry00,女,浙江,99,62,131,好无语 这种时候还造谣！,0,2020-01-31 01:10
https://weibo.cn//u/2404055037,蓝eating,女,广东,493,448,267,回复@__无颜__:emmm因为春节各流向物资量小，可能需要集中货量,0,2020-01-31 00:54
https://weibo.cn//u/3742308762,Mstark123,男,山西,575,776,1393,回复@__无颜__:那你别用。,2,2020-01-31 00:37
https://weibo.cn//u/2930531301,xiongxiongxy,女,北京,1,146,237,这些特么造谣的捣乱的能不能安静 艹,0,2020-01-31 00:35
https://weibo.cn//u/6552434150,逗哩个逗小宅女,女,其他,16,549,74,顺丰好样的！,0,2020-01-31 00:22
https://weibo.cn//u/3696506670,子橙懿,女,广东,0,7,67,what？？？就十五天，比超市抬价的还要轻,0,2020-01-31 00:08
https://weibo.cn//u/5633164749,七天之内登陆过,男,其他,1050,85,56,回复@程曦o:这人是傻吧,0,2020-01-31 00:02
https://weibo.cn//u/1307972605,建行金,男,山西,210,30,1656,不信谣不传谣不造谣！,0,2020-01-30 23:54
https://weibo.cn//u/5896109577,Q林木森,女,海外,151,52,38,不是，这都什么时候，还在乎那些名声啊关注啊什么的，病情难道不更值得关注吗？,0,2020-01-30 23:39
https://weibo.cn//u/2185659795,0肉肉花花0,女,山东,6555,515,153,在这危机的情况下，顺丰在全国做运输员，他们没休假，冒着感染的危险，在为我们运输需要的物品，辛苦啦，信任顺丰，感谢顺丰,0,2020-01-30 23:32
https://weibo.cn//u/6174474629,__情怀__,男,河南,138,39,206,回复@顾念不白:？？？怎么了,0,2020-01-30 23:05
https://weibo.cn//u/6324891115,喜欢有蜜桃味的蜜桃乌龙,女,河南,172,137,46,回复@程曦o:附议🙋他觉得一张嘴很有趣，就应该付出点代价,5,2020-01-30 22:52
https://weibo.cn//u/6324891115,喜欢有蜜桃味的蜜桃乌龙,女,河南,172,137,46,这种人，在军队里面是扰乱军心，扰乱军心该怎么办呢,0,2020-01-30 22:51
https://weibo.cn//u/6125252167,虞简子,男,其他,258,1108,42,回复@考不上研就送快递:昨天那个太蠢了，确实很迷惑，警察揭示是微商就和逻辑了。不过像顺丰自己都检讨网点为啥不阻止，可见这背后文章应该不少，丢件的事怕不全是黑的。个人觉得这些案例中，稀里糊涂丢件的占多数，比如昨天热点那个，追究就给找；居心叵测就是要截流的应该也有一少部分，希望以后能都加强管理，越来越好吧。,0,2020-01-30 22:48
https://weibo.cn//u/2881201391,网名被人占了,男,陕西,1150,175,272,疫情发生了，大家的生活来源断了。国家可不可以，让车贷，房贷，暂停扣款,0,2020-01-30 22:41
https://weibo.cn//jjmzhcs,家佳美综合超市,男,江西,154,104,109,紧要关头当用重典不然不已震人心。,0,2020-01-30 22:38
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4409,1213,467,     举报             赞[0]         回复             2020-01-30 22:34:19 来自网页,0,2020-01-30 22:34
https://weibo.cn//u/5238349887,顾念不白,男,陕西,2,14,1,回复@__无颜__:？？？？？？,0,2020-01-30 22:32
https://weibo.cn//shengxiamujin,许一大先生,男,其他,380,53,237,回复@虞简子:对，说的每一句话都要讲证据，就像我信任归我信任，但是我仍会等待最终的结果，而不是像他们什么事都能抬杠,0,2020-01-30 22:23
https://weibo.cn//u/2899105501,Mx和她的葵籽儿,女,其他,1,110,10,我的快递是口罩，就是寄的顺丰，已经快一周了都没有收到，每天给顺丰打电话都没有人解决，然后顺丰客服还把我的电话放置一边长达半个小时，我不觉得这个是假的，要不然我的口罩呢？？？？至今没有给我一个人回复,0,2020-01-30 22:13
https://weibo.cn//u/1937537207,荆雷在2018要努力赚钱,男,北京,1172,111,210,回复@种花家的兔子tfq:对还有个在美留学生捐300万套防护服网友一顿夸，结果是骗人的,5,2020-01-30 22:10
https://weibo.cn//xianghuyijiusiyu,染指纷飞去唇楼,男,浙江,10581,1708,1654,回复@程曦o:支持,0,2020-01-30 21:50
https://weibo.cn//u/6125252167,虞简子,男,其他,258,1108,42,回复@考不上研就送快递:其实我感觉也不要太肯定，不要因为一件事否定，反之亦然，我倒是认为昨天那一坨评论区里的不全是假的，管理上肯定有不少漏洞，不然不会形成网友纷纷现身说法的景象。言尽于此，有不同意见也请不要人身攻击,0,2020-01-30 21:47
https://weibo.cn//u/5946009917,煙敔yu,女,上海,8901,143,239,真的要严惩这些造谣的，我就是看了之前视频，害我一直担心快递扣下我的口罩,0,2020-01-30 21:47
https://weibo.cn//u/5020136242,车车来吧,女,其他,1059,165,63,回复@醉雨卧云何似仙丶:帮不上忙还要添乱，国家每天都得专门辟谣,4,2020-01-30 21:47
https://weibo.cn//u/2287587111,盈睿宝贝,女,河南,64,52,182,我是不信的，因为视频后边有个声音，，，可不敢瞎说，，，,0,2020-01-30 21:46
https://weibo.cn//u/7342899000,陈陈陈陈zhang彩虹,女,黑龙江,1003,192,30,真是闲的难受呀，15天后，顺丰继续告他,1,2020-01-30 21:44
https://weibo.cn//u/6093560508,a大怪小怪,男,其他,15,65,22,张某杰,0,2020-01-30 21:40
https://weibo.cn//u/1463630622,一世蜜糖,女,四川,622,292,181,要求重判,0,2020-01-30 21:39
https://weibo.cn//u/1422072480,丹德拉斯,女,云南,2571,1074,407,起诉他这种垃圾在全部疫情紧张时刻还搞这个事情拘留十五天不够,0,2020-01-30 21:28
