评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5235231261,哩唧璇同学,女,广西,852,395,2843,拒绝造谣 ,161,2020-02-04 18:59
https://weibo.cn//u/5496024555,杨幂魏大勋官宣没有,男,黑龙江,376,160,6463,造谣的都抓起来吧🙏🏻🙏🏻🙏🏻,106,2020-02-04 18:59
https://weibo.cn//persisit,No-tears人鱼小姐,女,湖北,2484,597,201,超市卖家卖给卖家，再以数倍价钱卖给买家。超市距离家不过几步距离。,0,2020-02-28 19:33
https://weibo.cn//u/5334173478,YoYuMoMo,女,其他,8690,332,348,我觉得药店法人及员工的工资不在本地的关了吧，一条街没有吃的没有住的让人打地铺喝西北风?,0,2020-02-16 17:16
https://weibo.cn//zhuhongyao,我是善良的小泡芙,女,河北,1847,142,566,回复@哩唧璇同学:写的好棒,0,2020-02-08 18:36
https://weibo.cn//u/1694207054,金晶_晶,女,湖北,825,1620,256,希望这是真的，超市太多人太可怕了,0,2020-02-05 16:11
https://weibo.cn//u/2508623981,匆匆cc契,女,其他,1711,846,448,这时候还造谣...真的人性！,0,2020-02-05 11:23
https://weibo.cn//u/5235231261,哩唧璇同学,女,广西,852,395,2843,回复@不愿将就的梵谷:同根,0,2020-02-05 10:58
https://weibo.cn//u/6005784075,硬糖少年303-氖思,男,重庆,608,284,180,回复@哩唧璇同学:好棒，bgm也好评,0,2020-02-05 10:53
https://weibo.cn//u/3202551462,山西老醯,女,香港,6,1020,2065,     举报             赞[0]         回复             2020-02-05 10:49:51 来自网页,0,2020-02-05 10:49
https://weibo.cn//u/3202551462,山西老醯,女,香港,6,1020,2065,     举报             赞[0]         回复             2020-02-05 10:49:46 来自网页,0,2020-02-05 10:49
https://weibo.cn//u/3202551462,山西老醯,女,香港,6,1020,2065,     举报             赞[0]         回复             2020-02-05 10:49:39 来自网页,0,2020-02-05 10:49
https://weibo.cn//u/3202551462,山西老醯,女,香港,6,1020,2065,     举报             赞[0]         回复             2020-02-05 10:49:34 来自网页,0,2020-02-05 10:49
https://weibo.cn//u/3202551462,山西老醯,女,香港,6,1020,2065,     举报             赞[0]         回复             2020-02-05 10:49:24 来自网页,0,2020-02-05 10:49
https://weibo.cn//u/3202551462,山西老醯,女,香港,6,1020,2065,     举报             赞[0]         回复             2020-02-05 10:49:16 来自网页,0,2020-02-05 10:49
https://weibo.cn//miyusama,miyusama,女,湖北,6125,828,825,当时我看到这个消息就知道是假的，没转发没传播,0,2020-02-05 10:29
https://weibo.cn//u/2413169151,滚滚吖滚滚,女,湖南,310,89,463,武汉人民已经很惨了，还有人不嫌事大地造谣，生怕他们紧绷的心弦不断吗？,0,2020-02-05 10:24
https://weibo.cn//u/3195592040,fyjs地摊上的马甲,男,湖北,74375,3089,273414,不能光靠拘留，要把谣棍罚的倾家荡产！//,0,2020-02-05 10:09
https://weibo.cn//u/7385976879,羊羊渣,女,浙江,3047,354,1206,网络信息良莠不齐  谣言止于智者,0,2020-02-05 10:07
https://weibo.cn//laycq,辣叶摧秋,男,浙江,51754,1815,240241,这个时候妖言惑众的，应该坚决拿下！//,0,2020-02-05 10:07
https://weibo.cn//u/6067644924,www黄桃我太可了叭,女,其他,601,167,8,造谣的有点良心吧……,0,2020-02-05 10:03
https://weibo.cn//u/6861551882,许昌爱心群,女,河南,49104,1120,594,假的！转啦💪,1,2020-02-05 09:57
https://weibo.cn//u/6220961357,熊猫伴蚩尤,男,其他,7,42,22,关键时刻，造谣能不能按照危害公共安全入刑。打仗时候，乱军心的人该怎么处理来着？,0,2020-02-05 09:51
https://weibo.cn//u/1504965460,王殿波,男,辽宁,12509,667,3925, ,0,2020-02-05 08:01
https://weibo.cn//u/6932993660,小宋喜欢可乐吗,女,其他,2525,48,533,别信谣传谣！我们一起加油！！武汉加油！中国加油！！,0,2020-02-05 05:38
https://weibo.cn//u/7241722280,子珠熙呀,男,海外,303,172,83,不要再造谣信谣了，理性为主，不轻信他人没有根据的言论,0,2020-02-05 03:52
https://weibo.cn//u/2261646175,玛卡巴卡惊了,男,新疆,123,87,27,回复 ,0,2020-02-05 02:35
https://weibo.cn//u/1672690215,多_winnie,女,辽宁,45,85,225,现在这个时期的造谣者不是为好玩，而是要乱国，大家要提高警惕，理性思考,0,2020-02-05 00:30
https://weibo.cn//u/1146770613,鸟蜀黍蜀黍,男,河南,1999,199,236,对造谣者仁慈就是对奋战一线战士们的残忍,0,2020-02-05 00:24
https://weibo.cn//u/2613409395,浮云游子落日,男,江苏,1242,817,167,如果官方的信息都可靠，谁还会信谣言？,0,2020-02-05 00:20
https://weibo.cn//333598818,点子正,男,辽宁,58599,4850,692662,     举报             赞[0]         回复             2020-02-05 00:07:48 来自网页,0,2020-02-05 00:07
https://weibo.cn//u/2261646175,玛卡巴卡惊了,男,新疆,123,87,27,回复 ,0,2020-02-04 22:15
https://weibo.cn//u/6474873881,NN_江,男,其他,25,26,2,谣言的背后是啥？药店要关门，带来的利益就是让老百姓加快消费,0,2020-02-04 22:11
https://weibo.cn//zhiyinhanyang,知音汉阳,女,湖北,39953,369,120541,转发微博,0,2020-02-04 22:05
https://weibo.cn//u/1912099047,聊斋地盘,男,山东,4690,54,112,很多谣言来自境外敌对势力暂且不论，很多在境内参与传谣的都设么心态，这是你自己生活的环境，你确定希望出现恐慌造成生活不便么？真是太幼稚了，奉劝那些为了点击蹭热度胡说八道的大V都做个人吧消停点，普通网民在转发一些不靠谱的消息之前也过过脑子分析一下真假。,1,2020-02-04 21:47
https://weibo.cn//u/5315235768,SylvanasWindrunn,男,福建,1968,35,90,造谣的给我抓起来！！！！！,0,2020-02-04 21:39
https://weibo.cn//u/6021843105,神秘世界历险记123,男,重庆,311,220,56,造谣的拿来大街上裸奔，古代游街还是有原因的，有理论根据的,0,2020-02-04 21:35
