评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6265642687,论文助手111222,男,其他,26,267,9,大使馆给留学生发的健康包是每人一份？,0,2020-04-18 18:54
https://weibo.cn//u/5347105678,旁边没有迷人的宝贝xqx,女,湖南,3189,369,203,能把菲律宾任务到期的外派教师接回来不，本来要到期要回来的现在被困在那里惨兮兮,0,2020-03-22 20:00
https://weibo.cn//mydandelionindream,沫沫不得羽,女,北京,2290,426,341,造谣的人简直了！挨千刀！,0,2020-02-11 10:02
https://weibo.cn//u/6265642687,论文助手111222,男,其他,26,267,9,大使馆给留学生发的健康包是每人一份？,0,2020-04-18 18:54
https://weibo.cn//u/5347105678,旁边没有迷人的宝贝xqx,女,湖南,3189,369,203,能把菲律宾任务到期的外派教师接回来不，本来要到期要回来的现在被困在那里惨兮兮,0,2020-03-22 20:00
https://weibo.cn//mydandelionindream,沫沫不得羽,女,北京,2290,426,341,造谣的人简直了！挨千刀！,0,2020-02-11 10:02
https://weibo.cn//u/5888726579,沼泽里的一粒火星,男,上海,248,15,273,关键不在于到底是谁捐的，而是公信力缺失，谣言才有市场。你说的别人不信，等于也是造谣。既然造谣没有定义，那就看谁掌握话语权了,0,2020-02-07 07:56
https://weibo.cn//u/5866844078,戒酒的李白8317,男,河北,18,84,6,回复@闫忠文bot:我们五千年历史的祖国很伟大，但是…,0,2020-02-06 23:39
https://weibo.cn//u/1005861015,土豆迷333,女,其他,13575,326,167,回复@下雨天会湿:说的没毛病，谣言这么多，大多都是这么来的，谣言无成本，监管又放纵,0,2020-02-06 22:41
https://weibo.cn//u/5710989723,令出必行的沉睡者刘炎祥,男,山东,57,77,112,回复@Xiaoqi张小骑:莫非是物理击退,1,2020-02-06 12:22
https://weibo.cn//u/6458819815,不瞎作妖,女,其他,1,82,12,回复@春江一树红:你说说吧为什么,0,2020-02-06 00:25
https://weibo.cn//u/5647072256,Destudutast,男,其他,1,2,22,我泱泱大国，送一点口罩算什么,0,2020-02-05 22:44
https://weibo.cn//u/5647072256,Destudutast,男,其他,1,2,22,回复@春江一树红:其实菲律宾官方网站上还有一篇感谢华人社团捐赠60万口罩文章，发表在前两天,1,2020-02-05 22:38
https://weibo.cn//u/5974463792,西川兔子,男,四川,5,14,2,回复@rcselim:那就是中国政府捐菲律宾了呗,0,2020-02-05 22:10
https://weibo.cn//u/7072189196,Oliver663,男,其他,7,74,4,回复@省级退堂鼓表演者:那天是你用一块红布，蒙住双眼也蒙住了天,1,2020-02-05 21:52
https://weibo.cn//u/6379893810,歪比歪比歪比巴卜韩金龙,男,北京,9,55,30,回复@HYH吴情:的确 一开始那八个人造谣说肺炎会传染 赶紧抓起来,1,2020-02-05 20:25
https://weibo.cn//u/5934131819,抵制个毛线球,男,北京,36,321,48,回复@省级退堂鼓表演者:是不是自己花钱了，听到了不一样的声音就一定认定别人也花钱了？呵呵.,0,2020-02-05 19:27
https://weibo.cn//u/6142398346,Rockroooxy思安,女,海外,52,77,1086,这是认真的吗？中国人自己的口罩都不够，人民买的口罩也被扣了，然后中国还给外面捐?认真的吗？,0,2020-02-05 19:24
https://weibo.cn//sebbo,老赵老了么,男,北京,818,73,1690,回复@皮皮煌猪:图片评论 评论配图,1,2020-02-05 18:37
https://weibo.cn//sebbo,老赵老了么,男,北京,818,73,1690,如果这是谣言，可能是菲律宾政府造的。 ,1,2020-02-05 18:36
https://weibo.cn//u/3675979425,meon1k,男,其他,273,113,107,回复@西川兔子:当然我很清楚主体。你看记者问大使馆的是：华人社团捐了20W口罩是否属实。大使馆答：确实有华人社团不仅给中国捐也给菲律宾政府捐（没提捐多少）。这官方新闻稿里哪一个字表达了“中国政府捐赠给菲律宾20万口罩为假”？还是菲律宾政府“造谣”我们不敢直接说怕伤了菲律宾人的感情？ 评论配图,0,2020-02-05 18:10
https://weibo.cn//u/3477321921,海湖路第一小撕鸡,男,其他,87,110,131,回复@肥版蕉:新浪军事微博还有，其它应该都删掉了,0,2020-02-05 17:24
https://weibo.cn//u/3477321921,海湖路第一小撕鸡,男,其他,87,110,131,回复@肥版蕉:#港九快讯#【香港特区政府：与内地合作 安排超过3000万个口罩运港】新冠肺炎疫情严峻，口罩成为抢手货。1月30日，香港特区政府政务司司长张建宗会见传媒时指出，特区政府正在多管齐下增加口罩供应，包括与内地部门合作，近期将有超过3000万个口罩运抵香港。#最新疫情地图#@中新视频,0,2020-02-05 17:23
https://weibo.cn//u/1356152660,肥版蕉,男,广东,2860,424,557,回复@海湖路第一小撕鸡:啥时送了香港三千万只？,0,2020-02-05 16:56
https://weibo.cn//u/1267076377,很想明天再洗碗_,男,山西,462,411,159,回复@Xiaoqi张小骑:没想到这么多国家，第一个击退肺炎的是菲律宾,1,2020-02-05 16:46
https://weibo.cn//ergouingenue,贰狗少女,女,北京,367,224,1423,就是捐赠了又能怎么样，这病不是从武汉传出去的嘛？,0,2020-02-05 16:09
https://weibo.cn//u/5974463792,西川兔子,男,四川,5,14,2,回复@王耀王先生:你以为是在辟谣你？,0,2020-02-05 16:05
https://weibo.cn//u/5974463792,西川兔子,男,四川,5,14,2,回复@rcselim:问题是造谣的就是拿这件事来说的，说中国政府捐给菲律宾20万口罩，问题是这口罩是菲律宾华人社团捐的，搞清楚主体！,0,2020-02-05 16:04
