评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//zhuyi1126,中年少女乐观废人,女,江苏,1222,264,432,舅舅：你还不如剃头呢,3062,2020-02-03 13:02
https://weibo.cn//qiyuemiao,说给电竞老实人们,男,内蒙古,367,325,10147,哈哈哈，实力坑舅舅,1705,2020-02-03 13:01
https://weibo.cn//shiyihuan,今天有认真做实验吗,男,广东,310,509,360,无可舅药,1468,2020-02-03 13:01
https://weibo.cn//u/5211332908,倾城地时光,女,黑龙江,230,478,114,我看之前这个包装就像保卫康的,0,2020-02-20 10:13
https://weibo.cn//u/5522539362,古耐特kiss-fight,女,其他,38,88,109,鲁豫：谣言嘛？我不信,0,2020-02-16 20:28
https://weibo.cn//u/5283685936,M24暴力熊,男,山西,277,144,1564,呵呵呵 我信了,0,2020-02-13 12:09
https://weibo.cn//u/3001642070,阿拉蕾瓜瓜响,女,重庆,164,642,108,舅舅是谁？曝光一下,0,2020-02-10 13:45
https://weibo.cn//u/5784554871,有你wxy,男,江西,8,88,11, ,0,2020-02-09 18:15
https://weibo.cn//u/1568225523,51芝麻信用,男,其他,2334,1723,5215,差点把舅舅剃头了  进去了,0,2020-02-08 15:56
https://weibo.cn//u/3288961985,神也不知道的二粒,女,广东,89,77,37,舅舅说快把她弄成精神病,0,2020-02-08 15:00
https://weibo.cn//u/3288961985,神也不知道的二粒,女,广东,89,77,37,辞舅赢鑫,0,2020-02-08 14:59
https://weibo.cn//u/1906764163,奶奶苦练打野,女,云南,87,231,14611,回复@Zha查查查查小星:我也是姐妹，但是那些包装根本就没有密封，感觉中途可以打开无数次，我们也察觉不到那种。真的很怕有污染。,0,2020-02-08 11:14
https://weibo.cn//u/6212221752,昨夜倚楼独听雨,男,河南,2,68,25,回复@詠椿湫_星夜:你老舅没看到这条，看到了你得被吊起来,1,2020-02-07 10:17
https://weibo.cn//u/5974671750,青猫-010,女,上海,1828,282,343,实力坑舅啊,0,2020-02-07 08:46
https://weibo.cn//u/1224152544,美少女壮士,女,黑龙江,1086,861,235,呵呵,0,2020-02-07 07:27
https://weibo.cn//525672198,征程号角,男,山东,65828,1933,1182,转发微博,0,2020-02-06 18:49
https://weibo.cn//u/5632278631,比特币luckydog,男,其他,260,259,154,新仇舅恨,0,2020-02-05 17:43
https://weibo.cn//u/5827240869,沧海一声笑到最后,男,黑龙江,127,328,44,说不定是真事，为了大事化小，只能编个故事自圆其说！你们网民也信？,0,2020-02-05 11:34
https://weibo.cn//u/5827240869,沧海一声笑到最后,男,黑龙江,127,328,44,顺藤摸瓜，深挖舅舅。看看到底怎么了？为何有那么多口罩？,0,2020-02-05 11:30
https://weibo.cn//u/3825777458,Coke_with-ice,女,其他,66,63,90, 最后一条 晚安,0,2020-02-05 05:06
https://weibo.cn//u/6146626242,mm慢慢好起来,女,云南,1363,73,47,回复@chen9up:,0,2020-02-04 22:34
https://weibo.cn//u/3063007923,吃饱躺着等饿,男,江西,348,880,203,回复@爱未完D续:北方有局:正月里剃头死舅舅,0,2020-02-04 22:15
https://weibo.cn//u/6879403071,水生木36923,男,其他,626,406,84,谁信啊？,0,2020-02-04 21:56
https://weibo.cn//u/6879403071,水生木36923,男,其他,626,406,84,又见辟谣,0,2020-02-04 21:54
https://weibo.cn//u/6146740656,绝情的蔡徐坤,男,其他,24,7,32,回复@为祖国骄傲的草民:人家有背景的 当地的自媒体发布了文章 政府让删了,1,2020-02-04 20:28
https://weibo.cn//u/5136488342,海蓝不见鲸了,女,广东,141,556,56,回复@1只西柚:可以这个问题没有人深究,0,2020-02-04 13:06
