评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5790478068,黄焖鸡限定微辣,女,山东,14614,1088,12701,造谣十万转，辟谣没人看,1687,2020-02-03 16:36
https://weibo.cn//u/1809067572,樱桃肉丸子等花轮,女,四川,5,30,20,造谣的是袁隆平让你们吃太饱么,662,2020-02-03 16:37
https://weibo.cn//harelf,天鹤游侠,男,天津,2784,797,3370,咳咳，文中也提到了，那个事儿的真相是…… ,280,2020-02-03 16:39
https://weibo.cn//u/5713052819,我的心黑了,男,上海,115,183,75,回复@樱桃肉丸子等花轮:中国徐主席吃饱了？,0,2020-04-16 22:31
https://weibo.cn//u/5713052819,我的心黑了,男,上海,115,183,75,回复@黄焖鸡限定微辣:共尼玛团草，老子这共青团团员当腻了。一个许可馨背景都调查不出来。he，tui,0,2020-04-16 22:30
https://weibo.cn//333299699,lv1618,男,河南,11113,520,1807,回复@久人水三:谢谢，明白了。前几天另外一个新闻说，禁止领导干部用，把口罩留给一线医务工作者。,0,2020-02-19 13:04
https://weibo.cn//u/1634168175,久人水三,男,其他,313,81,1062,那肯定是领导带的工业n95比医用外科强，价格也贵很多，医用N95与普通N95，最大的区别在于是否防喷溅。,0,2020-02-19 10:15
https://weibo.cn//u/3304274214,兴兴向荣月月欢喜,女,重庆,3523,546,67,造谣一张嘴辟谣跑断腿，没看到辟谣热度就充分说明了问题，有些人就是为了带节奏而造谣，有些人本身就只喜欢看谣言，这些人那会关心事情真相，看到谣言就传得像吹了口气的蒲公英一样，看到辟谣就装瞎视而不见，所以谣言总是漫天飞舞而真相泯灭大众。就是因为有那么一批缺德的带路党和吃饱饭的杠精。,0,2020-02-12 22:59
https://weibo.cn//u/2510315542,春风里烘过的落叶,女,河北,3978,128,82,造谣一张嘴，辟谣跑断腿，最可笑的是，造谣永远都是传的比辟谣火，,0,2020-02-08 20:51
https://weibo.cn//lovexiaochaoren,享受这个世界z,女,其他,1777,499,455,回复@Paradox欧:嘴硬得很，你倒是想有个李刚的爹，做梦吧下辈子,0,2020-02-08 10:02
https://weibo.cn//lovexiaochaoren,享受这个世界z,女,其他,1777,499,455,回复@Paradox欧:几个字就暴露了您是屌丝,0,2020-02-08 09:55
https://weibo.cn//u/5125299081,张晓莉医生,女,湖北,52,1048,113,回复@天鹤游侠:不是不让领导戴口罩。是不能拿前线医护的口罩。,0,2020-02-07 12:14
https://weibo.cn//u/6119695250,dz86003,男,天津,6,151,36,回复@青芒酱油:那你今天觉得公信力还足吗？,0,2020-02-07 11:31
