评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5640653503,又菜又爱玩QAQ,男,安徽,172,126,138,外交部辟谣不信，公知一句话一群人就舔到家了！搞得就像美国给你一百万一样！我们的和平盛世是人民群众自己创造的！跟美国没关系,2062,2020-02-03 19:15
https://weibo.cn//u/5738254877,Mr_Moonpie,男,湖北,460,214,640,动动脑子，有些谣言真的，很假，就没必要信啊。,897,2020-02-03 19:14
https://weibo.cn//u/5266476586,种花家的秋梨膏,男,江苏,4125,399,812,我当时就很怀疑 ,461,2020-02-03 19:15
https://weibo.cn//u/6157726889,唐三带我躺赢,男,四川,18981,1170,34437,空口造谣，无耻之徒,1,2020-03-19 23:25
https://weibo.cn//u/6093367252,所有老鼠都怕猫么,女,北京,3440,1446,57,外交部辟谣不信，公知一句话一群人深信！我们的和平盛世是人民群众自己创造的！跟美国没关系,0,2020-03-19 23:13
https://weibo.cn//u/6909319712,禁k桃野的老婆,男,上海,2216,687,1417,造谣不要本，辟谣跑断腿,2,2020-03-19 23:12
https://weibo.cn//u/2654487257,六道崙囬,男,上海,1194,243,96,@辟谣知真相,0,2020-02-08 08:51
https://weibo.cn//songyixue,Old阴阳人,男,其他,592,175,41,欠吃,0,2020-02-07 12:32
https://weibo.cn//u/6307151286,Notakker,女,上海,1,3,10,李文亮死了你还有什么话说？,0,2020-02-07 05:43
https://weibo.cn//u/2817827451,诃拾贰,女,山西,170,321,46,回复@龏奭嚻艸:？？？,0,2020-02-06 22:48
https://weibo.cn//varalaslee,Varalaslee,女,湖北,55,140,159,看不懂这些网名高潮个什么，武汉病毒所申请使用专利权难道不是为了在日后有议价权吗，难道指望美国白送？真的是天真,0,2020-02-06 05:18
https://weibo.cn//u/2961921597,凌越Joker,男,广东,596,110,57,请国家讨论立法针对造谣、传播谣言行为有什么惩罚,0,2020-02-05 22:32
https://weibo.cn//buyongkao,爱高达的小狐狸,男,其他,54,65,390,刚刚还有人言之凿凿地说允许仿制，免费到四月。谣言的传播之大影响之广就体现在这里。所以说什么时候整治那些谣棍媒体？对我说的就是那一系,0,2020-02-05 20:42
https://weibo.cn//lovezyjandlqy,大啊大啊大憺归,女,北京,6026,847,370,可以把造谣的抓起来严惩吗,0,2020-02-05 20:28
https://weibo.cn//u/5664108539,小白___先生,男,其他,20,425,98,好多大v是不是想赚够钱然后去美国买块地，然后死后当坟头？,0,2020-02-05 11:03
https://weibo.cn//119leo,伪文艺青年小鱼,男,海外,1471,477,1562,好消息是，中科院病毒所有申请在新冠肺炎方面的应用专利。以后美国药企想在国内狮子大开口赚钱的时候，我们也有谈判的筹码，最后价格降了，患者国家受益,0,2020-02-05 10:53
https://weibo.cn//u/2234812731,整真时代,男,黑龙江,4255,1170,739,回复@我的可爱多掉Le:阴谋论怎么说怎么有理 脑洞我都服了,0,2020-02-05 09:32
https://weibo.cn//u/2234812731,整真时代,男,黑龙江,4255,1170,739,回复@柜叽:企业和非政府组织捐的东西不是东西,1,2020-02-05 09:30
https://weibo.cn//u/6638523229,丁之平,男,其他,2732,331,386,回复@忘羡幸福永远:专利是吉利德的，放弃专利只有药企吉利德有权！凭什么总统可以决定？美国是君主国家？呵呵！身在美国相信这种谣言？,0,2020-02-05 09:30
https://weibo.cn//auluke,澳洲卢克Luke,男,海外,5082,740,17848,不存在的,0,2020-02-05 09:26
https://weibo.cn//u/2252554695,桂桂啃萝卜,女,其他,277,102,91,学一点专利基础知识就不会相信这个谣言了，专利都是有地域性的，美国的专利在其他国家又没有效力，就算在中国有专利，要豁免也是我国政府豁免，关老特什么事…,0,2020-02-05 09:24
https://weibo.cn//u/5640653503,又菜又爱玩QAQ,男,安徽,172,126,138,回复@网上邻居陆宇:,1,2020-02-05 08:58
https://weibo.cn//u/5640653503,又菜又爱玩QAQ,男,安徽,172,126,138,回复@网上邻居陆宇:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈哈哈哈！多少钱啊，拉我进群呗，一起恰饭,0,2020-02-05 08:51
https://weibo.cn//u/5640653503,又菜又爱玩QAQ,男,安徽,172,126,138,回复@网上邻居陆宇:稍微学过点政治历史也不会说出你这种话，90年代后，四大屈辱事件你不知道？涉疆法案，涉藏法案了解一下？分裂香港，台湾了解一下？别一副上帝视角觉得自己很懂的样子,1,2020-02-05 08:50
https://weibo.cn//u/3524293332,海沙与雪,男,山东,3,34,7,回复@流年5951756646:持枪杀人，肆意发动战争，这不叫践踏人权？,1,2020-02-05 07:20
https://weibo.cn//luyu1129,网上邻居陆宇,男,广东,223,864,972,回复@幼儿园最优秀的仔:呃…美国多次请求过中国的，但中国拒绝了。,0,2020-02-05 03:28
https://weibo.cn//luyu1129,网上邻居陆宇,男,广东,223,864,972,回复@幼儿园最优秀的仔:谁都不能信，国与国之间各怀鬼胎，都是执政党为了巩固政权，中国没那么伟大，美国也没那么阴险，都成年人了还不懂政治。,0,2020-02-05 03:26
https://weibo.cn//u/1352499870,汤圆和包子是好朋友,女,湖南,10205,2483,853,恨国党和公知别洗地了,0,2020-02-05 00:17
https://weibo.cn//yangzhi1225,HER楊智O,男,广东,220,289,159,狠狠打了一些人的脸,0,2020-02-04 23:16
https://weibo.cn//huheming2008,古鸟的时代,男,北京,8027,606,426,精美用谣言为主子贴金，用幻想来意淫主子是救世主？jian不jian呐//,0,2020-02-04 23:11
https://weibo.cn//u/5491627575,明月照月光,女,北京,3093,368,108,这谣言一出来，炸出了多少人，,0,2020-02-04 23:04
https://weibo.cn//u/1670587817,失落的飞毛球,男,四川,1113,184,156,自己造谣自己辟,0,2020-02-04 23:01
https://weibo.cn//u/2281923052,KO一瓶酱油,男,广东,3657,1211,227,回复@记忆图标:香港暴动，贸易战，肺炎，接二连三的来，而且肺炎出现在中部交通枢纽，又赶上春运这个关头爆发，只要世卫宣布中国是重疫区，就会封锁中国，中国进出口贸易，还有金融会大受打击，就是这么个理，细细想,1,2020-02-04 22:09
https://weibo.cn//u/2141293794,AIR嗨小子,女,山东,839,860,94,个人建议造谣判刑起步十五年,0,2020-02-04 22:02
https://weibo.cn//u/2842193271,雪雪努力学英语,女,其他,645,340,167,这种谣言判刑么,0,2020-02-04 21:46
https://weibo.cn//u/1868716754,liujiepla,男,广东,657,194,149,放弃幻想，认清事实。莫要听信精外跪族的谣言。,0,2020-02-04 21:37
https://weibo.cn//u/1882402835,李云VS13984842424,男,贵州,543,1582,103,回复@天鹤游侠:我知道耿直那个什么猪的是环球时报的呀,0,2020-02-04 21:25
https://weibo.cn//u/2690503931,悦动916,男,北京,718,185,183,转发微博,0,2020-02-04 20:59
https://weibo.cn//js811,811君士导航,男,北京,1949,205,854,那些公知，大V们还有脸么，你们美国主子是什么样子的，可以知道了吧,0,2020-02-04 20:12
