评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5268589994,黄俊鸿,男,四川,915,80,20416,应该严厉打击那些带节奏的造谣的，官方在微博长期置顶一个热门辟谣的,357,2020-02-11 23:01
https://weibo.cn//u/5319784878,蒺藜谷,男,其他,101,787,388,现实是 谣不是谣 最后成了谣,102,2020-02-11 23:02
https://weibo.cn//u/5743573140,月厥也,男,浙江,25,70,22,江山娇去哪里了？,0,2020-02-25 21:14
https://weibo.cn//u/6924109198,jeuxinDerdit,男,其他,728,83,347,孤烟大妈鼻涕泡都乐出来了,0,2020-02-21 16:42
https://weibo.cn//perfectlgy1023,YM-布列塔尼号请回答,女,海外,1718,271,418,不信谣，不传谣，真相是什么呢？谣言又是什么呢？,0,2020-02-16 13:04
https://weibo.cn//u/5361820944,GROWINGWILD丨,男,山东,1328,375,300,那你快去注销微博啊,0,2020-02-15 23:15
https://weibo.cn//u/5037978646,忙点是好事,男,河北,5538,1234,756,回复@林空鹿饮溪-lk:到这我才回复，咱俩说的和团的图，别的层说的是团的字。好玩，,0,2020-02-13 12:56
https://weibo.cn//u/3116922965,侯爷-YZS,男,重庆,1258,325,3524,建议加大力度抓散播谣言的，把断章取义。带节奏的大V都拘留呢。人民需要真相，也需要希望，这种通过激化社会矛盾赚流量发国难财的不抓等着明年？,0,2020-02-13 11:45
https://weibo.cn//u/2745003857,我白给了你呐,男,山东,57,31,36,不信谣，不传谣，等团团辟谣,0,2020-02-13 09:32
https://weibo.cn//u/6646905703,雨墨青歌,女,其他,25,44,17,回复@银河系小英:真话谣言都不给讲,0,2020-02-13 07:38
https://weibo.cn//u/6599375032,银河风格,男,海外,23171,41,3272,这其中或许也有不是什么非要企图造成大恶果的，只是单纯说了些「不着边际」，「语不惊人死不休」之类话后让人惊谎了一下，「崇拜」了他一下，他会感到有种愉快感满足感的人，日语里就有个「愉快犯」的定义词。这也是种病态，就如同「露阴癖」的病态一样……当然也有就是出于完全恶意的，程度有不同～,0,2020-02-13 07:18
https://weibo.cn//u/2611703963,飞隼2012620,男,江苏,14258,661,390,问题是已经确认造谣的人怎么处理？有处理措施吗？舆论战场的主动权你们摸到过吗？,0,2020-02-13 03:14
https://weibo.cn//u/5594781717,拭之,男,湖南,78,368,147,这次文案真好,1,2020-02-13 01:38
https://weibo.cn//234290239,小可天天可,男,贵州,1322,110,166,朋友圈被刷屏了,0,2020-02-12 23:28
https://weibo.cn//u/6158833922,路魔力猫,男,其他,83,35,4,武汉政府出来走两步！？,0,2020-02-12 22:41
https://weibo.cn//208885921,西天取经的小唐,男,辽宁,4564,665,1788,支持,0,2020-02-12 22:36
https://weibo.cn//u/6380634399,柏舟粥,女,陕西,727,207,85,回复@薇拉20110210:谣言成为事实本就是可笑的事，有人不承认还说瞎话还挨不得批评了？李文亮当初还被说造谣呢，你咋不找让他签训诫书的人说理去？,0,2020-02-12 20:02
https://weibo.cn//u/7351294713,薇拉0210,男,河北,129,326,8,回复@柏舟粥:李文亮说一个健康的社会不能只有一种声音，为什么别人和你观点不一样就是睁眼说瞎话。,1,2020-02-12 19:54
https://weibo.cn//jjmzhcs,家佳美综合超市,男,江西,154,104,109,因为我之前无聊的时候就立过，所以一看到就知道是假的。谣言止于智者。,0,2020-02-12 19:46
https://weibo.cn//blackmoonlol,黑月之灵2333,男,四川,904,343,143,辟谣不公布真相，等于坐实谣言,0,2020-02-12 19:17
https://weibo.cn//u/5470906330,路边的阿花,男,江苏,579,226,168,扫把本身就是个瑶言，你用这个热点做的海报，来说辟谣的话，可太魔幻了。,0,2020-02-12 18:50
https://weibo.cn//u/7328464397,新手和平,男,香港,7,65,453,支持中國,0,2020-02-12 18:37
https://weibo.cn//u/7324529526,小兔言言,女,其他,2968,204,132,传的比辟的快,0,2020-02-12 18:08
https://weibo.cn//u/7096228781,鸦鸦的草药6斤,男,香港,541,162,62,不信谣不传谣 谣言统统该扫掉,0,2020-02-12 17:40
https://weibo.cn//u/6942335369,平行世界哆langCc,男,海外,100,99,53,回复@谷梁子师:故宫我也只是举例而已，红十字会呢？先打开仓库分配物资好不好？你说共青团不是党？百度去,0,2020-02-12 17:17
https://weibo.cn//u/2773530027,今天给您问好了吗,男,浙江,312,342,189,"上海市长宁区拼多多公司要求所有商家今天发货不然就要罚款,开始3元 三天再没发扣五元十元 各个地方因疫情影响发不了货快递根本进不来揽件 拼多多却和国家背道而行,不管商家死活! 退款的订单还要每一次扣千分之六的手续费 年前我们要下架商品还不给我们下架  横竖要商家罚钱？吃人血馒头？",0,2020-02-12 16:35
https://weibo.cn//u/6568806603,谷梁子师,男,陕西,33,88,28,回复@感谢langCc:这种情况下咱们第一工作是对抗疫情不是在这里对这个事情紧抓不放！在这种情况下国家怎么可能有余力来处理这个事？这个号是共青团！不是党！也不会处理这个事情！想发泄去故宫博物院下面发泄！妈的哪里都有你们！一群认为自己是正义的人！结果连正规渠道都不会走！,1,2020-02-12 16:19
https://weibo.cn//u/6772971239,永爱七字,女,其他,687,130,51,回复@小虫虫呀:蟹蟹你。,0,2020-02-12 16:15
