评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3196164832,四里河罗西,男,安徽,131,30,56,老鬼信,0,2020-02-19 07:30
https://weibo.cn//u/6049691263,羊宝宝的羊先森,男,河南,34,26,281,回复@赵文园园kun:我真不觉得政府丧失多少公信力了。信的人还是信，不信的一直说政府丧失公信力。无所谓，诺大个中国，有一亿个不信的，也在正常范畴。反正我身边的长辈，老师，同学都没这么觉得。造谣就是造谣，别扯什么公信力。不信可以闭嘴。,1,2020-02-18 12:41
https://weibo.cn//u/6027805060,蓝色的海洋TANG,男,其他,2851,248,205,有像新京报一样的造谣媒体存在，中国舆论环境好不了！路线错误，越来越反动！,0,2020-02-18 08:40
https://weibo.cn//u/6311372281,两百多斤的卡莎,女,山东,39,215,350,回复@_踩影子的猫:！！！！！！！！！姐妹,0,2020-02-18 02:13
https://weibo.cn//u/1653493234,_踩影子的猫,女,山东,2017,243,178,回复@顾深lyo:我居然在这里遇到ghj姐妹…,0,2020-02-18 02:11
https://weibo.cn//u/2279182262,稳如poi陈宏泰,男,湖北,1034,239,163,回复@赵文园园kun:我很好奇现实打脸什么了，现实中李文亮自己都在几个小时之后在自己群里澄清自己说的话有问题了，所以公安只训诫没有任何处分,0,2020-02-18 00:49
https://weibo.cn//u/2527926877,不秃顶的团真人,女,其他,3691,322,468,回复@拂晓_朔风:是的！看了亮瞎！,0,2020-02-18 00:20
https://weibo.cn//cmqcn,拂晓_朔风,男,河南,6486,965,1024,新京、澎湃、三联、凤凰四大谣媒,4,2020-02-17 22:58
https://weibo.cn//u/2527926877,不秃顶的团真人,女,其他,3691,322,468,回复@AAA求是:,0,2020-02-17 22:13
https://weibo.cn//u/7310119243,AAA求是,男,江苏,144,844,75,回复@不想秃顶的电商工作者:不行？可以电话交流啊，保证不是境外势力！,0,2020-02-17 22:12
https://weibo.cn//u/7310119243,AAA求是,男,江苏,144,844,75,回复@萌三太子亲妈粉:漂亮,0,2020-02-17 22:03
https://weibo.cn//u/2527926877,不秃顶的团真人,女,其他,3691,322,468,回复@AAA求是:,0,2020-02-17 22:02
https://weibo.cn//u/7310119243,AAA求是,男,江苏,144,844,75,回复@长沙共青团:等你们官媒公布真实信息呢，其他媒体全部关了算了,0,2020-02-17 22:02
https://weibo.cn//u/7310119243,AAA求是,男,江苏,144,844,75,回复@河南共青团:就等你们官媒公布真实信息呢，其他媒体全部关了算了,0,2020-02-17 22:01
https://weibo.cn//u/7310119243,AAA求是,男,江苏,144,844,75,回复@三秦青年:等你们官媒公布真实信息呢，其他媒体全部关了算了,0,2020-02-17 22:01
https://weibo.cn//u/7310119243,AAA求是,男,江苏,144,844,75,回复@辽宁共青团:就等你们官媒公布真实信息呢，其他的全部关了,2,2020-02-17 22:00
https://weibo.cn//u/7310119243,AAA求是,男,江苏,144,844,75,回复@不想秃顶的电商工作者:就是，以后我们就一张人民日报就够了，其他报纸我们都不信,0,2020-02-17 21:58
https://weibo.cn//u/2879884194,唐貳千,男,广西,510,577,85,回复@沙雕网评会长:三联有什么毛病 你跟我讲讲,0,2020-02-17 21:57
https://weibo.cn//u/3836303560,Babyface萝莉,女,贵州,2454,468,1047,@炕头53,0,2020-02-17 21:50
https://weibo.cn//u/7109689918,听音语sh,女,北京,14,44,3,回复@顾深lyo:就是要六子自尽，几碗粉他们不关心,2,2020-02-17 21:45
https://weibo.cn//yy2199,远方有那样一个地方,男,山东,2160,1675,166,回复@穿一条裤子的云:你还记得李文亮吗？,3,2020-02-17 21:14
https://weibo.cn//yy2199,远方有那样一个地方,男,山东,2160,1675,166,回复@辽宁共青团:怎么确认武汉病毒所说的是真话呢？让黄燕玲露一露面，谣言不就不攻自破了吗？,2,2020-02-17 21:10
https://weibo.cn//u/5943073883,诸君可识得此阵,男,四川,56,49,7,回复@赵文园园kun:不用把信谣言的责任推给政府，脑子都是自己的，谣言摆在那里，信不信在自己的判断，最近连母猪开口说话吃鸡蛋治肺炎都有人信，也怪政府咯？,1,2020-02-17 20:34
https://weibo.cn//777198696,宝藏莫妮卡,女,上海,13354,1447,2521,未曾回过武汉....,0,2020-02-17 20:12
https://weibo.cn//uc43500294,冬季将去,女,河南,72,110,208,回复@冷暖斋:还在认知过程中怎么就得出不会人传人的结论？我看你才是弱智。,0,2020-02-17 19:02
https://weibo.cn//u/2113838254,2天下神器,女,广东,11,147,218,回复@中年少女小张张:,0,2020-02-17 17:35
https://weibo.cn//u/3237996564,中年少女小张张,女,湖北,307,623,167,回复@WB夜_色:一手消息来自推特..然后被新京报一个“网传”出口转内销，后来扒皮网站截图是13年的，人员信息是网站公开的 黄2015年硕士毕业论文。SCI最后一篇论也发表于2015年，没有博士论文信息也没有搜到相关工作信息，换句话说，这位同学现在很可能压根就不在该所，这和辟谣消息是吻合,0,2020-02-17 17:32
https://weibo.cn//u/3237996564,中年少女小张张,女,湖北,307,623,167,回复@爱怎么磕就怎么磕:武汉P4官网上有公布人员信息，所以应该是他们在网站上随便找一个人然后就编故事了，不过我们的官方辟谣应该有理有据一点点反驳，这一点做的好不够好,0,2020-02-17 17:26
https://weibo.cn//u/3632593333,bibi好萌,男,江苏,366,245,80,回复@辽宁共青团:李文亮？,1,2020-02-17 17:19
https://weibo.cn//u/2527926877,不秃顶的团真人,女,其他,3691,322,468,回复@种花家折耳兔:,1,2020-02-17 16:25
https://weibo.cn//u/6645058383,第一个不会取名字的人,男,其他,27,73,5,回复@赵文园园kun:那你给我讲一讲吧,0,2020-02-17 15:22
https://weibo.cn//u/6645058383,第一个不会取名字的人,男,其他,27,73,5,回复@赵文园园kun:合法合规，你可以去百度一下相应法律法规，警察没问题,0,2020-02-17 15:18
https://weibo.cn//u/6645058383,第一个不会取名字的人,男,其他,27,73,5,回复@赵文园园kun:我就问你，警察的做法哪里不合法规,0,2020-02-17 13:18
https://weibo.cn//u/6015860452,萌三太子亲妈粉,女,广东,27312,294,718,不造谣！不信谣！不传谣！[加油],0,2020-02-17 12:59
https://weibo.cn//u/5150594114,玥落星海yys,男,北京,242,61,4375,回复@不想秃顶的电商工作者:新京报还有一批思想极端的粉丝，到处为杀人叫好，很危险 评论配图,1,2020-02-17 11:24
https://weibo.cn//u/5059222858,从前慢潮服,女,广东,56,125,11292,造谣惩罚太轻了，造谣者代价太小。对于谣言辟谣后，对造谣者进行严厉惩罚，不过无知造谣和恶意攻击造谣这两类人惩罚应该不同。,0,2020-02-17 10:53
https://weibo.cn//u/1601296495,清风舞藤,女,其他,45380,2726,186749,回复@马自达唇珠:去看原文，别看忽悠你的人的造谣。,0,2020-02-17 09:13
https://weibo.cn//u/3965794432,白婴宁,女,其他,13,19,6,我记得造谣超过多少，就能立案了,0,2020-02-17 07:20
https://weibo.cn//u/6961995191,韦博方程70626,男,北京,39,257,15,回复@三秦青年:不能造谣，但事实是，没有客观的机制能够保证病毒实验室不造毒、不泄毒、不頖国！这也是研究所的石教授即使用人头担保，依然没人信的原因！,0,2020-02-17 03:17
https://weibo.cn//u/6961995191,韦博方程70626,男,北京,39,257,15,不能造谣，但事实是，没有客观的机制能够保证病毒实验室不造毒、不泄毒、不叛国！这也是研究所的石教授即使用人头担保，依然没人信的原因！,2,2020-02-17 03:14
