评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//makerforce,力量不足需要锻炼,男,北京,11139,328,1349,这种叫做集散中心。集中安排去向。,40,2020-03-09 13:06
https://weibo.cn//u/2323375044,原来是涓涓呀,女,陕西,2559,526,1658,隔离点和交接点区别太大了！,25,2020-03-09 13:05
https://weibo.cn//u/5631534368,猪猪小兔子唯爱宁哥,男,河南,32791,793,950,不信谣，不传谣，交接和隔离是两种完全不同的概念，请正确理解。,12,2020-03-09 13:36
https://weibo.cn//u/5399929784,热搜君,男,浙江,1403,261,6666,你不也造谣过吗,0,2020-03-12 11:05
https://weibo.cn//u/6218084469,是Xg啊,女,陕西,11,101,24,不信谣  不传谣  一起加油  相信国家！,0,2020-03-11 20:07
https://weibo.cn//u/2047713863,FWOONHEE,女,广东,128,185,170,发布信息能不能多用点脑，别总想搞个大新闻,0,2020-03-10 11:45
https://weibo.cn//u/1766567242,Gist_L,女,四川,1322,167,200,@M_Janmig,0,2020-03-10 11:03
https://weibo.cn//u/5318511009,故云迟,女,广西,666,142,81,不传谣，不信谣，一起加油！,0,2020-03-10 10:09
https://weibo.cn//u/2024119204,徐州共青团,男,江苏,10288,875,39270,转发微博,0,2020-03-10 09:41
https://weibo.cn//u/7308817937,圆小贤lily,男,其他,206,26,6,造谣可耻,0,2020-03-10 09:36
https://weibo.cn//u/5876038950,啤酒醉蔷薇_8280,男,江苏,1001,214,129,造谣的怕不是外地人，虹口足球场和虹桥机场都带个虹字以为很近呢。即便真的要机场大批人员隔离，那也肯定是在附近找地方啊，往中心城区人口密集处运怕不是没脑子,0,2020-03-10 08:34
https://weibo.cn//u/1770277363,朝光喵喵,女,其他,4383,155,215,不信谣 不传谣 中国加油,0,2020-03-09 22:46
https://weibo.cn//u/6728354736,张平淡啊,女,其他,24,76,3,滴,0,2020-03-09 22:34
https://weibo.cn//u/6792486826,这天下谁也带不走,男,其他,98,98,73,@保存到为知笔记,0,2020-03-09 20:05
https://weibo.cn//u/2727381895,古菱精怪jun,女,安徽,4387,368,9797,加油,0,2020-03-09 18:26
https://weibo.cn//u/6003410797,桃盒盒,女,江苏,240,64,127,行,0,2020-03-09 17:58
https://weibo.cn//u/2423094324,古菱精怪,女,安徽,2463,212,604,加油,0,2020-03-09 17:57
https://weibo.cn//u/6927305997,6927305997_274,女,其他,202,105,30,回复@Makerforce:看第四张图的重点,0,2020-03-09 17:24
https://weibo.cn//u/5264342389,易创时666,男,江西,1640,103,181,     举报             赞[0]         回复             2020-03-09 16:14:03 来自网页,0,2020-03-09 16:14
https://weibo.cn//u/2256547854,地狱背时鬼,男,湖南,284,300,295,它来了，它迈着比塞的步伐走来了🌹tb ti y u.n et🌹下注看比塞👍牛 b  更 哇塞  下仔体验就送28体验琻/ 等你哦~~,1,2020-03-09 15:28
https://weibo.cn//u/6661266315,天天开心YCLL,女,黑龙江,6958,1160,1467,知道了！,0,2020-03-09 15:10
https://weibo.cn//u/6558455333,许一场心愿,女,江苏,1184,290,10343,     举报             赞[0]         回复             2020-03-09 14:48:02 来自网页,0,2020-03-09 14:48
https://weibo.cn//u/6682667986,悠米佳佳,女,其他,3754,876,937,不信谣，不传谣，一起加油！,5,2020-03-09 14:42
https://weibo.cn//u/5143666286,古风度面,男,其他,948,40,377,为啥央视新闻挂羊头卖狗肉？命名百团大战却播放渡江渡江？杨子荣却播放其他节目？周恩来总理的圣诞却放扭秧歌，他们在庆祝啥,0,2020-03-09 14:40
https://weibo.cn//u/6897129029,竹蛆人-,女,海外,8370,259,894,相信官方，中国加油，中国人民加油,0,2020-03-09 14:30
https://weibo.cn//u/5679245824,殇城银河,男,广东,400,457,335,那些制造传播的有没有请去喝茶？,0,2020-03-09 14:06
https://weibo.cn//u/5227356374,吹一只大牛,女,江苏,2514,866,10339,拒绝造谣,0,2020-03-09 14:03
https://weibo.cn//u/5607898659,雷雨转阳光,女,广东,1593,570,1020,回复@雷雨转阳光:国内疫情已经几乎完全被控制，按部就班继续努力，现在重点是防控境外输入，之前好多国外的人诋毁中国，现在又二皮脸似的从国外往回跑，这种人最可恨,4,2020-03-09 13:52
https://weibo.cn//u/5607898659,雷雨转阳光,女,广东,1593,570,1020,回复@雷雨转阳光:有些人，国内“疫情”就跑到国外，国外严重又跑回国内,3,2020-03-09 13:51
https://weibo.cn//u/1731839450,青青草907,女,云南,6138,68,118,真是千里送毒你丫第一，还这不满意那不舒坦的！呼吸自由皿煮的空气不好么！,0,2020-03-09 13:49
https://weibo.cn//u/5648322181,Curiosity大魔王,男,四川,232,218,123,忘了吗 ,3,2020-03-09 13:47
https://weibo.cn//u/5607898659,雷雨转阳光,女,广东,1593,570,1020,旅途中很危险.不如不回在家中隔离,2,2020-03-09 13:46
https://weibo.cn//u/7404800038,唯爱老大zpl,女,安徽,2082,60,518,相信官方，中国加油，中国人民加油！,0,2020-03-09 13:43
https://weibo.cn//u/5678294682,q叫我游魂,女,黑龙江,23221,286,494,武汉加油！,0,2020-03-09 13:40
https://weibo.cn//u/3107844575,我还是吃茄子吧,男,山西,348,151,155,十月份去看演唱会来着，我寻思着那儿露天啊,0,2020-03-09 13:36
https://weibo.cn//u/5631534368,猪猪小兔子唯爱宁哥,男,河南,32791,793,950,不信谣，不传谣，交接和隔离是两种完全不同的概念，请正确理解。,12,2020-03-09 13:36
https://weibo.cn//u/6682724679,有间少年喜欢豆浆浆,女,上海,14132,417,446,昨天看到这个消息 就知道假,0,2020-03-09 13:33
https://weibo.cn//u/7388251934,两性之约,女,天津,111,40,210,     举报             赞[1]         回复             2020-03-09 13:31:54 来自网页,1,2020-03-09 13:31
https://weibo.cn//u/2964217351,唯Love晨熙,女,江西,6572,134,1640,等后续,0,2020-03-09 13:31
https://weibo.cn//cuyczy,一切在路上-cui,女,湖北,1018,91,302,湖北省恩施市圆梦庄菜市场。 疫情期间，乘商户配合国家居家进行防疫。政府强行拆除商户们的东西,0,2020-03-09 13:28
https://weibo.cn//u/6576947573,老大家的小财迷,女,安徽,2056,74,23,相信官方，中国加油，中国人民加油！,0,2020-03-09 13:27
https://weibo.cn//u/6577457263,源来心悦你了,女,其他,79,266,50,能不能有点担当,0,2020-03-09 13:25
https://weibo.cn//u/7029632410,小严盐不盐,女,重庆,6507,384,2331,？啊,0,2020-03-09 13:24
https://weibo.cn//u/6385157692,深夜电台先生,男,广东,1278,234,129057,生命不息，辟谣不止啊,2,2020-03-09 13:24
https://weibo.cn//u/5711713478,wulikangkang,男,江苏,17,102,70,爷的老婆江山娇呢？🤓,4,2020-03-09 13:23
https://weibo.cn//u/7016466106,猪皮猪皮最可爱,女,山东,661,280,330,拒绝谣言！,0,2020-03-09 13:22
https://weibo.cn//u/7391984971,慕秦小昊,女,香港,185,46,120,相信官方,0,2020-03-09 13:17
https://weibo.cn//u/5084400998,萝摩不是摩萝,女,湖南,457,139,242,图片评论 ,0,2020-03-09 13:17
https://weibo.cn//u/6537714327,偷亲口神明,女,河北,66,100,2710,拒绝谣言，相信官方，不信谣不传谣，一起加油！,0,2020-03-09 13:13
https://weibo.cn//u/7407407603,-不甜薄荷叶Sweet,女,湖北,90,113,38,?,0,2020-03-09 13:12
https://weibo.cn//u/1958651967,独孤阿明,男,福建,607,109,791,没事还是别出门溜达,0,2020-03-09 13:08
https://weibo.cn//u/6188830473,她入他城丿黄泉,男,河南,1658,187,1288,什么情况？,1,2020-03-09 13:07
https://weibo.cn//u/6327004937,·小恋梦游记·,女,山东,38760,509,14073,相信官方,0,2020-03-09 13:07
https://weibo.cn//u/7398513043,池鱼森深,女,四川,1297,179,17,中国加油🇨🇳,0,2020-03-09 13:07
https://weibo.cn//u/2124457145,SSSSSchramm,女,北京,2914,449,448,相信官方，中国加油，中国人民加油！,2,2020-03-09 13:06
https://weibo.cn//makerforce,力量不足需要锻炼,男,北京,11139,328,1349,这种叫做集散中心。集中安排去向。,40,2020-03-09 13:06
https://weibo.cn//u/2323375044,原来是涓涓呀,女,陕西,2559,526,1658,隔离点和交接点区别太大了！,25,2020-03-09 13:05
https://weibo.cn//u/2693060503,卡布奇诺kun,男,广西,142,46,44,工 口 足 球 场（特有幻视）,0,2020-03-09 13:05
https://weibo.cn//u/7386867016,稻底亩产多少,男,河南,91,43,7,干啥啥不行，控评删帖第一名。干啥啥不行，降搜控舆第一名。干啥啥不行，强推条例第一名。干啥啥不行，外籍参事你最行。干啥啥不行，腾笼换鸟第一名。干啥啥不行，引夷灭族第一名。干啥啥不行，洗钱海外第一名。干啥啥不行，私有国企第一名。干啥啥不行，侵吞国资第一名。,14,2020-03-09 13:04
https://weibo.cn//u/5144734696,Mifendaomihei,男,北京,0,177,12,江苏共青团公然追星，共青团中央怎么说？,6,2020-03-09 13:04
https://weibo.cn//u/7268434275,夏儿有点憨o,女,宁夏,7077,145,252,加油,0,2020-03-09 13:04
https://weibo.cn//u/5942005808,我听你的才怪,女,其他,1510,626,2099,相信官方。,5,2020-03-09 13:03
https://weibo.cn//u/2424799805,飞翔的熊猫267,男,山东,656,244,199,这个应当追究责任的,0,2020-03-09 13:03
https://weibo.cn//u/5170426588,点击拥有快乐,女,其他,270,113,16545,加油加油加油加油,1,2020-03-09 13:03
https://weibo.cn//u/6995013364,组國_,女,其他,4860,151,118,这是什么？,0,2020-03-09 13:03
https://weibo.cn//u/6001643708,银河奇异理论,女,浙江,4202,488,1458,加油,0,2020-03-09 13:02
https://weibo.cn//u/1771864204,哈利波特Fan,男,黑龙江,478,204,555,挺科学的,0,2020-03-09 13:01
https://weibo.cn//u/6373141466,HYH吴情,女,湖北,7008,350,451,严防境外输入病例,0,2020-03-09 13:01
https://weibo.cn//206678036,五月Midori_Y,女,海外,2950,244,2980,！？？,0,2020-03-09 13:01
https://weibo.cn//ILOVECHINAJK888,胖泰泰骑士团团长,女,上海,345,232,22070,相信官方,0,2020-03-09 13:01
https://weibo.cn//u/6671268680,zy奋斗y,男,山东,36,71,152,算是辟谣？,0,2020-03-09 13:01
https://weibo.cn//u/2395998957,23333不,男,广东,10540,791,567,？,2,2020-03-09 13:00
