评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5750837460,我被你蒙蔽了双眼,男,河北,12,103,32,造谣一张嘴，辟谣跑断腿,0,2020-05-25 17:14
https://weibo.cn//u/5750837460,我被你蒙蔽了双眼,男,河北,12,103,32,这不都是谎言,0,2020-05-25 17:10
https://weibo.cn//u/5750837460,我被你蒙蔽了双眼,男,河北,12,103,32,造谣一张嘴，辟谣跑断腿,0,2020-05-25 17:14
https://weibo.cn//u/5750837460,我被你蒙蔽了双眼,男,河北,12,103,32,这不都是谎言,0,2020-05-25 17:10
https://weibo.cn//u/6587080516,傲游以太,女,内蒙古,4,164,3,干啥啥不行，甩锅第一名,0,2020-05-17 21:47
https://weibo.cn//u/3148769781,冰糖葫芦加糖吃,女,江苏,489,26,78,MG某些政客真不要脸,0,2020-05-16 11:05
https://weibo.cn//zhukaohua,乔翧,男,福建,2656,586,1182,转发微博,0,2020-05-16 10:52
https://weibo.cn//u/7255644365,Gmyyyyy_,男,其他,57,128,7,谣言得止于真相！,0,2020-05-14 20:09
https://weibo.cn//u/7401850923,加持大师,男,河北,214,256,43,美国的解释太可笑了，病毒不具有以前的病毒主干的话应该就是人造的啊，两种病毒结合也是实验室才能做出来的，而目前一直在进行病毒武器化的国家只有美国一家，我们有足够的理由怀疑是美国佬故意泄露的新冠病毒，而不是蝙蝠和穿山甲传播的,0,2020-05-12 12:58
https://weibo.cn//u/7256513817,棍球王子严小赖,女,四川,355,171,20,勿传谣,0,2020-05-12 11:19
https://weibo.cn//marc990103,空空么么么么哈,男,江苏,434,230,131,这些我都知道，你给我看没用，有本事你给外国人看。,0,2020-05-12 10:41
https://weibo.cn//u/5533082128,飞机头大叔,男,湖北,193,128,33,漂亮！希望更多人的人能看见！,1,2020-05-12 10:12
https://weibo.cn//u/3164036151,赤兔啊__,男,山东,1653,38,273,真好奇为什么印度这个落后的地方会经常和大国并列对比,0,2020-05-12 08:30
https://weibo.cn//u/7443361939,一介草民01010,男,山西,26,2,1,你发这么长的文章出来，我很清楚你是想要让人民看到这些，但是你们既然有证据的话为什么不直接告美国政府呢？为什么只是一直谴责？你受的损失不应该美国赔偿吗？为什么美国找你赔偿？我就建议吧，既然你有这么有理有据，就应该起诉他们，实实在在的在国际法庭干一场，你敢吗？,0,2020-05-11 23:39
https://weibo.cn//u/1099196643,蔷薇骑士艾伦,男,湖北,6390,5375,352,和美国讲道理，比作对牛弹琴，都算侮辱牛的智商了,0,2020-05-11 23:38
https://weibo.cn//u/6222965663,全哥仔真係唔知改咩名好,男,其他,2,96,3,打破高墙 让人民自己去寻找真相吧,0,2020-05-11 23:35
https://weibo.cn//u/6682667986,悠米佳佳,女,其他,3754,876,937,谎言止于真相！,1,2020-05-11 23:30
https://weibo.cn//u/5210938571,Earlgrey南风丶,女,海外,3258,454,1155,加油加油,0,2020-05-11 23:11
https://weibo.cn//u/2798477064,禾禾绿小豆,女,福建,4650,1310,466,新冠加油，把美国一锅端了,0,2020-05-11 23:05
https://weibo.cn//u/5994666048,喵星来的喵喵喵,女,上海,34,81,48,我倒是觉得，西方人利用疫情，把国内老弱病残“杀”光，反而还能多蹦哒几年。我们可要小心啊,0,2020-05-11 22:52
https://weibo.cn//u/6667063160,属实秃头,女,河北,76,80,53,想到特朗普应该有的表情.. ,0,2020-05-11 22:39
https://weibo.cn//u/2796761533,msswb_yhdxh_2018,女,海外,0,138,93,中国媒体只会辟谣和转发。。。,1,2020-05-11 22:00
https://weibo.cn//u/3726443203,石冰冰ice,女,其他,196,600,9582,美国不要脸哈哈,0,2020-05-11 21:48
