评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5779975345,黑漆漆的天堂,男,海外,201,28,313,下周一上班！五湖四海的人都回来！！！最近本都没口罩！！我家还有个一岁多的孩子！！！我被传染了 就认了…孩子还那么小！！领导家的孩子呢？都出国了吧？领导们都有口罩了吧？,193,2020-01-29 13:30
https://weibo.cn//u/6390942028,又见三回,女,其他,3637,239,2,别人急死你们看不到吗,150,2020-01-29 13:29
https://weibo.cn//u/1882204553,非著名香菜大亨von,女,北京,3943,514,555,你告诉我大家病例都那么详细为什么就你不行 tell me why 我真是百思不得其解为什么一个经历过非典的城市如今会这么令人不满意,118,2020-01-29 13:32
https://weibo.cn//u/3303345063,笑裂的空间,男,北京,129,133,26,回复@Cc大程橙:北京流动人口高于上海，湖北人也多，正常,0,2020-02-15 09:07
https://weibo.cn//u/1234256792,艺兴独美,女,北京,67,281,152,乘公交车的不测温吗,0,2020-01-30 17:41
https://weibo.cn//u/1107468551,北京燕郊,男,北京,4067,2772,27851,调整了燕郊的,0,2020-01-30 17:29
https://weibo.cn//tongchenghui,微博同城,女,北京,38961,2388,1829817,Hi，我已将你的微博收录到新鲜事 ,0,2020-01-30 12:26
https://weibo.cn//missghost,MissMooon,女,北京,250,280,366,回复@good_night:接了接了，一直打还是能接，不知道他们的上报反映会不会有效,0,2020-01-30 11:11
https://weibo.cn//u/7303856291,哈哈哈打鸡蛋,女,其他,41,72,3,当年北京非典就是为了两会成功举行一直拖着，导致后来损失惨重，这次还不长记性呵呵,0,2020-01-30 09:01
https://weibo.cn//u/2528169561,Trump终于闭嘴了,男,北京,7753,1747,1050,回复 ,0,2020-01-30 07:43
https://weibo.cn//u/6137377449,燃烧de荷尔蒙,男,北京,2,46,46,各地都开始限制交通了，北京说我们绝不会管制交通； 各地都开始通知延期复工开学，北京说做好复工返程工作； 专家院士各地消息都有乐观倾向了，北京：我们要转入扩散期了,0,2020-01-30 01:33
https://weibo.cn//u/6416713715,大强强1501,男,其他,25,124,353,作为天津人给天津政府点个赞，好多社区工作者 大年三十就到岗了。还给我们做了传播途径，看北京这数就吓得慌。,0,2020-01-29 22:36
https://weibo.cn//u/6095644915,我和我的cc,女,广东,223,366,35,还不延期吗假期,0,2020-01-29 20:20
https://weibo.cn//evanaqw,小艺同学多多,女,北京,1975,789,444,回复@风不知花与月:你算说对了。领导家的娃早都出国了 领导们小车一坐小酒一喝 谁管老百姓死活,5,2020-01-29 19:07
https://weibo.cn//evanaqw,小艺同学多多,女,北京,1975,789,444,延期复工,0,2020-01-29 19:07
https://weibo.cn//u/3303345063,笑裂的空间,男,北京,129,133,26,回复@Cc大程橙:湖北人来北京的多，交通最发达，正常，不过北京防控好于上海,0,2020-01-29 18:49
https://weibo.cn//missghost,MissMooon,女,北京,250,280,366,回复@good_night:12345没接呢,1,2020-01-29 18:12
https://weibo.cn//u/1799739883,satellitexr,女,北京,29,156,255,大家的诉求看不到吗？还是置之不理？下周复工不说北京人 各地的人都涌进来一起挤地铁 请问你们说的安全距离 避免聚集 怎么避免？靠看你们发布的消息就可以护身吗？干点实际有效的举措吧 感恩！,0,2020-01-29 18:08
https://weibo.cn//u/1087687163,dao号siquanjia,女,海外,848,389,360,回复@大肚儿同学:福建也延了,0,2020-01-29 18:05
https://weibo.cn//u/7213117655,A-Arsenal,男,其他,21,176,50,回复@对影成三客201902:哎。咱老百姓太难了。他们都忙着准备两会那，,1,2020-01-29 18:00
https://weibo.cn//u/5381695866,程程Daicy,女,北京,163,88,76, 买不到口罩 不延长复工 挤地铁上班,0,2020-01-29 17:59
https://weibo.cn//u/1904260955,绿野和晚风,女,内蒙古,4351,2152,1734,我弟弟在北京上班 快到三号了 好不舍得他走 感觉北京人流量那么大  太危险了 可不可以延期复工啊哪怕以后每周补上现在多休的时间也行啊,0,2020-01-29 17:58
https://weibo.cn//u/6847620677,这昵称有毒啊,男,其他,4,73,1,回复@奥达威英你给我下来:小汤山欢迎你,0,2020-01-29 17:54
https://weibo.cn//u/6610277672,就是野生小号,女,北京,35,123,9,那么多人，潜伏期还没过完3号就复工了，北京地铁、公交那么多人，实在是太危险了。而且同事聚集在一起好几十人天天一起，聚集性人群啊！ ,0,2020-01-29 17:51
https://weibo.cn//u/1915381971,江南美女_,女,北京,21772,287,2140,最好的办法就是延迟上班时间，减少聚众量。,0,2020-01-29 17:48
https://weibo.cn//u/1915381971,江南美女_,女,北京,21772,287,2140,回复@高斯定理:京东有，2月4号发货，普通快递。到手不知道哪天！建议延迟上班时间！,0,2020-01-29 17:46
https://weibo.cn//u/6984772760,对影成三客201902,女,北京,10805,130,88,回复@Arsenal温格凡:那我还要举报下北京没有短信提醒 没有社区宣传 没有口罩 开车进京没有测体温 这些事情总是北京市自己决定的吧,4,2020-01-29 17:42
https://weibo.cn//u/7213117655,A-Arsenal,男,其他,21,176,50,回复@对影成三客201902:我脚着北京没那么大胆子，逻辑上上海广州都延期复工了，北京宣布也没有那么大压力。但就是不延迟，已经不是北京政府能决定的了。很可能是您建议举报的地方让北京这么做的。。哎。。。,0,2020-01-29 17:35
https://weibo.cn//u/6471798972,你的笑好甜阿,女,其他,20,203,15,希望北京的高速，火车，出租，公交，地铁不要停......初三狗很无奈，还没通知延长假期，快中考了....怕回不去北京.......,0,2020-01-29 17:30
https://weibo.cn//u/6104275246,子丽Liz,女,北京,5,5,5,请延期复工吧，后天就要从云南奔赴北京了，好慌！,0,2020-01-29 16:44
https://weibo.cn//u/3303345063,笑裂的空间,男,北京,129,133,26,回复@淑小嘉:不可能,0,2020-01-29 16:36
https://weibo.cn//u/3303345063,笑裂的空间,男,北京,129,133,26,回复@--cin--:胡扯,0,2020-01-29 16:35
https://weibo.cn//u/3303345063,笑裂的空间,男,北京,129,133,26,回复@大肚儿同学:北京人更多，但北京不是疫情区,0,2020-01-29 16:35
https://weibo.cn//u/2958816965,爱吃水果的樱樱桃,女,北京,449,2211,1677,求求推迟复工时间吧,0,2020-01-29 16:28
https://weibo.cn//u/1635638525,你看见我的小尾巴没,女,北京,7502,1162,271,1.请公布患者行动轨迹，便于更好预防。 2.请跟上大部队脚步，宣布延期返工，避免返工潮带来的疫情加重。,0,2020-01-29 16:21
https://weibo.cn//u/5189994668,平谷公路,男,北京,4905,113,1360,转发微博,0,2020-01-29 16:21
https://weibo.cn//wuayo,吴半仙儿115,男,北京,28369,2010,638,强烈要求再延长假期吧！保命比挣钱重要,0,2020-01-29 16:17
https://weibo.cn//u/2095694820,皮特冲锋枪,男,湖南,30,513,191,“小汤山欢迎你”,0,2020-01-29 16:13
https://weibo.cn//evanaqw,小艺同学多多,女,北京,1975,789,444,延迟复工,0,2020-01-29 16:00
https://weibo.cn//u/2168918431,Cassiel-oOO,女,河北,289,780,134,希望北京也能再延期到9号上班，我都买不到口罩哇，没口罩不敢出门,2,2020-01-29 16:00
https://weibo.cn//u/2194740067,小碗丸子maruko,女,北京,4716,596,293,延期！怕死！,1,2020-01-29 16:00
https://weibo.cn//u/6257054931,行走的小肥羊,男,北京,884,853,3756,回复@庆太李:国务院小程序举报就完了 12345市长热线打爆了也没用,2,2020-01-29 15:59
https://weibo.cn//u/6257054931,行走的小肥羊,男,北京,884,853,3756,市政府开始控评咯 好多评论都关了 不如看看这个 ,0,2020-01-29 15:59
https://weibo.cn//u/1749214017,飒飒_sasa1314,女,北京,2691,514,866,求求了！延迟上几天班吧。我们过后双倍补回来都可以！国庆不休假也可以啊，那么早上班挤地铁危险真的很大啊,1,2020-01-29 15:54
https://weibo.cn//u/1653698952,兔子毛儿,女,北京,1632,266,531,我现在想想马上要上班了，坐地铁去，我觉得这几天宅着毫无意义！我要上街去啦，北京人民地铁见！！,1,2020-01-29 15:52
https://weibo.cn//u/5671151392,Dreamland_1990,女,北京,43,49,25,我尊贵的大北京老爷们，别睡了，醒醒！没有微博，我们教你装一个。北京发布不只是发布，请听一听看一看,2,2020-01-29 15:36
https://weibo.cn//lplxf,一蓑烟雨aaaaa,女,北京,1545,221,108,回复 ,0,2020-01-29 15:34
https://weibo.cn//lplxf,一蓑烟雨aaaaa,女,北京,1545,221,108,回复 ,0,2020-01-29 15:34
https://weibo.cn//u/2230881233,webo晨,男,上海,439,176,133, 大家务必带上话题,0,2020-01-29 15:32
https://weibo.cn//u/7115645639,浪味仙杀手,女,海外,147,634,1689,回复@大肚儿同学:北京说自己有小汤山嘻嘻嘻嘻嘻,0,2020-01-29 15:27
https://weibo.cn//u/1412242595,慢大师,男,北京,2633,142,898,回复@猫饼杏仁:图片评论 评论配图,0,2020-01-29 15:13
https://weibo.cn//u/1412242595,慢大师,男,北京,2633,142,898,回复@Star_指路的星星:不延，还买不到口罩,0,2020-01-29 15:11
https://weibo.cn//u/1412242595,慢大师,男,北京,2633,142,898,不延假期请供应足够的口罩,4,2020-01-29 15:11
https://weibo.cn//lovablejohn,领导同事们早上好,男,北京,1586,835,587,能不能延期复工啊,4,2020-01-29 15:11
https://weibo.cn//u/1880779122,福桐的蓝珊瑚,女,北京,2190,57,246,非典时候也没停公交地铁，很正常，只是停课封校，但是非典时候听说一夜之间就没啥人了,1,2020-01-29 15:01
https://weibo.cn//cin424,--cin--,女,其他,2409,654,557,北京确诊人数远超广州上海，请问为什么不能延迟开工呢？买不到口罩住家又远的怎么上班啊？地铁人挤人很容易感染病毒的！求助市政府领导！,6,2020-01-29 14:40
https://weibo.cn//u/5675627603,要强大起来fighting,男,北京,284,135,40,回复@任小林的小生活:他们怕个毛，他们又不特么的挤地铁,0,2020-01-29 14:40
https://weibo.cn//u/2730104624,call我黄阿玛,男,北京,80,180,28,我就发个买不到口罩就删我评论？,6,2020-01-29 14:38
https://weibo.cn//u/1688233277,Andrew_ls,男,广东,1923,394,383,延期复工，人民群众的生命高于一切！！！,1,2020-01-29 14:30
https://weibo.cn//u/1760596607,Tiki爱吃鱼,女,北京,1456,586,276,强烈请求延期复工,1,2020-01-29 14:28
https://weibo.cn//u/1688233277,Andrew_ls,男,广东,1923,394,383,延期复工！！！！,1,2020-01-29 14:28
https://weibo.cn//u/5608200480,请让我取一个能用的名字,女,北京,743,529,145,回复@2020也要顺利啊:看到了,0,2020-01-29 14:27
https://weibo.cn//bjwomen,北京女性,女,北京,20735,198,538957,网传“北京公交线路因疫情调整” 官方辟谣！,0,2020-01-29 14:27
https://weibo.cn//246234366,满脑子都是你哭了笑了,男,北京,415,703,206,北京路上跑的公交车大部分没有乘客，只有司机和安全员。在一些公交站台可以看到1-3个等公交车的人。,0,2020-01-29 14:22
https://weibo.cn//u/2641006047,_若如是,女,北京,527,234,77,延迟返工啊啊啊啊啊啊 求你们了！没有口罩啊啊啊啊啊啊,1,2020-01-29 14:22
https://weibo.cn//u/5287197531,闯北的阿阮,女,北京,1792,67,88,能不能延迟上班！！！现在每天提心吊胆的睡不好觉🙃,3,2020-01-29 14:06
https://weibo.cn//u/3059064834,Krit0_,男,辽宁,266,246,122,回复@尼古拉小磊:昨天都发通知了，2.3号上班,0,2020-01-29 14:05
https://weibo.cn//u/6672029577,老当益壮小皇帝,男,北京,20,301,119,反正我已经投诉的国务院了，爱咋咋地吧,7,2020-01-29 14:04
https://weibo.cn//kubry,Kubry,男,北京,2730,159,963,回复@吃饱了撑的五六儿:通州太远了,0,2020-01-29 14:04
https://weibo.cn//u/1033947934,M兜里有糖M,女,北京,612,1154,329,强烈要求北京延长复工！！！上下班地铁人流量巨大 你去体验下五号线就知道了  人挨人人挤人  买不到口罩 怎么上班,11,2020-01-29 13:59
https://weibo.cn//bluemelodypp,cinnamonfxxkinggal,女,其他,10129,384,748,回复@一个月土子:,0,2020-01-29 13:59
https://weibo.cn//u/6984772760,对影成三客201902,女,北京,10805,130,88,回复@good_night:去国务院小程序举报,2,2020-01-29 13:59
https://weibo.cn//u/1775932145,一个月土子,女,海外,1433,1321,220,回复@cinnamonfxxkinggal:真够胖的,0,2020-01-29 13:58
https://weibo.cn//u/2730365342,星熠宝贝,女,江苏,54,88,49,这个是我们镇江的公交调整通知,0,2020-01-29 13:57
https://weibo.cn//u/1632870615,仙界长老,男,北京,1320,143,341,因为上班要感染病毒的怎么办？,1,2020-01-29 13:56
https://weibo.cn//bluemelodypp,cinnamonfxxkinggal,女,其他,10129,384,748,地铁人挨人一个感染都没玩完！！！！！！！！！！！！！！！！！！！,2,2020-01-29 13:55
https://weibo.cn//u/2164467161,离开前请努力,女,其他,1245,622,870,强烈要求北京延长复工！！！返程后地铁人流量巨大 买不到口罩 怎么上班,25,2020-01-29 13:54
https://weibo.cn//u/3161209890,陪你去流浪008,男,广西,385,1435,199,这特么真是闲的啥都能编出来，服，那么多字不累吗,1,2020-01-29 13:53
https://weibo.cn//yuyuyan10,街头诗人477,男,北京,850,41,32251,@北京公交集团,0,2020-01-29 13:51
https://weibo.cn//u/1823971632,clearlove哒哒哒,男,山东,22,731,179,北京可防可控，和一开始的武汉一样。放心，大家好好工作，听安排就完事了,5,2020-01-29 13:45
https://weibo.cn//jialemon,美若黎明_beautiful,女,其他,378,63,98,回复@bsudhdidjjdjd:真的，超级想骂脏话！被这些领导的装聋作哑气死简直！,0,2020-01-29 13:44
https://weibo.cn//duanqinxiao,一画咸鱼,男,北京,152,146,10516,延期复工几天总比大面积感染更好一些吧,0,2020-01-29 13:44
https://weibo.cn//aotimeye,赌神容我一拜,女,北京,6522,374,464,嗯，什么都照常，谢谢哈,3,2020-01-29 13:44
https://weibo.cn//duanqinxiao,一画咸鱼,男,北京,152,146,10516,回复@尼古拉小磊:呵呵呵,1,2020-01-29 13:43
https://weibo.cn//u/1475635193,M家大花园,女,北京,1232,21,153,这次北京做的远没有非典好！,6,2020-01-29 13:42
https://weibo.cn//u/6347658395,猫饼杏仁,女,北京,112,141,21,强烈要求北京延长复工时间！地铁人流量巨大，很多患病者潜伏期还没过，无症状患者也在增加，测温根本不能完全防控，地铁上人贴人、脸碰脸，交叉感染，病毒一旦扩散就会失控了？！大家转起来刷到热搜榜上去吧,58,2020-01-29 13:41
https://weibo.cn//u/1063966722,淑小嘉,女,北京,619,508,1352,把地铁公交都停了吧,1,2020-01-29 13:41
https://weibo.cn//u/2141183943,奥达威英你给我下来,女,北京,258,115,52,现在就很害怕，有没有什么消息能安抚一下人心啊……无处可避的感觉     举报             赞[0]         回复             2020-01-29 13:41:11 来自网页,0,2020-01-29 13:41
https://weibo.cn//u/6590734766,凌九洲,男,北京,4,80,18,为什么不延迟？回北京之后得了病算谁的？这个时候还不说嘛？,3,2020-01-29 13:40
https://weibo.cn//weberdu,大肚儿同学,男,天津,602,124,302,目前上海广东江苏重庆已经延期到2月9号复工了，北京可能人少吧,13,2020-01-29 13:39
https://weibo.cn//jiangmengran,小乖木木_伟大的渺小,女,北京,4972,1343,456,延期复工延期复工,2,2020-01-29 13:39
https://weibo.cn//u/6045549250,拾叶SS,女,海外,339,242,72, 地铁人流量巨大，人贴人、脸碰脸，根本买不到口罩，怎么上班？！让老百姓都去住小汤山吗？大家转起来刷到热搜榜上去吧,28,2020-01-29 13:38
https://weibo.cn//tangnan0903,梦想的南瓜,女,北京,5793,547,1183,北京zf拿人命当儿戏吗？？？,6,2020-01-29 13:37
https://weibo.cn//u/3881261634,花花会好的,女,山东,131,447,224,火车站，地铁，没有口罩，怎么上班？,3,2020-01-29 13:36
https://weibo.cn//u/1955215601,游魂死不了,男,北京,118,1416,854,北京今天破百了，我们就是大度，想冲榜呢，有人不作为我们只好老老实实在家呆着，保护好自己吧,19,2020-01-29 13:35
https://weibo.cn//u/3222820372,huipulenovodell,男,湖南,7,48,81,北京会延期开工吗？,5,2020-01-29 13:34
