评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1988642945,繁忙中的小美丽,女,北京,3540,723,536,可否出台孕妇远程办公的政策呢？或者延迟上班，不发工资都可以,14,2020-02-06 15:45
https://weibo.cn//u/2019055620,牛娜丽莎nysh,女,北京,2058,204,265,现有的文件都没有提到孕妇有特殊返岗政策，每天需要搭乘公共交通通勤，一旦感染，用药治疗困难，孩子极大可能无法保住，对家庭是无法磨灭的伤害。同时由于孕妇易感染病毒，也会增大对周围同事的传播。 恳请政府出台统一政策，允许孕妇推迟返工或居家办公也请求有条件医院为孕产妇增加产检特殊通道。,10,2020-02-06 16:01
https://weibo.cn//bjwatergov,水润京华,男,北京,19460,368,1040718, 举报 赞[0] 回复 2020-02-07 13:07:25 来自网页,0,2020-02-07 13:07
https://weibo.cn//bjwatergov,水润京华,男,北京,19460,368,1040718,     举报             赞[0]         回复             2020-02-07 13:07:25 来自网页,0,2020-02-07 13:07
https://weibo.cn//u/7200482296,不吹不黑安静吃瓜,男,北京,459,406,29,回复@桃子味绿茶与兔子的七月2号机:噢噢，这样啊，懂了，谢啦,0,2020-02-06 22:51
https://weibo.cn//u/5398000953,不比赛跑的乌龟,女,北京,1801,658,98,病毒在空气中不是能存活4小时？,0,2020-02-06 21:45
https://weibo.cn//bjssfj,北京司法,男,北京,12618,81,420230,新型冠状病毒会被雪花带到地面？专家辟谣：不用担心！,0,2020-02-06 18:56
https://weibo.cn//111590428,iChouKon,男,北京,273,72,2062,回复@广播达人宋晓华:天天免费送吃送喝有工资拿我也不愿意出去！站着说话不肾虚！,1,2020-02-06 18:18
https://weibo.cn//aisiwon,露娜把香胖端上来,女,北京,3927,521,421,都说了不要出门了，还下楼玩雪？？有什么可玩的，别乱跑了行吗？,1,2020-02-06 18:11
https://weibo.cn//u/6347225646,安珀还是安伯,女,北京,46,68,15,啥话都别太绝对 特殊时期 小心为妙,6,2020-02-06 18:00
https://weibo.cn//u/1988642945,繁忙中的小美丽,女,北京,3540,723,536,回复@_XXXX_GRA-J:有的单位和领导没有文件不批假。。,0,2020-02-06 17:50
https://weibo.cn//u/1278729514,看风景的树,男,陕西,6939,264,922,看了下评论，拉黑保平安。。。,0,2020-02-06 17:42
https://weibo.cn//u/5783047093,巧克不努力zZ,女,湖北,553,487,130,雪花啤酒🍺：我开始慌了,1,2020-02-06 17:31
https://weibo.cn//u/6507463992,杰杰456,男,广西,0,50,229,万一变异了怎么办,0,2020-02-06 17:02
https://weibo.cn//u/3101309637,天定1987,女,北京,903,549,220,你随便辟谣，反正我是不会带孩子去玩雪的,0,2020-02-06 16:58
https://weibo.cn//u/6178596202,桃子味绿茶与兔子的七月2号机,男,北京,982,268,153,回复@不吹不黑安静吃瓜:是温度湿度适宜的条件下可以在光滑的表面活五天，病毒要在飞沫里，不会一直悬浮在空中。,2,2020-02-06 16:42
https://weibo.cn//dingningtoo,兔子-努力减肥的少女心糙汉子,女,北京,4600,494,1052,我还是选择不出门不碰雪……,2,2020-02-06 16:35
https://weibo.cn//723678052,一之悠扬,女,北京,80,146,107,勤消毒戴口罩比什么都强,2,2020-02-06 16:30
https://weibo.cn//bjsghwyh,北京规划自然资源,男,北京,13820,229,352058,新型冠状病毒会被雪花带到地面？专家,0,2020-02-06 16:26
https://weibo.cn//521256740,Little--Giant,男,北京,4023,1050,4520,哈尔滨告诉你不会，你们想多了,1,2020-02-06 16:18
https://weibo.cn//u/1054239580,瀛海镇中心卫生院,男,北京,4062,114,395,//,0,2020-02-06 16:16
https://weibo.cn//u/2019055620,牛娜丽莎nysh,女,北京,2058,204,265,现有的文件都没有提到孕妇有特殊返岗政策，每天需要搭乘公共交通通勤，一旦感染，用药治疗困难，孩子极大可能无法保住，对家庭是无法磨灭的伤害。同时由于孕妇易感染病毒，也会增大对周围同事的传播。 恳请政府出台统一政策，允许孕妇推迟返工或居家办公也请求有条件医院为孕产妇增加产检特殊通道。,10,2020-02-06 16:01
https://weibo.cn//u/5184813076,better樂ya,女,重庆,2182,353,233,北京市顺义古城门口有工作人员，本人不是从疫区回来的人，无湖北接触史，无感冒无发烧，可以提供北京社保等相关证件，自驾回京且一个人独立租房居住，愿意独自在家隔离14天观察，但是仍然不让回去。工作人员让去宾馆居住14天之后提供医院开具证明的证明后方可进入,1,2020-02-06 15:55
https://weibo.cn//u/1898857797,广播达人宋晓华,男,北京,22513,1093,12172,还是别出门最好！,4,2020-02-06 15:53
https://weibo.cn//u/1952419167,小小李的飞刀,男,北京,1085,160,197,和以前专家说的耐寒性矛盾了，不过说是谣言还是防止社会恐慌吧，可以理解,5,2020-02-06 15:51
https://weibo.cn//u/7200482296,不吹不黑安静吃瓜,男,北京,459,406,29,不是说空气里活5天？,7,2020-02-06 15:49
https://weibo.cn//u/1988642945,繁忙中的小美丽,女,北京,3540,723,536,可否出台孕妇远程办公的政策呢？或者延迟上班，不发工资都可以,14,2020-02-06 15:45
https://weibo.cn//u/5277392898,凤凰鱼肥,男,北京,30722,705,258231, 学学人家，发布的内容不会引起误会！谣言要标清楚，好吗！,1,2020-02-06 15:40
