评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6341273196,随便瞎划,女,其他,4152,111,16,我纳闷都谁造这些谣，对他有什么好处啊？,43,2020-02-10 12:32
https://weibo.cn//chenxi1215,ImCiciChen,女,北京,371,154,6320,谣言你们还通知国家机关和事业单位？有什么可隐瞒的？,31,2020-02-10 12:59
https://weibo.cn//u/1311168404,海洋之翼,男,北京,21323,1064,3496,真可以消消毒不介意,20,2020-02-10 12:41
https://weibo.cn//u/1746666934,_瞳未_,女,上海,14856,286,570,这个谣言真是 我之前看到就去百度了 结果发现每个城市都这么来了一下,0,2020-02-11 19:08
https://weibo.cn//u/3756623313,我是潞城人,男,北京,4211,79,287, ,0,2020-02-11 10:26
https://weibo.cn//bingbing216,夏洛成伤,男,北京,193,17,146,大清早的消毒水味哪来的呢？,0,2020-02-11 09:42
https://weibo.cn//wonderful1412,wondeRFul1412,女,北京,4812,189,324,消毒就消一下呗，又没坏处,1,2020-02-11 07:25
https://weibo.cn//u/7143097213,71直言,男,福建,5,206,1,在这非常时期对这些造谣者，特别是对防疫工作起破坏作用、造成民众不必要恐慌的造谣者，应该得到惩罚。,0,2020-02-10 20:44
https://weibo.cn//u/1870344157,半路出家俗家弟子,男,北京,505,459,188,消毒就消毒呗，挺好的事，都支持，就提前告诉一下，反正大家也不怎么出去，消消毒有助于防疫。,2,2020-02-10 20:18
https://weibo.cn//babysunny86,SilLy_CaTt,女,海外,9564,139,267,消消毒吧！,0,2020-02-10 20:08
https://weibo.cn//thecatisdead,寻找太阳花的潘西先生,男,陕西,64,40,113,我们这每天主干道都要消毒，消毒没错吧。,0,2020-02-10 19:22
https://weibo.cn//206868355,传说中的女网警,女,北京,64245,6246,2596865,微博辟谣！,0,2020-02-10 18:32
https://weibo.cn//lovezhiyong,小肉丸子2011,女,北京,838,264,124,难道不应该消毒吗,0,2020-02-10 18:11
https://weibo.cn//u/2569482591,高压线也许_152,男,北京,672,294,215,消毒管用的话，消呗,0,2020-02-10 17:46
https://weibo.cn//u/6150379965,一只特立独行的口水猫,女,北京,359,94,331,小区已经发通知要喷药消毒了,1,2020-02-10 17:14
https://weibo.cn//u/5346383298,卡哇伊的小馨馨,女,北京,3590,5788,3914,回复@首都网警:相信政府 不传谣！不信谣！不造谣！,0,2020-02-10 17:05
https://weibo.cn//u/3871748183,蒂雪飞霜,女,北京,1653,261,2209,回复@随便瞎划:他们需要把脑子泡醋里消消毒……哦忘了他们没脑子,0,2020-02-10 17:04
https://weibo.cn//u/2388955087,首都网警,男,北京,22658,570,3750434, “今晚北京进行大面积消毒”系谣言。,1,2020-02-10 17:03
https://weibo.cn//u/1872316680,时间的好伙伴,男,北京,97,37,100,这个时候，是不是得查查这哪儿来的谣言,0,2020-02-10 16:59
https://weibo.cn//u/5506144656,不能饿的小男孩,男,北京,777,262,159,这次希望谣言是真的,0,2020-02-10 16:55
https://weibo.cn//u/1474278887,呀诺达Yanoda,男,北京,891,392,372,抓完了让造谣的人给全北京市消毒,0,2020-02-10 16:35
https://weibo.cn//u/1474278887,呀诺达Yanoda,男,北京,891,392,372,抓,0,2020-02-10 16:34
https://weibo.cn//bjsghwyh,北京规划自然资源,男,北京,13820,229,352058, ！“今晚北京进行大面积消毒”系谣言,0,2020-02-10 16:33
https://weibo.cn//zinaluo,西子湖畔的雷电法王,女,北京,3786,248,66,倒是希望是真的,3,2020-02-10 16:14
https://weibo.cn//u/5659584545,央视动漫集团,男,北京,479,82,17690,这些都是假的！假的！请大小朋友们擦亮眼睛~,0,2020-02-10 16:13
https://weibo.cn//u/3511104251,皑皑巴巴,女,北京,998,680,254,还是消毒吧……统一一下，也安全呀,1,2020-02-10 15:58
https://weibo.cn//u/2726545835,西城健康,男,北京,6986,459,36733,   ,0,2020-02-10 15:47
https://weibo.cn//u/5309389452,会飞的江湖喵,男,其他,210,67,25,为啥不消毒呢？车站进京人员是不是应该先在车站进行下喷雾消毒再回家呢？,0,2020-02-10 15:36
https://weibo.cn//lyang124,洋白菜宝宝,男,北京,574,361,197,不是造谣的不承担法律责任吗,0,2020-02-10 15:19
https://weibo.cn//u/1860963065,银色机器人,男,北京,10293,639,922,谁造的谣？这难道抓不住吗？发个朋友圈可都会训诫,0,2020-02-10 15:14
https://weibo.cn//u/5734376707,霸道总裁专区,男,其他,3537,505,210,无风不起浪,1,2020-02-10 15:07
https://weibo.cn//u/3686809070,为啥非要起个名,男,其他,7377,458,182,前天说气凝胶传播，武汉大消毒，今天卫健委专家又说大消毒无用。也不知道信谁了？卫健委一帮子混蛋//,0,2020-02-10 14:55
https://weibo.cn//pansuo,盘索,男,北京,17526,2143,55449,回复@劳动午报:机关事业单位都在群里发通知了，看来这都不算官方渠道了，不是下发的通知？信息真乱，整治吧,0,2020-02-10 14:44
https://weibo.cn//xchlib,北京西图,男,北京,7650,272,11340,转发微博,0,2020-02-10 14:37
https://weibo.cn//u/1695258877,喜瑩瑩滴笑臉,男,北京,3433,312,167,回复@renew_a11:社区工作人员都信了,0,2020-02-10 14:32
https://weibo.cn//u/1695258877,喜瑩瑩滴笑臉,男,北京,3433,312,167,回复@圆圆堆圆圆的雪人:的确是街道办转的,0,2020-02-10 14:31
https://weibo.cn//u/1695258877,喜瑩瑩滴笑臉,男,北京,3433,312,167,回复@陈茜CiciChen:社区街道的确接到通知了,2,2020-02-10 14:29
https://weibo.cn//jocelynrwang4870,阿阿阿阿卷儿__,女,北京,46835,741,15535,消毒就消吧,0,2020-02-10 14:09
https://weibo.cn//u/1916341843,榴莲味小糖豆儿,女,北京,21814,206,748,建议消消毒,0,2020-02-10 14:06
https://weibo.cn//u/3826148593,旧鼓楼大街,男,北京,7055,1625,776,假设：现在进行一次大面积消毒，是不是有助于防控疫情？//,0,2020-02-10 14:04
https://weibo.cn//u/5206216495,小小美先生,女,北京,342,1455,312,回复@清青凉丶:有病的人太多   我说我的   你不赞同离我远点儿   你自己去发表   不要评价我说的,1,2020-02-10 13:58
https://weibo.cn//u/6020487477,CT大王,女,北京,123,137,51282,我希望这不是谣言，我们小区老头老太太天天楼底下聚会不带口罩，用消毒水提醒下他们也好，消毒又不是坏事,0,2020-02-10 13:56
https://weibo.cn//u/5206216495,小小美先生,女,北京,342,1455,312,回复@煋喆:,0,2020-02-10 13:55
https://weibo.cn//u/5206216495,小小美先生,女,北京,342,1455,312,回复@_老韩_:都是喷楼吧？？？你有脑子别和我说话   有病,1,2020-02-10 13:54
https://weibo.cn//nicolemsq,我就是Jade,女,北京,2447,269,401,这些造谣的人图什么，太闲了吗？？？,1,2020-02-10 13:51
https://weibo.cn//u/5772432260,阿文-Janman,男,北京,683,1987,3195,回复@随便瞎划:就给消个毒吧，尤其是人群密集处。,1,2020-02-10 13:48
https://weibo.cn//u/6259373700,Nicolexxxxxxx,女,北京,917,583,215,他要不是谣言就好了,2,2020-02-10 13:47
https://weibo.cn//u/5772432260,阿文-Janman,男,北京,683,1987,3195,为什么不消毒！！！,0,2020-02-10 13:47
https://weibo.cn//u/6969249055,首都新闻出版官微,男,北京,5461,249,42331,转发微博,0,2020-02-10 13:46
https://weibo.cn//u/3309292350,天色常蓝花香常漫,女,北京,109,36,92,户外见阳光的地方没必要消毒，室内密闭空间才需要大面积消毒,0,2020-02-10 13:42
https://weibo.cn//u/2727379703,43674200胖子别抑郁,男,北京,0,332,212,真消毒不是挺好,1,2020-02-10 13:42
https://weibo.cn//u/2670321497,姜v君,男,北京,996,1210,1114,我觉得应该 像 非典 那会 一样、 夜间 请防化部队 给 消消毒、减少病毒传播,0,2020-02-10 13:41
https://weibo.cn//u/1079416597,落花之释,女,北京,2898,2395,647,消毒不是挺好，需要来次彻底消毒,0,2020-02-10 13:39
https://weibo.cn//zhu0425,ohayouohayou,女,北京,4477,634,719,宁愿消毒,3,2020-02-10 13:37
https://weibo.cn//u/1429973694,乐啤lu,女,北京,0,224,139,回复@Arwen_墨宝儿:非典时期，是否喷、怎么喷、喷什么，时间久，现在已经无从知晓了。但你说非典时期喷，我不记得，也就是每个单位自己喷喷自己那块儿地儿。我那时候天天带着17层口罩往外跑，每天前三门大街骑车，从宣武门到崇文门，没有一天接到过通知说，因为要大面积喷药不让出门的。,0,2020-02-10 13:31
https://weibo.cn//u/1429973694,乐啤lu,女,北京,0,224,139,回复@随和不儒雅的Mouse丶:且不说这个行为正不正常，先说这事儿是从微信上通知的嘛？,0,2020-02-10 13:24
https://weibo.cn//u/2329959247,扫描微波辐射计,男,北京,82,198,79,单位领导都群发了，算不算传谣？,2,2020-02-10 13:23
https://weibo.cn//u/6607919994,未完待续78250,男,其他,0,20,1,聚集点可以消毒啊，支持！,0,2020-02-10 13:18
https://weibo.cn//u/2332581451,Squid的天敌,男,北京,2612,61,242,消毒是好事啊！北京确实应该好好消一下毒了！放心！我是北京市民！我支持消毒！我们都不会恐慌！这是好事！,0,2020-02-10 13:17
https://weibo.cn//u/1663695967,_老韩_,男,北京,260,285,97,回复@清青凉丶:给主干道消毒有个屁用！ 重点人群密集的地方才是重点！用脑子想一想,2,2020-02-10 13:15
https://weibo.cn//u/1770117480,煋喆,男,北京,20,539,12,回复@清青凉丶:我就说一点，北京这么大面积消杀，消毒水够用吗？,0,2020-02-10 13:13
https://weibo.cn//u/6173812274,随和不儒雅的Mouse丶,男,其他,108,109,118,回复@乐啤露果酱:。。。防疫喷药多正常啊,4,2020-02-10 13:09
https://weibo.cn//tonghuan411,Allez-Y316,男,北京,2,625,210,不应该大面积消毒吗,0,2020-02-10 13:06
https://weibo.cn//631345143,BurningLuckyBean,女,北京,1316,517,369,自发自辟,0,2020-02-10 13:06
https://weibo.cn//u/5091072515,真-万里一空,男,北京,1812,635,1360,回复@陈茜CiciChen:自己知道就好，传出去就是谣言。,5,2020-02-10 13:01
https://weibo.cn//chenxi1215,ImCiciChen,女,北京,371,154,6320,谣言你们还通知国家机关和事业单位？有什么可隐瞒的？,31,2020-02-10 12:59
https://weibo.cn//u/1552685515,lucidlonely,男,其他,42,167,46,为什么是谣言？难道不应该大面积消毒吗？别告诉我北京市政府买不起消毒水,1,2020-02-10 12:59
https://weibo.cn//myshangguan,小小破孩儿,女,北京,2998,263,268,回复@Arwen_墨宝儿:有道理，尤其是这几天雾霾，扩散条件不利的情况下，可能消毒还能好点吧,0,2020-02-10 12:54
https://weibo.cn//Highskyring,支阳羽,男,北京,3447,849,327,回复@归来收麦田:大面积消毒，很明显的浪费物资。这时间生产都跟不上还搁这浪费。,3,2020-02-10 12:53
https://weibo.cn//mogiq,Arwen_墨宝儿,女,北京,1457,347,2353,回复@乐啤露果酱:因为非典时期经常喷！,4,2020-02-10 12:52
https://weibo.cn//mzh521,潇洒王者mzh,男,北京,1683,458,420,好多单位都发通知了，那市政府办zy是不是该xunjie一下啊,16,2020-02-10 12:52
https://weibo.cn//BI1EXW,老兵在京,男,北京,11497,513,574,请以官方通知为准，不信谣，不传谣。,0,2020-02-10 12:52
https://weibo.cn//mogiq,Arwen_墨宝儿,女,北京,1457,347,2353,回复@随便瞎划:可以提醒北京是不是该喷喷了,0,2020-02-10 12:51
