评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//banjing220,你以为你以为的就是妳以为的吗,女,北京,17288,515,1183,金融街要是没有确诊的为啥也升级为中风险地区了,3,2020-06-19 19:26
https://weibo.cn//u/1959657857,iam挣脱银河,女,北京,4368,178,1496, ,0,2020-06-21 13:02
https://weibo.cn//u/2606557341,云雪之南,男,北京,4772,1051,368,北京摇号新政越改越复杂，无法解决根本问题。轻易改变皮卡限行区域，已拥有皮卡怎么办？你可以限制新增，但原本合法买的，北京发的车牌，国家也鼓励购买，税费一分没少交，排放标准不亚于小客车，财产使用权被剥夺，经济损失谁来承担？立法法第九十三条规定：规章不溯及既往，一刀切的做法实在不可取！,1,2020-06-20 01:19
https://weibo.cn//u/1959657857,iam挣脱银河,女,北京,4368,178,1496, ,0,2020-06-21 13:02
https://weibo.cn//u/3749793052,叫我旭哥就好啦,男,北京,354,154,198,回复@你以为你以为的就是妳以为的吗:对啊，但是不知道什么时候解禁，我这已经在单位住了6天了，也算变相隔离了,0,2020-06-20 19:20
https://weibo.cn//banjing220,你以为你以为的就是妳以为的吗,女,北京,17288,515,1183,回复@叫我旭哥就好啦:刚看了报的16日-18日确诊病例活动的小区和场所也没用金融街,0,2020-06-20 17:56
https://weibo.cn//u/3272185832,北京东城筑梦景山,男,北京,78429,389,2207,转发微博,0,2020-06-20 15:48
https://weibo.cn//u/3749793052,叫我旭哥就好啦,男,北京,354,154,198,回复@你以为你以为的就是妳以为的吗:我我想知道为什么，已经在单位住6天了社区不让我回家，不知道金融街什么时候降级,0,2020-06-20 15:29
https://weibo.cn//wenchengyu,温承宇先生,男,北京,15571,5424,184117,谣言止于智者。,0,2020-06-20 08:23
https://weibo.cn//u/3972389716,初心亦然gary,女,北京,226,110,376,餐饮业中灾区不停，装修业却无辜中枪说停就停。搞不明白，哪个才是聚集区。,0,2020-06-20 05:07
https://weibo.cn//u/2606557341,云雪之南,男,北京,4772,1051,368,北京摇号新政越改越复杂，无法解决根本问题。轻易改变皮卡限行区域，已拥有皮卡怎么办？你可以限制新增，但原本合法买的，北京发的车牌，国家也鼓励购买，税费一分没少交，排放标准不亚于小客车，财产使用权被剥夺，经济损失谁来承担？立法法第九十三条规定：规章不溯及既往，一刀切的做法实在不可取！,1,2020-06-20 01:19
https://weibo.cn//tiffany923,蝉鸣树不深,女,北京,27525,747,426,周一的时候好几个群在传P3这消息，我就说了现在给新发地市场及周边或有关联的社区做检测还忙不过来呢，哪儿就轮到餐饮了，而且也完全不可能一下子把餐饮全部停掉去检测，也得分批分拨的来。这种真是稍微动动脑子就知道是假的。,0,2020-06-19 21:04
https://weibo.cn//banjing220,你以为你以为的就是妳以为的吗,女,北京,17288,515,1183,金融街要是没有确诊的为啥也升级为中风险地区了,3,2020-06-19 19:26
https://weibo.cn//u/2929155223,韩小小小小小小庚,女,其他,96,189,163,造谣的人应该处理，但是你们说清楚点多说点，大家也不会去相信谣言,0,2020-06-19 19:12
