评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1884967412,范彬BENNY_FAN,男,江苏,1910,614,340,都什么时候了还散布谣言，扰乱民心，必须严惩发布者啊！,2,2020-01-22 11:01
https://weibo.cn//u/3165863784,别喝calpis,女,江苏,404,302,950,中医这时候能别出来捣乱吗,2,2020-01-22 10:22
https://weibo.cn//u/5428223707,江苏晒黑,男,其他,65,115,77,中医都是玄学，还是要相信当代科学手段,4,2020-01-22 10:20
https://weibo.cn//u/6304192191,绘桉桉,男,其他,4,11,4,回复@allen长风万里:哪里？拿出截图,0,2020-01-23 00:47
https://weibo.cn//u/1068474375,allen长风万里,男,江苏,570,411,643,回复@江苏晒黑:钟南山院士都实事求是地肯定中医药的功效，你是个什么东西,0,2020-01-22 17:46
https://weibo.cn//u/1068474375,allen长风万里,男,江苏,570,411,643,回复@calpis11:你们全家捣乱。,1,2020-01-22 17:45
https://weibo.cn//u/1068474375,allen长风万里,男,江苏,570,411,643,回复@一颗赛艇v-v:钟南山院士都肯定中医药的重要作用，到你这放个屁就给否定了？有多远滚多远,5,2020-01-22 17:44
https://weibo.cn//u/5866079442,血月晓枫,男,其他,2,40,49,回复@一颗赛艇v-v:这和中医有关系？,0,2020-01-22 16:58
https://weibo.cn//u/1884967412,范彬BENNY_FAN,男,江苏,1910,614,340,都什么时候了还散布谣言，扰乱民心，必须严惩发布者啊！,2,2020-01-22 11:01
https://weibo.cn//u/3165863784,别喝calpis,女,江苏,404,302,950,中医这时候能别出来捣乱吗,2,2020-01-22 10:22
https://weibo.cn//u/2036913644,昆仑之轩,男,江苏,716,1086,148,回复@Aaron-谈:昨天就辟过了，不是的,0,2020-01-22 10:21
https://weibo.cn//caidalong,哲枫345,男,江苏,1085,222,782,回复@Aaron-谈:昨天就辟谣了,0,2020-01-22 10:20
https://weibo.cn//u/5428223707,江苏晒黑,男,其他,65,115,77,中医都是玄学，还是要相信当代科学手段,4,2020-01-22 10:20
https://weibo.cn//u/5656553215,甜甜圈总裁,女,天津,312,358,121,你们想喝就喝，但是喝了也得戴口罩！！,0,2020-01-22 09:52
https://weibo.cn//u/1771086897,光圈儿vision_leo,男,江苏,1550,102,437,一有风吹草动，什么牛鬼蛇神就都出来了！,0,2020-01-22 09:48
https://weibo.cn//u/2761224033,YunYunYunYunYun-,男,江苏,22,142,135,微信群也敢信,0,2020-01-22 09:44
https://weibo.cn//u/3517304015,天天想吃好吃的V,男,北京,37564,142,268,回复@ccXiner:估计是中医黑传出来黑中医的。,0,2020-01-22 09:41
https://weibo.cn//u/2634925451,ccXiner,女,其他,825,216,947,回复@一颗赛艇v-v:这是造谣者骗又不是中医骗？不懂,3,2020-01-22 09:39
https://weibo.cn//u/2002982572,kamekameha,男,江苏,262,759,368,真假都一样,0,2020-01-22 09:39
https://weibo.cn//tanshunli,Aaron-谈,男,江苏,308,207,1558,网传浦口有一例，望辟谣,8,2020-01-22 09:36
https://weibo.cn//2late,2Late,女,江苏,8312,1232,347,政府部门是不是应该组织下配发口罩😷，口罩价格有点受不了😱,0,2020-01-22 09:36
https://weibo.cn//u/6962311257,火锅配上酒,男,江苏,15,114,15,听说扬州有人疑似肺炎,0,2020-01-22 09:34
https://weibo.cn//u/2654142451,哇咔咔满大人,男,江苏,1430,113,483,庸医骗子又来蹭热度了！病毒知道吗？庸医粉们，你们最不愿意接受的病毒导致的！你们阳阴说不适合哦,4,2020-01-22 09:33
https://weibo.cn//209093177,小野酱不要酱丶酱丶酱,女,江苏,197,1450,1299,回复@我爱我的Enzo:口罩可以，泡腾片就算了吧。,0,2020-01-22 09:33
