评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1858523682,瘪豆了,女,江苏,37943,224,1645,"板蓝根和熏醋是最常用的 “安慰剂""",9,2020-01-22 10:15
https://weibo.cn//u/5766864504,咖啡美眉777,女,江苏,783,81,224,喝板蓝根那是自我安慰吧！,1,2020-01-22 10:35
https://weibo.cn//u/1368181900,花丛边的猫,男,江苏,2423,272,131,板蓝根什么感冒都不治吧,2,2020-01-22 09:57
https://weibo.cn//u/5969427459,苜蓿园社区,男,江苏,108389,102,752,//,0,2020-01-23 09:59
https://weibo.cn//u/5958524597,石门坎社区,男,江苏,38070,60,232,//,0,2020-01-23 09:23
https://weibo.cn//u/5771242748,金泰社区,女,其他,23281,22,108,//,0,2020-01-23 09:08
https://weibo.cn//u/1964929631,做梦碎碎念_啧啧,男,江苏,2581,634,116,回复@龙虾杀手666:最好消毒,1,2020-01-22 14:40
https://weibo.cn//u/7022436534,微笑的Liz-lu,女,江苏,70,28,36,熏艾,0,2020-01-22 13:51
https://weibo.cn//u/5958524597,石门坎社区,男,江苏,38070,60,232,//,0,2020-01-22 12:20
https://weibo.cn//u/6222264764,一只努力的呆头鹅,男,江苏,1,110,48,回复@李春姬思密达:信这个的人可以去脑科医院检查检查脑子了,0,2020-01-22 12:14
https://weibo.cn//blue999999,九三式水中听音机,男,江苏,1332,39,107,板蓝根有用的话国家至于花那么大力气么,0,2020-01-22 12:13
https://weibo.cn//u/2347242421,龙虾杀手666,女,江苏,289,238,178,网上买的口罩快递，从武汉发出了，请问这种非活物会有传播风险吗？,0,2020-01-22 11:47
https://weibo.cn//u/2347242421,龙虾杀手666,女,江苏,289,238,178,想请问下，用84消毒液或者滴露消毒液喷洒或者擦拭，有效果吗？,0,2020-01-22 11:46
https://weibo.cn//u/2114155841,8ridk,男,其他,29,221,139,回复@chenlok666:我爸买的那个可以,0,2020-01-22 11:13
https://weibo.cn//u/1874056225,viviorangeeee,女,湖北,3201,477,314,那该咋办啊，我记得非典时候就是板蓝根+熏醋，我妈还去市场买了折耳根，有啥可以安慰自己的防护药吗？,0,2020-01-22 11:10
https://weibo.cn//u/5745677211,追梦人啊哈,男,其他,5501,648,704,好的,0,2020-01-22 10:39
https://weibo.cn//u/5766864504,咖啡美眉777,女,江苏,783,81,224,喝板蓝根那是自我安慰吧！,1,2020-01-22 10:35
https://weibo.cn//duoskywalk,球总老娘V5,女,江苏,2488,229,821,转发微博,0,2020-01-22 10:17
https://weibo.cn//u/1858523682,瘪豆了,女,江苏,37943,224,1645,"板蓝根和熏醋是最常用的 “安慰剂""",9,2020-01-22 10:15
https://weibo.cn//u/5688493104,辰冬_nous,女,江苏,26,70,178,我已经被我妈拖着喝两天板蓝根了,0,2020-01-22 10:10
https://weibo.cn//u/2008921351,百度动漫达人大集合吧_596,男,江苏,28,275,21,你们到底有没有瞒着？,0,2020-01-22 10:09
https://weibo.cn//u/1877409051,琦嫄,女,江苏,138,69,142,谣言满天飞，全部抓起来啊,0,2020-01-22 10:08
https://weibo.cn//u/1960725327,是六六呀w,女,江苏,1902,362,188,所以说现在还不知道有啥能预防吗,3,2020-01-22 10:03
https://weibo.cn//qq734692773,chenlok666,女,江苏,243,901,11302,@毛毛头爱圆宝,0,2020-01-22 09:59
https://weibo.cn//u/1368181900,花丛边的猫,男,江苏,2423,272,131,板蓝根什么感冒都不治吧,2,2020-01-22 09:57
https://weibo.cn//u/1836619223,老特拉福德名宿林加德,男,其他,1275,93,405,包治百病板蓝根,0,2020-01-22 09:57
https://weibo.cn//zhaosuhui,M木木啊M,女,江苏,218,87,7,我天，又开始传六合有个，你们赶紧把这些造谣的抓起来吧,0,2020-01-22 09:53
