评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3227407905,等一杯咖啡有多久,男,江苏,33,409,116,: 举报南京g2等多个高速入城口不查体温就放行，可能会导致春节返程期增加市内移动病原体数量,23,2020-01-31 07:35
https://weibo.cn//417072881,雾霾不戴口罩,男,其他,592,2,478,报警吧！造谣传谣者不得好shi！,13,2020-01-31 07:59
https://weibo.cn//vvenorz,毛笋笋酱,女,江苏,6045,164,186,但是我家这几天的水放出来是白的 过一会才变透明[皱眉],0,2020-01-31 16:22
https://weibo.cn//u/3227407905,等一杯咖啡有多久,男,江苏,33,409,116,回复@纸箱之神gurasan:打了，发出来就是给大家看看，反映人多才会引起重视,0,2020-01-31 15:47
https://weibo.cn//u/5919153828,纸箱之神gurasan,男,其他,5403,42,16,回复@等一杯咖啡有多久:报警都没用，你 @ 就管事了？打电话给疾控中心和12345啊，我这两天刷微博看到的相关信息都报警了,0,2020-01-31 13:10
https://weibo.cn//u/5783278607,Dimon丿夏小轩,男,江苏,184,128,83,说挥发我笑了，不知道消毒剂有效的是次氯酸根吗？,1,2020-01-31 12:08
https://weibo.cn//u/3227407905,等一杯咖啡有多久,男,江苏,33,409,116,回复@纸箱之神gurasan:报警没用 ，警察不管这个事情,0,2020-01-31 11:54
https://weibo.cn//u/5919153828,纸箱之神gurasan,男,其他,5403,42,16,回复@等一杯咖啡有多久:你光 @ 有个屁用啊，不会报警啊？我要是当事人直接就报警了，光网上反应他们又不一定看得见,0,2020-01-31 11:02
https://weibo.cn//u/1843194617,爱骑公路车的小杰,男,江苏,334,126,306,警察连造谣的人都抓不到，你们这些官微只能不停的辟谣，,1,2020-01-31 10:57
https://weibo.cn//u/5029075279,Sweet落花千羽,男,江苏,642,169,32,能有点常识吗？要是水有问题，现在只会有这点病患？怎么说也上千上万吧……,1,2020-01-31 10:05
https://weibo.cn//u/1333419547,毕水易寒,男,江苏,590,162,3015,可以直饮吗？,0,2020-01-31 09:50
https://weibo.cn//u/5445403432,一起数睫毛,女,江苏,1020,893,4751,尽造谣，真jb蛋疼，是不是再过几天水也不能喝了？,3,2020-01-31 09:18
https://weibo.cn//u/1149955232,干四啊,女,江苏,1181,237,81,回复@阿童木家的一代目螃蟹:我一夜翻几次 翻到早上 没看到有数据出来  我不是乱立flag  我是真心希望啊,0,2020-01-31 09:06
https://weibo.cn//duanmuyu,端木钰,女,江苏,1796,71,193,回复@二逼的生活最近多:对，还有苏州的传，要不是长辈，我真想会怼，南京自来水要不好。你们苏州就要喝长毛水了,1,2020-01-31 08:59
https://weibo.cn//duanmuyu,端木钰,女,江苏,1796,71,193,家里群发这个，给我怼回去了。还说同学发的，同学是医生，真是没有脑子🧠,0,2020-01-31 08:56
https://weibo.cn//u/3810660717,和你路过全世界,女,江苏,312,56,215,回复@干四啊:已经出来了，6个,1,2020-01-31 08:42
https://weibo.cn//u/2445782421,端午一枝花,女,江苏,234,1907,115,回复@干四啊:没有统计出来吧,0,2020-01-31 08:33
https://weibo.cn//u/1734298324,AMSHEN,男,江苏,24323,512,1803,噗,0,2020-01-31 08:28
https://weibo.cn//u/7250177099,seasontraveller,女,江苏,34,97,1,害，真的是，南京高速啊什么的防控太差了,0,2020-01-31 08:27
https://weibo.cn//u/2988435980,二逼的生活最近多,女,海外,1471,374,56,传什么不好 居然传南京水不好 特么的如果南京水质不好全国就没地方好了 靠 造谣的逮到嘴打肿 手打断,5,2020-01-31 08:25
