评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5753946963,与芥茉共舞,女,江苏,424,114,113,还是封的好,84,2020-01-27 07:02
https://weibo.cn//u/5869631360,941210心存一片海,男,江苏,2666,208,2192,疫情严峻  可以封了,51,2020-01-27 07:01
https://weibo.cn//u/2677820670,PINK-蕾-丝-控-,女,江苏,237,569,154,不封城 返程高峰怎么办 南京地铁站那么多人  哎 。。。,42,2020-01-27 07:28
https://weibo.cn//u/2278669873,是个甜的小鲸鱼,女,江苏,462,634,251,想问一下，外地人可以回南京吗,0,2020-03-07 23:04
https://weibo.cn//qwq123456789,清晨mqc,女,江苏,13,29,87,回复@曹雨20716:嗯嗯，谢谢哈,0,2020-02-23 21:35
https://weibo.cn//u/5470203703,曹雨20716,女,其他,0,38,2,回复@是清晨呀:可以,0,2020-02-23 19:19
https://weibo.cn//qwq123456789,清晨mqc,女,江苏,13,29,87,回复@寿春修城:现在回去了吗，可以下高速不,0,2020-02-23 18:16
https://weibo.cn//qwq123456789,清晨mqc,女,江苏,13,29,87,回复@曹雨20716:高速现在可以下吗？现在回去了吗,0,2020-02-23 18:16
https://weibo.cn//qwq123456789,清晨mqc,女,江苏,13,29,87,回复@清城71:想问一下，回去了吗，现在高速可以下不,0,2020-02-23 18:16
https://weibo.cn//u/1954456913,清城71,男,其他,0,486,208,急问，南京最近封路了没？,0,2020-02-14 14:05
https://weibo.cn//u/5470203703,曹雨20716,女,其他,0,38,2,南京现在封高速入口吗？外地牌照能进吗？,0,2020-02-12 14:45
https://weibo.cn//u/5607720846,寿春修城,男,浙江,50,172,77,今天南京高速可以下吗,0,2020-02-12 10:40
https://weibo.cn//hujing9443,懒懒的-CC,女,江苏,344,320,4815,南京市区内封路大半夜影响上班 ,0,2020-02-11 02:34
https://weibo.cn//u/6557242686,杰森斯坦zhu,男,其他,2,178,19,回复@悟空不是猴_:非常一般？！？社区的工作都被你忽视了？！不带眼睛的？,0,2020-02-10 14:09
https://weibo.cn//u/6557242686,杰森斯坦zhu,男,其他,2,178,19,回复@宇宙最美不接受反驳a:有些人根本不懂，没人的城就是死城，政府最怕的局面，有些人假聪明替政府决策,0,2020-02-10 14:08
https://weibo.cn//u/5098940010,动感光波2513,女,其他,190,260,59,那为什么不让下去收费站,0,2020-02-09 16:04
https://weibo.cn//u/3222210892,Sharhea,女,江苏,733,88,120,现在还给不给回南京啊,2,2020-02-09 13:57
https://weibo.cn//u/1116468777,somgruice,女,江苏,31,438,136,@十分感动十一分的平庸,0,2020-02-08 22:30
https://weibo.cn//u/5602158275,知春莫若猫,女,其他,335,519,266,请问外地车可以进南京吗？,1,2020-02-08 12:02
https://weibo.cn//u/7124541661,冲冲冲ccci,男,上海,564,221,16,到了南京也不让进小区怎么办,0,2020-02-08 02:04
https://weibo.cn//u/7124541661,冲冲冲ccci,男,上海,564,221,16,可是到了南京物业也不让进小区,0,2020-02-08 02:03
https://weibo.cn//u/1750469593,非典型性布瓜,男,上海,53,217,76,控制省界就可以了，不要省内各市县到处搞封路。,1,2020-02-07 23:58
https://weibo.cn//u/5243866318,用户1235560987,女,江苏,2426,158,201,请问进入南京需要做申请吗,0,2020-02-07 18:13
https://weibo.cn//u/6824558314,随心所欲会飞会爆炸的小仙女,女,江苏,9,104,16,外地牌照现在还能进入南京么,0,2020-02-07 12:25
https://weibo.cn//u/5245703186,悟空不是猴_,男,江苏,978,302,456,回复@Miss_Godfrey:现在挺好的,0,2020-02-06 18:30
https://weibo.cn//u/3213694031,Anna何婷婷,女,浙江,105,194,9389,温州能不能开车去南京,0,2020-02-04 16:38
https://weibo.cn//u/5224613968,夏目与贤人,女,其他,138,87,30,现在南京高速有没有限制外地车辆啊？,0,2020-02-04 13:19
https://weibo.cn//u/5770889403,really_spicy,女,江苏,27,438,377,我去不了南京，被封了,0,2020-02-04 10:14
https://weibo.cn//u/5497692124,家有儿女之宝贝儿,女,上海,1840,882,168,回复@西遇小姐:我也想知道,0,2020-02-04 08:39
https://weibo.cn//u/5637963114,西遇小姐,女,海外,361,1052,766,请问有人知道从安徽可以去南京南高铁站吗？  封路吗？,1,2020-02-02 23:12
https://weibo.cn//u/5798038517,鄙人好久不见-1988,女,江苏,20,297,28,回复@YoWo-alwaysHforever:回了,0,2020-02-01 12:25
https://weibo.cn//u/3912022942,风吹海1,男,新疆,3,287,154,现在外地车牌可以进南京吗,0,2020-01-31 20:35
https://weibo.cn//u/3928203780,George啊把,男,安徽,25,26,50,从安徽上高速，去江苏淮安，给不给走？？？,0,2020-01-30 15:25
https://weibo.cn//u/5201660920,好饿想睡觉噢,女,海外,916,277,183,回复@隔壁家的望哥哥:不好意思真的不是所有人都像你一样待在家里没事做,0,2020-01-30 10:23
https://weibo.cn//u/5972941956,爱睡的Q同学,男,江苏,24,234,69,明天去南京希望不要封路,0,2020-01-29 23:04
https://weibo.cn//sybing,哎喲是场薄荷凉冰x,女,上海,1526,1294,1541,封吧，我还想活尼,0,2020-01-29 21:24
https://weibo.cn//u/5527736666,隔壁家的望哥哥,男,广东,3,64,47,今天看了新闻某个地方只留了一条来南京的线路其他的大巴车全部停运。请问一下 现在还开通来宁的路线 是觉得南京增长速度不够快吗,0,2020-01-29 13:04
https://weibo.cn//u/5296940340,-可可可-like,女,江苏,153,192,158,南京的外地人都回家过年了，整个城市就空的差不多了，封了的话还怎么继续供应资源,0,2020-01-28 23:51
https://weibo.cn//u/5646469863,刘璐安安,女,江苏,87,290,383,宁马收费站那里苏A牌照可以进南京吗？,0,2020-01-28 16:35
https://weibo.cn//u/2705794003,马甲是寂寞最棒,男,江苏,128,132,75,回复@悟空不是猴_:非常一般,0,2020-01-28 12:06
https://weibo.cn//u/5659189895,小赵好困a,女,江苏,86,628,85,回复@1987心存一片海:南京多少外地人你知道吗？封城南京就是空城 过年南京人基本上都走光了,8,2020-01-28 10:30
https://weibo.cn//u/5827839633,w-d-p891206,女,江苏,50,57,45,小城市好多都封了， 怎么南京一点反应都没有  难道不知道现在疫情已经越来越严重了吗？,1,2020-01-28 09:59
https://weibo.cn//u/2169230951,samuel南京,男,江苏,5010,2334,597,封城是办法吗？外地车辆不允许进入真的就是办法吗？南京本地人多少外地车牌不少,0,2020-01-28 09:56
https://weibo.cn//u/7036652019,别给我加香菜谢谢啦,女,江苏,3305,87,21,回复@白夕颜2012:现在只能自己保护好自己啦,0,2020-01-28 09:52
https://weibo.cn//u/2838029053,白夕颜2012,女,江苏,170,358,55,回复@别给我加香菜谢谢啦:我坐地铁也没人量体温。很失望。所以大家好自为之吧。,0,2020-01-28 07:44
https://weibo.cn//u/2838029053,白夕颜2012,女,江苏,170,358,55,我昨天，前天坐地铁上班，没人量体温。地铁站只有安检在外面，地铁人员都在室内。所以，大家好自为之吧。,0,2020-01-28 07:42
https://weibo.cn//u/5201660920,好饿想睡觉噢,女,海外,916,277,183,如果真的封城 去机场去高铁站的怎么办啊 不是去旅行而是真的有事情的,0,2020-01-27 21:30
https://weibo.cn//u/5879306805,别什么都扯上小天,女,江苏,104,491,123,昨天回南京，一路畅通，什么防护人员都没看到,0,2020-01-27 21:22
https://weibo.cn//u/5630817219,Quiet__shadow,男,江苏,79,66,22,不封？返程高峰那么多人你政府敢保证全是健康的？怎么不组织他们去北京西路观光呢？,0,2020-01-27 20:32
