评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7314082500,速效失心丸,男,江苏,7138,373,32,还把他号给封了……灭掉辟谣的人，高，瑞思拜,60,2020-02-06 10:50
https://weibo.cn//u/1687811401,老百姓张小姐,女,江苏,73,1394,10546,太多的自媒体，趁这次疫情蹭热度。,55,2020-02-06 10:39
https://weibo.cn//u/3214985302,儒雅的圣王,男,江苏,1766,147,121,对自媒体的规范太少，导致很多自媒体蹭热度，博流量，不得不说再严肃问题面前还得看国家队,19,2020-02-06 10:45
https://weibo.cn//u/5229579114,jy_zir,男,江苏,26,14,27,回复@拜仁大佬基米希:有开放时间，下午早点去,0,2020-02-07 09:43
https://weibo.cn//u/6375997119,丧苕,女,其他,1854,380,152,回复@桔葉泡泡:先买非一次性口罩应付一下，网上还有的卖,0,2020-02-06 13:28
https://weibo.cn//George4331,曲水白溪,男,江苏,321,336,541,回复@桔葉泡泡:可以考虑防毒面具,0,2020-02-06 12:54
https://weibo.cn//u/1264734857,唯有神知道,男,江苏,53,136,113,现在很多自媒体一点下限都没有，什么热度都蹭，什么危言耸听的话都敢讲，确实该规范一下了。,3,2020-02-06 11:40
https://weibo.cn//83682486XW,玄武发布,女,江苏,62182,625,174619,被感染隔离的宝宝向医生求抱抱是谣言     举报             赞[3]         回复             2020-02-06 11:37:02 来自网页,3,2020-02-06 11:37
https://weibo.cn//u/5075846369,栖霞残联,男,江苏,11778,143,354,     举报             赞[2]         回复             2020-02-06 11:22:32 来自网页,2,2020-02-06 11:22
https://weibo.cn//u/1234883342,用户15389862436,男,其他,3893,272,345,回复@吉祥佳仁:刚刚综合考虑了一下，如果9号公司还没有通知延迟，我自己延迟，本人去南京后需要买菜购物生活物资等，需要口罩和消毒液，出租房里的人员我也不敢保证，都是共用厨房卫生间的，加上最近疫情没有更好的拐点，我就家里蹲吧。,1,2020-02-06 11:21
https://weibo.cn//alicegame,NingniSerene,女,江苏,1387,498,420,回复@桔葉泡泡:我朋友圈里有个姐姐买不到 已经用那种防溢乳垫贴在棉布口罩里了 她后来反馈她老公出门戴的效果还不错…,0,2020-02-06 11:19
https://weibo.cn//rebecca19881221,纯蓝心天空,女,海外,374,315,371,祝福宝宝能早日康复，少受病痛的折磨,1,2020-02-06 11:19
https://weibo.cn//u/1046743742,苏皮酥又酥,女,其他,77,129,55,回复@isaakfvkampfer:好有道理的样子,0,2020-02-06 11:12
https://weibo.cn//u/2185930932,拜仁大佬基米希,男,江苏,195,250,739,刚刚去菜场买菜  说众彩关闭了  真的假的,3,2020-02-06 11:07
