评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2746291864,Cannon丶Howitzer,男,江苏,91,221,98,@marchVV,0,2020-02-08 18:54
https://weibo.cn//u/3780263423,起名困难综合z,男,江苏,95,158,268,@淮北一小枳,0,2020-02-07 21:44
https://weibo.cn//u/2824123407,淮北一小枳,女,江苏,62,340,56,回复@起名困难综合z:哦哦！,0,2020-02-09 14:02
https://weibo.cn//u/2746291864,Cannon丶Howitzer,男,江苏,91,221,98,@marchVV,0,2020-02-08 18:54
https://weibo.cn//u/6906779930,杞枚777,女,江苏,15,98,1,回复@F有钱川陕总督:好的，谢谢您了,0,2020-02-08 01:39
https://weibo.cn//u/1946246331,F百万-川渝总督,男,四川,649,192,21447,回复@杞枚777:建议,0,2020-02-08 00:48
https://weibo.cn//u/6906779930,杞枚777,女,江苏,15,98,1,回复@F有钱川陕总督:建议还是实施？,0,2020-02-08 00:32
https://weibo.cn//u/3780263423,起名困难综合z,男,江苏,95,158,268,@淮北一小枳,0,2020-02-07 21:44
https://weibo.cn//u/3244286633,原来是简子啊,女,江苏,260,678,586,哪个憨憨传的谣！！我们家的菜堆成山了要,0,2020-02-07 21:25
https://weibo.cn//u/5642227008,陈肥肥嗯啦,女,江苏,311,64,22,肉类呢,0,2020-02-07 19:27
https://weibo.cn//u/6483063561,狗哥的小号嘻嘻嘻,男,江苏,39,80,213,回复@billie的牛油果TT:,2,2020-02-07 18:27
https://weibo.cn//u/3569155653,billie的牛油果TT,女,江苏,92,623,177,回复@真的飞的好累:现在还真的到处都没啥人，到处都不给人进了,1,2020-02-07 18:22
https://weibo.cn//u/3569155653,billie的牛油果TT,女,江苏,92,623,177,回复@狗哥的小号嘻嘻嘻:这种人太多了。。。这几天也是啥样的人都见识到了。。总以为自己想的比决策者周全。。,3,2020-02-07 18:21
https://weibo.cn//u/6483063561,狗哥的小号嘻嘻嘻,男,江苏,39,80,213,回复@真的飞的好累:看到回复就删评吧，不要不了解情况，引起不必要的恐慌。众彩园区内不允许外来人随便进，甚至有些商户回家过年没来的，都打电话通知别过来了。整个园区入口，都有体温测量人员。每个区都只有一个出入口，都设置了体温测量人员。你duck不必担心,9,2020-02-07 18:11
https://weibo.cn//u/6483063561,狗哥的小号嘻嘻嘻,男,江苏,39,80,213,回复@真的飞的好累:众彩是批发市场,1,2020-02-07 18:07
https://weibo.cn//u/5322673341,钱柔依,女,江苏,793,181,10258,停快递是什么意思呢？能给个具体的解释吗？,0,2020-02-06 19:44
https://weibo.cn//u/3086935640,喵喵暂时没想好,女,江苏,166,73,20,就问蔬菜能不能保障？,0,2020-02-06 19:18
https://weibo.cn//601285978,张慧林,男,江苏,50089,3861,2001287,回复@今天南京扩容了吗:放心,0,2020-02-06 19:15
https://weibo.cn//601285978,张慧林,男,江苏,50089,3861,2001287,相信众彩人一定会把病毒拒之门外，保护好南京市民菜篮子的安全！希望大家出门戴上口罩，做好防护措施。,12,2020-02-06 18:31
https://weibo.cn//u/2908051955,曹杨de微博,男,江苏,2237,3225,1243,把散布谣言的抓起来,0,2020-02-06 18:27
https://weibo.cn//fayyushuiyi,茜_子是桂圓,女,江苏,9825,1732,726,停快递是什么意思呢？？？？？本来就买不到口罩了，快递都不给送！！！！,2,2020-02-06 18:06
https://weibo.cn//u/3172005503,阑珊暮色,男,江苏,65,199,123,菜篮子,0,2020-02-06 17:35
https://weibo.cn//u/3960699156,和谐秦淮工会,男,江苏,7751,204,381,辟谣！,0,2020-02-06 17:32
https://weibo.cn//u/2340558977,一品六合,男,江苏,28476,2228,1441,     举报             赞[0]         回复             2020-02-06 17:01:10 来自网页,0,2020-02-06 17:01
https://weibo.cn//u/1946246331,F百万-川渝总督,男,四川,649,192,21447,江苏学生推迟到3月开学了。建议复工按行业属性陆续复工，10号肯定不行。建议零售、餐饮、住宿服务性17号复工；房地产中介、部分金融公司24号复工；房地产开发企业、科技类3月2日复工。影院、娱乐、景区、展馆、大市场、旅游业，暂时不复工。,0,2020-02-06 16:57
https://weibo.cn//u/2863818074,真的飞的好累,男,江苏,382,147,404,这……限制时间不就把人压缩在一起买吗？？人不就更密集了？谁拍脑袋想的啊？？？？,6,2020-02-06 16:39
https://weibo.cn//u/7321980374,小小的ufo,男,江苏,69,59,22,回复@随波逐流不下流200312:我的意思可以停 但是你要说清楚原因 如果有传染隔离现象 你不清不楚 停11天 大家都跑去超市囤货 不是更危险,1,2020-02-06 16:23
https://weibo.cn//u/6535015620,随波逐流不下流200312,男,江苏,39,6,5,回复@小小的ufo:有外卖，和快递员被传染了。别人的命也是命。,0,2020-02-06 16:18
https://weibo.cn//blossombaidu,北极兔出没注意,男,上海,9839,403,733,今天去南京江宁的太平菜场有人不顾工作人员提醒没戴口罩就进去了 工作人员未加阻拦 还有人口罩戴得不严实 望加强管理,0,2020-02-06 16:17
https://weibo.cn//u/7321980374,小小的ufo,男,江苏,69,59,22,今天京东物流和快递对所有南京的快递延迟揽收和派送 一律11天以后2月17号 这是不是故意扰乱社会秩序？本来大家不出门就指望快递配送 现在好了 你停运11天 那所有指望京东派送的都要去超市了 这时候给政府添乱！！,3,2020-02-06 16:02
https://weibo.cn//u/6056925423,米司白92343,男,其他,307,455,70,: 想问下现在城里面菜场 苏果超市 保证城市供应蔬菜粮食，但问题是，企业不发口罩，这些工作人员的口罩都没有了快，普通人职工哪里买得到口罩，自己去看看超市员工是什么口罩，浴帽都上了，超市不发口罩的，万一感染了，就是聚居区的爆发，希望能有关注。,2,2020-02-06 15:36
https://weibo.cn//u/1016604647,如初惟爱葱Rachel,女,江苏,9228,877,3400,到底哪天开学,0,2020-02-06 14:50
https://weibo.cn//u/5822181651,xcxcv537,男,辽宁,2,103,43,没口罩 买不到 外地的没车 又不敢做地铁 怎么上班啊！,1,2020-02-06 14:50
https://weibo.cn//u/5822181651,xcxcv537,男,辽宁,2,103,43,强烈建议继续延迟上班！,5,2020-02-06 14:49
https://weibo.cn//u/6447794515,飞向瘦美星球,女,其他,48,34,128,回复@Love·kk:1.需要自行在家隔离观察。2.小区确实封闭管理，外地给进，但必须在家隔离观察。3.没有收钱。小区门口有物业和志愿者，需要买啥了，可以请他们送，他们很好，不要被误导，没有收钱。,0,2020-02-06 14:49
https://weibo.cn//u/7064073087,岑寂333,男,其他,37,47,3,开学能不能给个消息,1,2020-02-06 14:48
https://weibo.cn//belovedguy,_IRIS_K,女,江苏,48,150,363,回复@Love·kk:没这回事 每个小区门口有人消毒量体温,0,2020-02-06 14:46
https://weibo.cn//u/6287676517,日常不想上班君,女,江苏,569,239,175,回南京要隔离吗,0,2020-02-06 14:40
