评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5644365006,Unha2ppy,男,海外,301,122,5166,我前女友家小区...？？？,34,2020-02-06 16:44
https://weibo.cn//u/5880793206,z辄止,女,江苏,244,150,63,那些传谣言的人想干嘛？！,21,2020-02-06 16:42
https://weibo.cn//u/2653832283,福州消防,男,福建,37341,1900,309377,经警方核实，江宁警方近期未接报所谓消毒酒精遇火爆炸事件。不过大家在使用高浓度消毒酒精时还是要注意安全，注意远离明火。 ,0,2020-02-13 16:17
https://weibo.cn//u/6515445160,春天不长草2333,女,安徽,243,311,20506,唉！造谣的怎么想的。,0,2020-02-08 17:18
https://weibo.cn//u/1625008967,滴莉莉莉莉莉莉莉,女,北京,2047,161,275,回复@z辄止:还有人说成都,0,2020-02-07 20:27
https://weibo.cn//u/6351572012,一根肥香蕉i,女,江苏,48,48,31,刚刚还在朋友圈看到以下文字配辟谣视频:武汉古田四路佳兴园，自己用酒精全屋消毒后开空调，引起爆炸 消毒请选择正规的施工单位，出现意外得不偿失,0,2020-02-07 19:28
https://weibo.cn//u/6093260291,Crystal_Deserts,女,江苏,365,364,64,回复@我是最最最幸运的啊:这个不太清楚耶 这几天都没出门,0,2020-02-07 14:56
https://weibo.cn//u/6739050316,我是最最最幸运的啊,女,江苏,254,102,4,回复@Crystal_Deserts:请问百家湖花园小区限制租户进小区吗,0,2020-02-07 13:58
https://weibo.cn//u/6739050316,我是最最最幸运的啊,女,江苏,254,102,4,百家湖花园限制租户进小区吗？,1,2020-02-07 13:55
https://weibo.cn//u/5483224199,小衫夢冴,女,海外,5201,189,189,回复@_Diesseits:典型句容人,0,2020-02-07 11:25
https://weibo.cn//u/2488436862,_Diesseits,女,江苏,381,230,197,回复@小衫夢冴:不好意思我们句容人从来不说自己是南京的，微信也不会写南京，别yy了，我们就是江苏句容,0,2020-02-07 10:16
https://weibo.cn//u/6074663329,一口风油精,女,湖北,394,653,1508,一个叔叔阿姨群里说是武汉的，另一个叔叔阿姨说是河南的，可把我逗笑了,0,2020-02-07 09:48
https://weibo.cn//u/3760114993,郑允浩怎样的你都想拥抱,女,江苏,6041,736,1269,昨天下午4点多还路过，造谣的都怎么想的真是唯恐天下不乱,0,2020-02-07 09:46
https://weibo.cn//techmagic,_小污见大污,男,浙江,356,125,86,南京发布发表有关“75摄氏度酒精消毒与火爆炸的不实言论” 现依法对你进行训诫 广大网友希望你能终止违法行为，你能做到吗？____________ 希望你冷静下来想想75度酒精该怎么写，如果你不思悔改继续违法活动，你将受到键盘的制裁，你明白吗？____________ 被训诫人：____________,1,2020-02-07 06:18
https://weibo.cn//u/7350608422,張國榮和陳奕迅都是我的,女,江苏,1113,284,216,回复@进击的贝勒爷:哈哈哈哈哈哈哈哈操,0,2020-02-07 04:09
https://weibo.cn//u/7237245607,一坨融化的奶油,女,江苏,79,100,7,维也纳花园变百家湖花园？？？,0,2020-02-07 01:19
https://weibo.cn//u/6093260291,Crystal_Deserts,女,江苏,365,364,64,回复@TimZong:住在百家湖西花园的表示 我们的门没这么新,0,2020-02-07 00:52
https://weibo.cn//22jia,_佳佳佳佳油,女,江苏,6010,344,460,对 是我们句容的,0,2020-02-07 00:03
https://weibo.cn//cyang90,時光旅人cy,男,江苏,904,613,167,回复@假马日鬼的野比静香:好的 谢谢,0,2020-02-06 23:57
https://weibo.cn//u/6535160988,假马日鬼的野比静香,男,江苏,485,230,44,回复@時光旅人cy:去药店吧 限购的 如果没有他会告诉你什么时候来货的,1,2020-02-06 23:47
https://weibo.cn//u/6535160988,假马日鬼的野比静香,男,江苏,485,230,44,回复@lao游:应该是吧,0,2020-02-06 23:46
https://weibo.cn//u/1075349803,脸脸欧巴,女,江苏,1028,738,133,回复@混吃等死铁憨啤:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈神经病啊你,0,2020-02-06 22:28
https://weibo.cn//u/5869470820,半粒泡芙,女,江苏,556,70,198,朋友圈传疯了，无语了,0,2020-02-06 21:48
https://weibo.cn//u/5973592714,楠柯kkk,女,江苏,217,136,207,回复@苏生want:南京句容实锤,0,2020-02-06 21:29
https://weibo.cn//giserLeiZhou,没钱没时间还想去旅行Y,男,江苏,3623,1325,320,这谣言我也是服了┗┃・ ■ ・┃┛,0,2020-02-06 21:28
https://weibo.cn//u/5045660540,古娜拉biubiubiu,女,黑龙江,143,350,281,图一确实很像百家湖西花园的西门呀，对着通淮街的门,0,2020-02-06 21:22
https://weibo.cn//u/1708283615,呼吸在天空下,男,江苏,5076,946,1846,造谣的是不是该立法了？比如很严格的那种。。。 我昨晚莫名其妙被家人电话说吃鸡蛋，不要问为什么。。。。,0,2020-02-06 21:16
https://weibo.cn//u/2750995333,苏生want,女,山东,625,84,340,@楠柯kkk,0,2020-02-06 21:15
https://weibo.cn//u/5483224199,小衫夢冴,女,海外,5201,189,189,回复@得二不能二:哈哈哈，因为他们都会自称南京人啦,0,2020-02-06 21:07
https://weibo.cn//u/6276925852,得二不能二,男,江苏,1755,880,208,回复@小衫夢冴:我一个南京人也一直以为句容是南京的,0,2020-02-06 20:26
https://weibo.cn//u/5483224199,小衫夢冴,女,海外,5201,189,189,回复@得二不能二:镇江句容啦，不过他们喜欢自我yy是南京人,3,2020-02-06 20:18
https://weibo.cn//u/2404123783,落夏zzz,女,广东,281,151,117,这个喊的跟我们方言一摸一样，我们群里也在发，还以为是我们这儿,0,2020-02-06 20:05
https://weibo.cn//u/2568352671,积极废驼,女,江苏,787,149,188,我们群里还有人说是苏州青剑湖花园，也是醉了,0,2020-02-06 19:36
https://weibo.cn//u/2472368413,陈味五杂,男,浙江,1223,66,589,回复@虫酱er:视频上也的确有点像俐源大道那个门。,0,2020-02-06 19:30
https://weibo.cn//u/3080770347,好菇凉光芒万丈vo,女,江苏,17,168,163,我朋友圈卖保险的都在发这个谣言,3,2020-02-06 19:17
https://weibo.cn//u/2305221300,混吃等死铁憨啤,男,江苏,4,324,94,回复@脸脸欧巴:你的爬,0,2020-02-06 19:15
https://weibo.cn//u/7192206267,我是叶粉,男,山西,168,98,10,为什么是75摄氏度？谁能告诉我？,0,2020-02-06 18:58
https://weibo.cn//u/7370239734,樱桃煎雪,女,上海,259,584,3,我爸在微信上看的 有时候微信真的是中年人造谣的地方,0,2020-02-06 18:54
https://weibo.cn//u/5787345996,虫酱er,女,江苏,1990,247,155,回复@老家在木楼:百家湖花园的大门的柱子比这高,0,2020-02-06 18:48
https://weibo.cn//u/3805568520,_慢热戚,女,安徽,1111,1403,404,回复@小毛驴还是要继续往前走:哈哈哈哈这个竟然谣言,0,2020-02-06 18:44
https://weibo.cn//lynn2307,小项小项天天向上上,女,安徽,538,141,128, 小七七,0,2020-02-06 18:43
https://weibo.cn//u/5105725948,狗纸家的牛奶火锅土豪蛋,女,江苏,486,373,188,回复@無怨無泪:句容的 我们小区,0,2020-02-06 18:39
https://weibo.cn//u/5880793206,z辄止,女,江苏,244,150,63,回复@霖呀霖呀霖:,0,2020-02-06 18:31
https://weibo.cn//u/6276925852,得二不能二,男,江苏,1755,880,208,回复@西门--佳人:？所以到底是哪的句容,0,2020-02-06 18:31
https://weibo.cn//u/1350960945,lao游,男,江苏,1382,980,309,回复@Unha2ppy:是不是你放的,4,2020-02-06 18:24
https://weibo.cn//u/1806721633,FannieYff,女,江苏,25776,670,1367,回复@就想发财的恋旧:不知道哪里,0,2020-02-06 18:13
https://weibo.cn//xiangyu111,社恐是终身成就,女,湖北,1253,96,61,75摄氏度？是不是打错了？,0,2020-02-06 18:11
https://weibo.cn//cyang90,時光旅人cy,男,江苏,904,613,167,南京口罩哪里买？,0,2020-02-06 18:10
https://weibo.cn//dasang,桑果果是蓝色小胖蟹,女,其他,6517,103,239,不传谣不信谣,0,2020-02-06 18:04
https://weibo.cn//u/1459100570,shuixin3000,男,江苏,24670,624,9855,转发微博,0,2020-02-06 18:01
https://weibo.cn//u/1984182537,能长能短能硬能软,男,江苏,5760,1210,964,图中有宁句地铁高架 ,0,2020-02-06 17:58
https://weibo.cn//u/6717731667,南柯不会马克思,男,江苏,2377,744,903,回复@西门--佳人:南京句容,0,2020-02-06 17:55
https://weibo.cn//u/1784114044,最后一只副肾素,男,其他,540,57,167,操他妈这都啥时候了还在传谣,0,2020-02-06 17:51
https://weibo.cn//u/5406365973,小小小小小天使啊,女,其他,1735,113,165,75°酒精，不是75℃酒精啦,1,2020-02-06 17:48
https://weibo.cn//207890316,云晕-朤燚叕茻,女,海外,4804,809,981,是75%酒精……,0,2020-02-06 17:45
https://weibo.cn//ZeroLynnieBlack,追逐梦想的愚者,女,广东,15730,223,197,75摄氏度的酒精？,0,2020-02-06 17:44
https://weibo.cn//u/3566662577,Brunosky,男,江苏,762,415,57,75℃酒精.......,0,2020-02-06 17:43
https://weibo.cn//u/6054007438,就想发财的恋旧,女,海外,8419,187,147,回复@FannieYff:这个又不是南京,0,2020-02-06 17:42
https://weibo.cn//u/1075349803,脸脸欧巴,女,江苏,1028,738,133, 你的湖,0,2020-02-06 17:42
https://weibo.cn//u/6088495779,拾月d太阳,男,江苏,562,55,423,卧槽，我还准备发到我亲戚群呢,0,2020-02-06 17:39
https://weibo.cn//u/6654338257,思考发笑,男,江苏,98,51,259,注意，这是个谣言！再注意，用酒精消毒的同时，注意防火！,0,2020-02-06 17:37
https://weibo.cn//u/2706963881,小小的葫芦子,男,湖南,2546,663,170,什么鸟儿都有，喜欢造谣的鸟儿很多,0,2020-02-06 17:35
https://weibo.cn//u/5872437358,老祥Dean,男,江苏,66,71,4, 外地牌照车辆允许进入南京吗,0,2020-02-06 17:28
https://weibo.cn//u/1636083570,yoga夏目晏,女,江苏,1425,651,167,这造谣的真厉害，服了,0,2020-02-06 17:28
https://weibo.cn//u/3863555522,不知道该起什么名字1111,男,海外,889,1227,246,回复@無怨無泪:是句容 http://t.cn/A6P3XgD8,0,2020-02-06 17:25
https://weibo.cn//u/3919453143,T社Air,男,上海,10,335,371,酒精别乱喷就行,0,2020-02-06 17:15
https://weibo.cn//u/2472368413,陈味五杂,男,浙江,1223,66,589,回复@流光-来了:好吧！谢谢你了！,0,2020-02-06 17:12
https://weibo.cn//u/5880793206,z辄止,女,江苏,244,150,63,回复@春夏到秋冬-:爸妈们现在可关心这些消息了,0,2020-02-06 17:10
https://weibo.cn//u/1361671647,巴巴洛奇,女,其他,24,55,185,在两个微信群看到了，说是酒精碰到明火。原来是谣言,0,2020-02-06 17:08
https://weibo.cn//u/5873546983,jdlsnh,女,海外,10708,366,236,这个时候还开玩笑，唯恐天下不乱,0,2020-02-06 17:07
https://weibo.cn//u/1988470791,流光-来了,男,江苏,65,306,94,回复@老家在木楼:负责任地说，肯定不是。,0,2020-02-06 17:05
