评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2611984912,InvisibleM3,女,江苏,2713,122,8,你们看的谣言是来自“江宁”吗,99,2020-02-08 08:05
https://weibo.cn//u/1795586115,撩起刘海我就是一条好汉,女,其他,280,284,361,感觉南京发布下面好像集结了南京爱听谣传谣的中老年人一样，平时说什么都不信，一到危言耸听的谣言各个传的比谁都狠。长脑子了吗？孝感病人怎么送过来？多大工程不知道？另外就算真的有部分病人要过来，政府想的不比你多？多少人因为防疫不当被免职了，当官的不比你还怕？麻烦你们长个脑子在家呆着就好,106,2020-02-08 10:09
https://weibo.cn//u/5117333346,限量版温柔Z,女,江苏,409,108,96,回复@辣么好的:孝感医疗设备和物资都严重不足,0,2020-02-10 19:01
https://weibo.cn//u/5117333346,限量版温柔Z,女,江苏,409,108,96,回复@辣么好的:已经过去的医疗队是去武汉，和孝感这边没关系。,0,2020-02-10 18:59
https://weibo.cn//u/5117333346,限量版温柔Z,女,江苏,409,108,96,回复@辣么好的:医护人员不够可以通过增派的方式在短期内解决，但是孝感当地的硬件设施肯定无法在短期内改善，可能足够符合条件的隔离场所都无法具备。,0,2020-02-10 18:57
https://weibo.cn//u/2664925325,辣么好的,女,江苏,37,160,26,回复@限量版温柔Z:一省包一市，是派遣医务人员去，在这杠什么呢，医疗队已经去了。不要再辩论这种已经是事实的事情了,0,2020-02-10 18:48
https://weibo.cn//u/2664925325,辣么好的,女,江苏,37,160,26,回复@限量版温柔Z:你以为空运病人，只是空乘需要防护嘛？天真,0,2020-02-10 18:46
https://weibo.cn//u/2664925325,辣么好的,女,江苏,37,160,26,回复@犯路痴的鸽子蛋:当然是空运难度大了，那要不然武汉的病人干嘛不空运到全国各地的医院，,0,2020-02-10 18:45
https://weibo.cn//u/5976489856,_泡芙请加双份芋泥,女,江苏,1003,1275,225,回复@阿约花园:不是说对接黄石了吗？,0,2020-02-10 15:23
https://weibo.cn//u/3190314921,非主流中国人2,男,江苏,227,326,176,不管是谁，不管出于什么目的，故意造谣罪该万死！！！,0,2020-02-10 12:32
https://weibo.cn//u/7326738600,滴水之恩575,女,其他,3,47,1,回复@撩起刘海我就是一条好汉:不要相互掐了，在病魔面前，人显得多么渺小和脆弱😭我只希望每一个人做好自身防护，如实汇报出行路线，不害人害己！祈祷援助医护人员平安归来！🙏🙏🙏,0,2020-02-10 11:40
https://weibo.cn//33a77,饭团糯米卷七七,女,江苏,9135,1076,1475,回复@InvisibleM3:江宁是指南京江宁的小汤山医院,0,2020-02-10 01:37
https://weibo.cn//u/7070139624,wuli乔yi,男,其他,261,107,32,回复@阿约花园:我家附近5院，听说了，我们不出们了,0,2020-02-10 01:02
https://weibo.cn//u/7070139624,wuli乔yi,男,其他,261,107,32,无锡也说有啊,0,2020-02-10 00:59
https://weibo.cn//u/7070139624,wuli乔yi,男,其他,261,107,32,回复@巴巴洛奇:我现在就不信辟谣的,0,2020-02-10 00:49
https://weibo.cn//u/7070139624,wuli乔yi,男,其他,261,107,32,回复@犯路痴的鸽子蛋:一半真一半假,0,2020-02-10 00:44
https://weibo.cn//u/2008167763,拉诺拉拉库,男,海外,50,104,82,回复@犯路痴的鸽子蛋:是该写清楚 自己写的不清不楚就别怪群众恐慌,0,2020-02-09 22:59
https://weibo.cn//u/5117333346,限量版温柔Z,女,江苏,409,108,96,回复@辣么好的:武汉小汤山很多施工设备和耗材都是江苏提供的。重新建一个是为了更好的隔离。你觉得把所有设备和耗材运到孝感和从孝感空运患者到江苏，哪个难度更大。至于空乘人员的隔离自然也会提前做好安全的防护。,0,2020-02-09 21:39
https://weibo.cn//u/5117333346,限量版温柔Z,女,江苏,409,108,96,回复@辣么好的:国家决定的，一省包一市。,0,2020-02-09 21:30
https://weibo.cn//u/3979693599,江南何HH,女,江苏,80,55,58,回复@阿约花园:官方都不辟谣了，看来是真的了,0,2020-02-09 20:25
