评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//240059766,listcj,女,海外,7928,483,1058,说实话，我宁愿有这个要求...在这种特殊的时候...,65,2020-02-08 11:30
https://weibo.cn//277553143,竹西佳处__,女,江苏,767,285,387,快公布今天确诊8个人的行踪轨迹……还有南京确诊小区后续数据需要更进上呀……,64,2020-02-08 11:54
https://weibo.cn//u/5342757482,憨憨本憨咯,男,其他,71,56,26,我觉得最先辟谣的应该是南京空投孝感同胞1000人。很多人在这以讹传讹。闹的人心惶惶。得把这个明示。,29,2020-02-08 11:31
https://weibo.cn//u/2230553062,四季奶萱,女,江苏,3231,135,4059,是不是因为各大地铁口有查身份证的呀,0,2020-02-16 11:20
https://weibo.cn//u/2806116101,木小易55,男,江苏,2027,549,563,回复@KATTToO:我，淮安盱眙的,0,2020-02-10 22:58
https://weibo.cn//u/1956138431,安洛熙WL,女,江苏,2222,785,505,电子身份证是否可以？,0,2020-02-10 07:58
https://weibo.cn//927lu,从此陌路不识君丶,女,江苏,294,985,105,建议带着，不然路上看见药店突然放口罩你都没法买，昨天就是的，悔不当初     举报             赞[0]         回复             2020-02-09 10:38:32 来自网页,0,2020-02-09 10:38
https://weibo.cn//u/1418050795,你是我的眼1984,男,江苏,5782,1431,638,回复@irene喵奶糕:这就是大漏洞啊,0,2020-02-09 10:29
https://weibo.cn//u/1418050795,你是我的眼1984,男,江苏,5782,1431,638,回复@暴走中的喵:那你只能请假带小孩了,0,2020-02-09 10:26
https://weibo.cn//u/1418050795,你是我的眼1984,男,江苏,5782,1431,638,回复@静静的日子静静的过:这个你放心，现在无物业管理的小区和地段已经分片的封了,0,2020-02-09 10:23
https://weibo.cn//u/1938859875,KATTToO,女,江苏,887,353,378,回复@木小易55:淮安的更要隔离一下了。。这几天发现的都是淮安回来的，淮安那个洗浴中心的真的。。。太可怕了,1,2020-02-09 08:05
https://weibo.cn//u/3175101962,是竹不是猪QAQ,女,江苏,156,438,241,回复@_斜风细雨不须归__:好的，我回复了才看到，hhh，你可以删了的,0,2020-02-09 01:05
https://weibo.cn//277553143,竹西佳处__,女,江苏,767,285,387,回复@是竹不是猪QAQ:你看下我留言的时间，以及公众号发布的时间再来说话。,0,2020-02-08 23:46
https://weibo.cn//u/3175101962,是竹不是猪QAQ,女,江苏,156,438,241,我妈妈今天还看了这个和我说……,0,2020-02-08 22:44
https://weibo.cn//u/6714734317,呜啦呼15329,女,江苏,189,314,41,回复@木小易55:翠萍东南和仙林新村都不让进,0,2020-02-08 20:05
https://weibo.cn//u/2236532063,罗杰帕克,男,湖北,218,100,226,这个有什么好辟谣的，就是不是疫情期间，公安也会查身份证，再说每一个公民携带身份证便于警察临检，不是公民义务？,0,2020-02-08 20:00
https://weibo.cn//u/7027162566,会者定离41110,男,其他,12,280,2,回复@是猫_28:刚刚通知了14号,0,2020-02-08 18:59
https://weibo.cn//u/1912801544,一兰若,女,江苏,2416,96,318,今天看视频，下关有的路封了，需要身份证才可通行,1,2020-02-08 18:30
https://weibo.cn//u/5493959699,烟花若灿,男,江苏,13,91,3,回复@草莓味的少女喵o:现在不行了，安徽身份证不能走高速进南京了,0,2020-02-08 18:21
https://weibo.cn//u/1946246331,F百万-川渝总督,男,四川,649,192,21447,南京还是不够严格；返程人员就应该强制在家隔离14天，或者不给进小区,0,2020-02-08 16:30
https://weibo.cn//u/1946246331,F百万-川渝总督,男,四川,649,192,21447,再继续延长复工不可以吗,0,2020-02-08 16:29
https://weibo.cn//u/2806116101,木小易55,男,江苏,2027,549,563,回复@追夢交通聯合:没用，打过了，街道下午给我的回复是按照江宁冠防办的文件，然而我在江宁区政府网站也没看到文件，愁人,0,2020-02-08 16:23
https://weibo.cn//ZMNewMediaJP,追夢交通聯合,男,海外,950,1045,7900,回复@木小易55:打12320吧,0,2020-02-08 16:21
https://weibo.cn//u/2806116101,木小易55,男,江苏,2027,549,563,回复@追夢交通聯合:拜托了你看看文件吧，朋友,0,2020-02-08 16:16
https://weibo.cn//ZMNewMediaJP,追夢交通聯合,男,海外,950,1045,7900,回复@木小易55:南京的6号文件发的 不管从哪来宁 必须隔离十四天 但是不让进小区可以打12345,1,2020-02-08 16:15
https://weibo.cn//ZMNewMediaJP,追夢交通聯合,男,海外,950,1045,7900,回复@bonheur2020:这说的是来自江宁 不是孝感,0,2020-02-08 16:13
https://weibo.cn//u/1551184722,今天是甜辣酱,女,海外,12008,2405,548,回复@暴走中的喵:和你老公分担工作会好很多，带小孩这方面我不懂,0,2020-02-08 14:56
https://weibo.cn//u/6031856371,CYQ请瘦,女,江苏,1141,958,238,今天坐高铁回来，地铁上人还好，公交车上除了司机，就俩乘客,0,2020-02-08 14:46
https://weibo.cn//u/2550966577,梦里花落花落梦里,男,江苏,150,195,59,小区不给租客进，到了南京被拒之门外，咋没人去解决？,3,2020-02-08 14:44
https://weibo.cn//u/3969086007,海王八先生,女,安徽,506,487,323,在南京南站坐高铁去合肥不需要隔离吧,0,2020-02-08 14:14
https://weibo.cn//u/1761866091,暴走中的喵,女,其他,1028,288,110,回复@今天是甜辣酱:有点焦虑，最主要是孩子小又没有人管，以前是阿姨来家里带或者托管班，现在非常时期，阿姨进不来小区，托管班不开，我好想去上班，带娃带的要发疯T﹏T,0,2020-02-08 14:01
https://weibo.cn//u/2383697040,曦曦cl,女,江苏,131,166,94,有这个要求反而好,0,2020-02-08 13:59
https://weibo.cn//u/2806116101,木小易55,男,江苏,2027,549,563,回复@宸太阳:南京发布说不需要，街道说要，一个县官，一个现管,0,2020-02-08 13:47
https://weibo.cn//u/2806116101,木小易55,男,江苏,2027,549,563,回复@桥在水上:顶,0,2020-02-08 13:46
https://weibo.cn//u/1761866091,暴走中的喵,女,其他,1028,288,110,回复@一劍無影2016:说得好像你很有脑子！孩子爸爸不在家，上下班时间谁给你去买口罩？孩子怎么办，以前假期都是托管班，或者请阿姨，现在带去上班？能不冷艳高贵吗？实际问题就是这样！,1,2020-02-08 13:45
https://weibo.cn//u/5310634790,汁浓,男,江苏,51,44,5647,造谣一张嘴，辟谣跑断腿。,0,2020-02-08 13:40
https://weibo.cn//u/2294882470,ImYingS,女,海外,2149,349,52,回复@謎谜江:图片评论 评论配图,0,2020-02-08 13:38
https://weibo.cn//u/1551184722,今天是甜辣酱,女,海外,12008,2405,548,回复@一劍無影2016:不要站在制高点指责别人，说不定人家也是第一次知道哪里有口罩卖，你告诉她路子是好意。但不要显得您好高贵，我们这些一开始就囤口罩的是不是也能叫您动动脑子不要在这段时间出门聚集买口罩呢,8,2020-02-08 13:34
https://weibo.cn//u/2260134801,F小姐的未知人生,女,江苏,140,372,471,回复@陈娇娇0121:抬杠啊,0,2020-02-08 13:28
https://weibo.cn//u/2806116101,木小易55,男,江苏,2027,549,563,回复@木小易55:我淮安的，而且我们县还没有病例，说真的不是要上班，我真的不想来南京,1,2020-02-08 13:20
https://weibo.cn//u/3789320750,冬三雪碧,男,海外,152,67,91,回复@吃吃吃不胖就好了:溧水区啊,0,2020-02-08 13:06
https://weibo.cn//u/2921408667,叶子2921408667,男,其他,203,179,25,回复@莫慬风:所以编造谣言的人，不用担心没人会信他们的。,0,2020-02-08 13:06
https://weibo.cn//u/2921408667,叶子2921408667,男,其他,203,179,25,回复@请叫我小辉辉丶:你这么聪明，你可以想一下，如果运人过来多费事，不如医生直接过去。缺物资，调过去，是运物资简单还是运人简单,0,2020-02-08 13:05
https://weibo.cn//206383888,一剑双雕2020,男,江苏,25,2270,2826,回复@暴走中的喵:百信药房每天上下午都有卖1元一只的，每人凭身份证购买3只，没有口罩是你的问题，要多动动脑子1!,1,2020-02-08 13:01
https://weibo.cn//u/6606794975,月半弯41983,男,其他,4,16,16,今天发布的好晚啊，焦急等待中,1,2020-02-08 13:01
https://weibo.cn//u/2929772545,小狮子家的小白,女,江苏,343,111,127,今天不发南京新增了嘛？,0,2020-02-08 12:58
https://weibo.cn//u/1701660077,章公好酒,男,江苏,426,83,234,身份证使用是有规定吧，有些法律底线不能越,1,2020-02-08 12:57
