评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5288627542,不想当非遒的软柿子,女,北京,0,37,9,延迟复工呀，成都那么多的人呀，1号线那么吓人啊,25,2020-01-30 10:42
https://weibo.cn//u/5318035751,兔飞飞要跟丞哥吃大五花,女,四川,4067,151,30,延期复工延期复工延期复工,12,2020-01-30 10:43
https://weibo.cn//u/3445963080,少城街道,男,四川,47259,322,920,网传“成都大邑两名高度疑似感染者私自离院不知去向”，辟谣：此消息不属实！,0,2020-01-30 16:09
https://weibo.cn//u/1764085404,不愿透露姓名的陈先森,男,四川,1024,288,119,回复@时海子初:对，而且买不到口罩,0,2020-01-30 14:49
https://weibo.cn//u/6867431226,流浪的113377,女,其他,48,49,30,延迟复工不发工资我都愿意呀,0,2020-01-30 14:26
https://weibo.cn//u/6867431226,流浪的113377,女,其他,48,49,30,我也要坐一号线真的怕了,0,2020-01-30 14:24
https://weibo.cn//u/2287490397,翛羽27,女,四川,348,558,335,延迟复工 太可怕了,0,2020-01-30 13:43
https://weibo.cn//u/2502129961,喜欢阿信的美少女啦,女,其他,91,269,287,请延迟复工吧，拿我们命去换经济吗，况且我觉得这几天我去上班可能就玩手机吧，没有任何实质性的工作,0,2020-01-30 13:32
https://weibo.cn//u/2387497360,米花糖爱兔兔,女,四川,277,168,51,延迟复工,0,2020-01-30 12:44
https://weibo.cn//u/5308254864,我要少吃肉多运动,女,湖北,1155,219,131,回复@张不shuang:我说的感染情况通报，只到市具体到哪个县不说，感染的人的行程轨迹也不说，还不开评论,0,2020-01-30 12:33
https://weibo.cn//u/5308254864,我要少吃肉多运动,女,湖北,1155,219,131,回复@张不shuang:真羡慕你们四川的，通报这么详细，还开评论，博主还回你们，看看我们云南的@云南发布 来出来走两步？,0,2020-01-30 12:28
https://weibo.cn//tongchenghui,微博同城,女,北京,38961,2388,1829655,Hi，我已将你的微博收录到新鲜事 ,0,2020-01-30 12:26
https://weibo.cn//u/3895731368,蚀蛊毒灵,男,其他,195,141,21,成都郫都区已经开始上班的我们,0,2020-01-30 12:12
https://weibo.cn//sichuantianfu,四川发布,男,四川,72655,393,6549164,回复@时海子初:您好，您的建议我们已提交相关部门，如有最新消息，我们会第一时间进行公布，谢谢理解！,0,2020-01-30 11:48
https://weibo.cn//u/6498471726,menime的非凡人生,男,广西,241,341,62,成都搞经济呢,0,2020-01-30 11:47
https://weibo.cn//u/2601972171,我的头好轻,女,四川,402,133,60,快点延期上班，我没有口罩，买不到买不到买不到，走路去吗，明天就初七了，快点吧，四川省一百多例了，每天都在增加，要实在不行我可以后面补回来🙃🙃,1,2020-01-30 11:40
https://weibo.cn//u/6039604028,火锅炒菜不要香菜,女,其他,4734,52,180,如果延迟，就快通知,1,2020-01-30 11:23
https://weibo.cn//u/2564516213,张煜焮-,女,四川,933,53,500,你们已经不可信了,1,2020-01-30 11:14
https://weibo.cn//u/7278718015,摄影家-戴洋,男,海外,90,83,29081,我相信四川能挺过去的,0,2020-01-30 10:54
https://weibo.cn//u/6359033718,张小乖天1996,男,四川,43,102,74,楼下的是我兄弟,0,2020-01-30 10:53
https://weibo.cn//u/5197771677,Gelinkheart,女,山西,1136,334,303,爆发传播期到底是真的还是假的,0,2020-01-30 10:52
https://weibo.cn//u/2213641334,笑颜若新,女,四川,1598,204,340,请问延迟复工么？即将坐高铁的我瑟瑟发抖,4,2020-01-30 10:49
https://weibo.cn//u/2882313152,惆怅的中国,男,四川,5,37,25,人家江西，人民日报凌晨四点就报道出来疫情详细情况，四川省和成都市到现在还没有，每天就是拖沓，中央台说了疫情就是政府最好的答卷，你们自己看着办吧。,1,2020-01-30 10:47
https://weibo.cn//u/6963333090,不做超级英雄做你的喵,女,海外,35,21,5,所以你什么时候延迟复工,5,2020-01-30 10:46
https://weibo.cn//u/1591633670,the-wENDy,女,四川,238,125,203,延迟复工 延迟复工 延迟复工 ！！！,6,2020-01-30 10:46
https://weibo.cn//u/5501500174,是西红柿呀呀,女,北京,241,929,171,不作为,0,2020-01-30 10:45
https://weibo.cn//grhnn,Gnn_icyna,女,其他,1060,498,1151,怎么还不发延迟复工通知呢，成都太多例了,9,2020-01-30 10:44
https://weibo.cn//u/3049480195,和乐乐乐铵根扫地,男,四川,113,139,101,请各位领导做好下周可能出现的疫情大规模扩散的应对准备，也祝各位社畜好运,5,2020-01-30 10:44
https://weibo.cn//u/5035162988,不要花椒多加辣,女,其他,118,5,443,想想等两天的一号线二号线 天府广场人民南路站 ,5,2020-01-30 10:43
https://weibo.cn//u/5318035751,兔飞飞要跟丞哥吃大五花,女,四川,4067,151,30,延期复工延期复工延期复工,12,2020-01-30 10:43
https://weibo.cn//u/5288627542,不想当非遒的软柿子,女,北京,0,37,9,延迟复工呀，成都那么多的人呀，1号线那么吓人啊,25,2020-01-30 10:42
