评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2493395203,绒绒喵喵mmm,女,四川,1453,413,506,这个方言辟谣我给满分,2,2020-02-07 21:40
https://weibo.cn//u/1613085334,柠檬Lemon喵星人,女,四川,2458,327,553,不是之前说的毛衣更不容易吸附病毒吗，因为表面不平整病毒更不容易保持结构之类的,3,2020-02-07 22:54
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1117,766,708, 举报 赞[0] 回复 2020-02-07 19:07:48 来自网页,0,2020-02-07 19:07
https://weibo.cn//u/1462437980,foresight2000,男,辽宁,2920,131,120,呵～,0,2020-03-31 23:49
https://weibo.cn//u/6205928996,Moi我在听,女,其他,276,24,6,之前专家不是还说毛茸茸的衣服不容易沾病毒吗,1,2020-02-08 17:57
https://weibo.cn//u/5579099798,浮生小姐姐,女,四川,289,42,25,不是对紫外线敏感吗…,0,2020-02-08 12:35
https://weibo.cn//u/6432963542,奈何83463,男,其他,9,76,60,回复@看见大熊了吗:封归封，有人拦，有条子还是可以进出。但是有些地方直接推土机用石头封，这个太过了吧。,0,2020-02-07 23:47
https://weibo.cn//u/2499852353,看见大熊了吗,女,四川,2,96,1251,回复@奈何83463:反正到处都封路了,0,2020-02-07 22:55
https://weibo.cn//u/1613085334,柠檬Lemon喵星人,女,四川,2458,327,553,不是之前说的毛衣更不容易吸附病毒吗，因为表面不平整病毒更不容易保持结构之类的,3,2020-02-07 22:54
https://weibo.cn//u/3895661917,阿狸只想拥抱桃子,女,四川,58,133,139,回复@不拖稿的勇者echo酱:想坐动车去成都，到不了我们这边火车站了,0,2020-02-07 22:11
https://weibo.cn//u/5659871163,妄做下楼者-,女,四川,1220,1157,588,回复@大艾小枚:我要是 也不是干吃,0,2020-02-07 21:47
https://weibo.cn//u/2493395203,绒绒喵喵mmm,女,四川,1453,413,506,这个方言辟谣我给满分,2,2020-02-07 21:40
https://weibo.cn//u/6432963542,奈何83463,男,其他,9,76,60,回复@看见大熊了吗:好像是未经批准不得擅自封路，万一是经过批准的呢。。。反正不是村民封的,0,2020-02-07 21:11
https://weibo.cn//u/2488014814,不拖稿的勇者echo酱,女,四川,131,157,102,回复@阿狸只想拥抱桃子:成都没有停吧,0,2020-02-07 20:55
https://weibo.cn//u/5611392388,大艾小枚,女,四川,1004,397,246,回复@妄做下楼者:我从小不吃葱姜蒜，这两天天天说让我吃大蒜去毒,0,2020-02-07 20:46
https://weibo.cn//u/5826168229,人生如逆旅我就是行人,女,四川,48,50,65,川叔,0,2020-02-07 20:22
https://weibo.cn//u/7153620402,baby活鱼62929,男,其他,10,17,1,晒太阳不是靠温度，而是紫外线～～～～,0,2020-02-07 19:55
https://weibo.cn//u/2499852353,看见大熊了吗,女,四川,2,96,1251,回复@奈何83463:我记到发了个通知 大概意思是只有国家才能封路 其他的不行,0,2020-02-07 19:55
https://weibo.cn//u/1214869774,成天搓泥巴,男,四川,444,72,70,算，但是非常时期上面也不会追究。,0,2020-02-07 19:54
https://weibo.cn//u/6268466287,四川省汉王山监狱,男,四川,9354,38,218, 不传谣，不信谣，不造谣[加油]。,0,2020-02-07 19:50
https://weibo.cn//u/6432963542,奈何83463,男,其他,9,76,60,我想问，四川乡道阻断算不算违法？,0,2020-02-07 19:42
https://weibo.cn//u/1655836665,IcedBrandy,男,四川,453,143,149,宅个j2……,0,2020-02-07 19:32
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1117,766,708,     举报             赞[0]         回复             2020-02-07 19:07:48 来自网页,0,2020-02-07 19:07
https://weibo.cn//u/5659871163,妄做下楼者-,女,四川,1220,1157,588,太好了 老一辈这两天紧到说大蒜防病毒 烦死人,0,2020-02-07 19:03
