评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6519432717,最闪耀的星zzt,女,安徽,14396,455,492,我都在群里看到视频了，没想到居然是假的,2,2020-02-07 20:01
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1117,766,708, 举报 赞[0] 回复 2020-02-07 20:02:17 来自网页,0,2020-02-07 20:02
https://weibo.cn//u/2714758301,葬沉浮之下,男,海外,1094,366,131,我佛了，什么谣都造，媒体还不管是否真实直接发布,2,2020-02-07 21:51
https://weibo.cn//u/3038940731,ztmyyh,女,四川,30,118,133,@Ayoozuu,0,2020-02-08 08:32
https://weibo.cn//u/5346698485,终极猜想者22135,男,四川,426,61,103,各地版本视频都有，传各地酒精大火爆炸视频的多假的。2.5日江苏句容维也纳花园D栋1楼门面（垃圾）房火灾也被利用传谣啦,0,2020-02-08 01:53
https://weibo.cn//u/5346698485,终极猜想者22135,男,四川,426,61,103,再传就全国各地的版本了,0,2020-02-08 01:42
https://weibo.cn//u/3478707405,会飞的猫銤,男,北京,4,2,24,为人民服务 这句话不是口号   该是你们政府用实际行动证明的时候来了  口罩 。口罩。口罩。 官老爷些 成都这么大个城市 就没有指定的药店卖口罩嘛,0,2020-02-07 22:18
https://weibo.cn//u/2714758301,葬沉浮之下,男,海外,1094,366,131,我佛了，什么谣都造，媒体还不管是否真实直接发布,2,2020-02-07 21:51
https://weibo.cn//u/6461166808,twinklebbm,女,四川,205,96,14,群里面又在传华侨城也是酒精引发的了,0,2020-02-07 21:25
https://weibo.cn//u/2564989105,惜凡sy,女,上海,987,49,154,那请问金都花园爆炸的原因是什么呢？辟谣的话用事实说话更让人信服吧🙋,2,2020-02-07 21:16
https://weibo.cn//suezyw,___starry__,女,海外,6336,419,436,请编谣言的人不要再烧成都人咯 这是我最近看的第几个辟谣烧成都人的咯,0,2020-02-07 20:31
https://weibo.cn//u/5893587637,大刚很刚,女,天津,258,68,198,我也在群里看到了，没想到是假的,0,2020-02-07 20:25
https://weibo.cn//u/5849470957,木南辞-xxn呢,女,四川,1946,96,55,阿川，家里的电表欠费了，但是依旧没有停电。谢谢,0,2020-02-07 20:07
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1117,766,708,     举报             赞[0]         回复             2020-02-07 20:02:17 来自网页,0,2020-02-07 20:02
https://weibo.cn//u/6519432717,最闪耀的星zzt,女,安徽,14396,455,492,我都在群里看到视频了，没想到居然是假的,2,2020-02-07 20:01
