评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2775919441,樱无了,女,其他,7179,413,1637,加油过去,1,2020-02-10 17:43
https://weibo.cn//531567566,王士春成都,男,四川,8275,889,1421,让爱传递到全球任何一个角落。,2,2020-02-10 12:50
https://weibo.cn//u/2100421723,乔默息,女,其他,116,153,324,加油！,1,2020-02-10 17:13
https://weibo.cn//u/1155281533,黑凤白翎,男,其他,232,137,27,武汉加油！中国加油！[加油][加油][加油],0,2020-02-10 22:39
https://weibo.cn//u/2969161235,_摇烛,女,四川,187,250,143,     举报             赞[0]         回复             2020-02-10 20:51:11 来自网页,0,2020-02-10 20:51
https://weibo.cn//u/1358893507,hjr小韩,女,四川,250,169,175,坚持到底，我们心在一起,0,2020-02-10 20:07
https://weibo.cn//u/1781031624,茜焱焱,女,其他,2401,250,416,加油！！！！一定会好的！！！！,0,2020-02-10 17:46
https://weibo.cn//u/2775919441,樱无了,女,其他,7179,413,1637,加油过去,1,2020-02-10 17:43
https://weibo.cn//u/2100421723,乔默息,女,其他,116,153,324,加油！,1,2020-02-10 17:13
https://weibo.cn//u/3995173652,-Abby小心意,女,四川,46,252,554,企业乱裁员，请问有什么好办法,0,2020-02-10 13:24
https://weibo.cn//u/1238946175,雲起筱风月淼,女,四川,13155,1024,206,[加油],0,2020-02-10 13:09
https://weibo.cn//u/5966166047,westlife园园,女,四川,167,103,98,武汉加油！中国加油！,1,2020-02-10 12:56
https://weibo.cn//531567566,王士春成都,男,四川,8275,889,1421,让爱传递到全球任何一个角落。,2,2020-02-10 12:50
https://weibo.cn//331340933,彩票老聂,男,四川,273873,174,424411,[最右]@成都市自媒体协会      举报             赞[0]         回复             2020-02-10 12:28:42 来自网页,0,2020-02-10 12:28
