评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6885914791,小胸曲奇_,女,其他,8830,724,33,造谣的憨批一天脑壳头想起爪子,0,2020-12-09 14:57
https://weibo.cn//u/2542169083,梦想就是这只肥鸟,男,四川,831,332,339,回复@一口老血吐在屏幕上:也不是不行，毕竟是川普嘛,0,2020-12-09 13:00
https://weibo.cn//u/6294564226,雅1028,女,其他,2,54,1,     举报             赞[0]         回复             2020-12-09 12:57:49 来自网页,0,2020-12-09 12:57
https://weibo.cn//u/7126607569,昵称百宝箱,男,其他,261,18,5,为啥一到我成都，各种流言满天飞,0,2020-12-09 12:20
https://weibo.cn//u/3510332030,一口老血吐在屏幕上,男,四川,90,135,52,咋啥谣言都有 怎么不说特朗普来了,3,2020-12-09 11:39
https://weibo.cn//u/7007888613,高笑点先森,男,四川,133,97,37,造这谣图个啥，不知道是能挣大钱还是能光宗耀祖。,3,2020-12-09 11:27
https://weibo.cn//u/5694316519,使命召唤V10,男,其他,1081,179,234,~希望我们成都平安无事,1,2020-12-09 11:17
https://weibo.cn//u/2490866310,MGS-雷电,男,四川,2744,232,183,造谣的就该抓了,2,2020-12-09 11:16
https://weibo.cn//u/5694316519,使命召唤V10,男,其他,1081,179,234,希望我们成都平安无事,1,2020-12-09 11:16
https://weibo.cn//whqtsg,武侯区图书馆,男,四川,2814,252,1444,特殊时期，谣言滋生和传播都非常快，请图粉们不信谣不传谣，一切以官方消息为准！,0,2020-12-09 11:14
