评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//damaobutu,秃半仙,男,四川,11970,160,470,为什么要编假的啊？图啥？,13,2020-12-08 14:22
https://weibo.cn//u/2434740260,Mirrors_ScV,女,四川,885,307,269,真的想不通编这些的人图啥啊,10,2020-12-08 14:26
https://weibo.cn//u/7471723785,白癜风蓝盒子,女,四川,958,320,6405,造谣的抓起来,4,2020-12-08 14:52
https://weibo.cn//xiaoyang530,stefanie1238,女,四川,3475,229,378,严惩造谣,0,2020-12-08 16:57
https://weibo.cn//u/7017855247,木子是加贝木木,女,四川,1212,596,588,造谣一张嘴辟谣跑断腿，这的是这种事情也来造谣就无语,0,2020-12-08 16:56
https://weibo.cn//u/5103177272,蓝贝贝Ling,女,四川,1401,247,180,这些人是唯恐天下不乱吗？,0,2020-12-08 16:25
https://weibo.cn//u/5694316519,使命召唤V10,男,其他,1081,179,234,~ ～实名举报成都市温江区发改田风局长疫情之前公然上报不实材料，除名革命烈士游栋梁同志，以权压法，践踏国家法律法规，不讲政治，多次违反政治纪律，组织纪律，群众纪律，工作纪律。望大家关注，,4,2020-12-08 15:17
https://weibo.cn//u/1408442840,鲁格鸡腿,男,四川,7804,221,225,非常时期造谣的可否加重处罚？,0,2020-12-08 15:12
https://weibo.cn//u/7471723785,白癜风蓝盒子,女,四川,958,320,6405,相信官方通报[加油],1,2020-12-08 14:53
https://weibo.cn//u/7471723785,白癜风蓝盒子,女,四川,958,320,6405,造谣的抓起来,4,2020-12-08 14:52
https://weibo.cn//u/1218830061,风之归尘1218830061,男,广东,7983,2692,1433,回复@Mirrors_ScV:制造恐慌,0,2020-12-08 14:51
https://weibo.cn//qclqygw,青春龙泉驿,女,四川,59035,1931,383889,辟谣！网传,0,2020-12-08 14:43
https://weibo.cn//u/1307264522,Lu-cy-J,女,四川,9302,311,538,不太懂这种图啥。。,0,2020-12-08 14:39
https://weibo.cn//jingyuxiao,包菜不吃菜,女,四川,552,212,225,吓到我了，我周天刚去了世豪,0,2020-12-08 14:34
https://weibo.cn//u/2633152737,吸凉盒,女,其他,2142,260,67,艹。我早上一眼看到的时候信了。瓜娃子些瞎造谣。,0,2020-12-08 14:33
https://weibo.cn//u/6228359499,磊子_Sir,男,四川,191,57,2871,不信谣，不传谣。,0,2020-12-08 14:31
https://weibo.cn//u/2750926003,PaulEcho,女,四川,5192,269,188,造谣的一天天唯恐天下不乱。,0,2020-12-08 14:30
https://weibo.cn//316074002,半世风语,女,四川,10263,388,121,造谣的一天天闲的，是不是需要来个派出所几日游     举报             赞[4]         回复             2020-12-08 14:27:35 来自网页,4,2020-12-08 14:27
https://weibo.cn//u/1895486957,祂的话,女,广东,1205,55,135,戴口罩，勤洗手（洗手超过20秒），不用脏手摸眼口鼻，不聚餐，如果聚餐一定使用公筷...,0,2020-12-08 14:26
https://weibo.cn//u/2434740260,Mirrors_ScV,女,四川,885,307,269,真的想不通编这些的人图啥啊,10,2020-12-08 14:26
https://weibo.cn//osic,自带泳圈儿,女,海外,11163,701,782,现在造谣的是咋想的 抓不到你,4,2020-12-08 14:24
https://weibo.cn//u/2049066565,山外楼_xs,女,四川,1806,210,250,无语，所以我就说杂七杂八消息看看就是了，等官方通知,0,2020-12-08 14:23
https://weibo.cn//u/2581670531,今天搬砖了没有,男,其他,535,119,78,造谣的咋不取个李泽言呢,0,2020-12-08 14:23
https://weibo.cn//damaobutu,秃半仙,男,四川,11970,160,470,为什么要编假的啊？图啥？,13,2020-12-08 14:22
https://weibo.cn//u/1944404711,T-兔小喵,女,四川,21384,568,649,造谣一张嘴辟谣跑断腿🙃,0,2020-12-08 14:21
https://weibo.cn//huyuan1204,HtotheY,女,四川,2166,361,100,这些消息到底是怎么来的？那些人没有确切消息怎么敢乱发！！,0,2020-12-08 14:21
https://weibo.cn//u/6509069121,如此安皓,女,四川,7,14,12,朋友圈已经爆了  这个假消息,0,2020-12-08 14:20
https://weibo.cn//u/5552141915,网拍你来吗,女,四川,213,121,20,想不通这些人传些这些干嘛,0,2020-12-08 14:19
https://weibo.cn//u/2878104984,迷藏素素,女,四川,12992,451,1067,以官方发布为准，不信谣不传谣,0,2020-12-08 14:18
