评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5150282338,瓜瓜与牛牛的八卦喵生,女,其他,3741,124,509,所以要报警啊,24,2020-03-29 22:19
https://weibo.cn//u/1676928193,TONYADNL,女,山东,19514,92,784,举报他啊,9,2020-03-29 22:34
https://weibo.cn//u/7339929482,KanemochiUsachan,女,其他,7068,160,6,牢饭热好了,9,2020-03-29 22:20
https://weibo.cn//577221656,今天你FGO咸鱼了么,男,湖南,5957,577,344,国资系统真的是要及时辟谣，有些都已经没法看了……//,0,2020-03-31 08:45
https://weibo.cn//u/5257537531,曲歌2745,男,北京,1708,301,130,回复@身骑白马卖豆腐:它甩了一堆儿鱼子。,1,2020-03-30 22:23
https://weibo.cn//u/5540013177,嵐筱箜,男,河南,164,163,65,@大漠鱼,0,2020-03-30 16:46
https://weibo.cn//ganganray,ganganray,男,上海,2217,379,360,最好的辟谣是紧跟国际市场继续降低汽柴油售价。//,0,2020-03-30 12:09
https://weibo.cn//u/7242007922,风-画扇,男,其他,183,215,102,回复@身骑白马卖豆腐:那是因为你无知和见识少呀,0,2020-03-30 11:10
https://weibo.cn//u/7242007922,风-画扇,男,其他,183,215,102,回复@身骑白马卖豆腐:能别扯淡吧，麻烦拿出大漠鱼微博泛华证据，没有就是信口雌黄,0,2020-03-30 11:06
https://weibo.cn//578214400,身骑白马卖豆腐,男,澳门,2697,444,202,回复@照亮不了现实的梦:新X财经起头，大X鱼微博带节奏，因为他粉丝恨国蛆占多数,0,2020-03-30 11:05
https://weibo.cn//578214400,身骑白马卖豆腐,男,澳门,2697,444,202,回复@蓝色风之内内喊喊:新浪财经跟大漠鱼都不是什么好东西,0,2020-03-30 11:02
https://weibo.cn//578214400,身骑白马卖豆腐,男,澳门,2697,444,202,回复@风-画扇:我也没见你爹大漠鱼标明了出处是新浪啊,0,2020-03-30 11:01
https://weibo.cn//578214400,身骑白马卖豆腐,男,澳门,2697,444,202,回复@法门隐士2020:你看他微博底下都在带些什么节奏就懂了，现在出了事他就知道戴红领巾,0,2020-03-30 10:59
https://weibo.cn//578214400,身骑白马卖豆腐,男,澳门,2697,444,202,回复@风-画扇:出事就挂上红领巾呗,0,2020-03-30 10:58
https://weibo.cn//u/7242007922,风-画扇,男,其他,183,215,102,回复@身骑白马卖豆腐:就事论事怎么还要扣泛华帽子？微博里也没看到他有什么明确反对中国的言论啊,1,2020-03-30 10:56
https://weibo.cn//u/7242007922,风-画扇,男,其他,183,215,102,回复@黑索今:你要问问这件事所谓谣言，出处就是新浪的，你说怎么个封法,0,2020-03-30 10:49
https://weibo.cn//578214400,身骑白马卖豆腐,男,澳门,2697,444,202,回复@曲歌2745:他底下都带着一帮什么人,0,2020-03-30 10:38
https://weibo.cn//578214400,身骑白马卖豆腐,男,澳门,2697,444,202,大漠鱼这个反华的号怎么还没死？整天在微博造谣，底下一群带节奏的走狗,0,2020-03-30 10:36
https://weibo.cn//u/2349814023,草莓小沅,男,海外,6169,127,286,这是冲着进口俄罗斯石油来的,0,2020-03-30 08:55
https://weibo.cn//u/3908284474,秋夜临,男,黑龙江,124,87,53,造谣一张嘴，辟谣跑断腿,1,2020-03-30 06:53
https://weibo.cn//u/1154857660,喵-大咖,男,黑龙江,1486,183,1248,有爽哥味了,0,2020-03-30 03:01
https://weibo.cn//u/2529306501,秦熠文,男,陕西,299,121,514,这TM天天哪来的这么多牛鬼蛇神,0,2020-03-30 02:28
https://weibo.cn//u/1892171641,满山遍野的菊花开了,男,其他,78,287,150,回复@国资小新:这种确确实实造谣的一定要抓起来判刑，不能和稀泥，老是手软脚软反受其害。,1,2020-03-30 00:05
https://weibo.cn//yaveboy,是露小拉吖,女,其他,1750,568,2955,请不要无中生有、暗度陈仓，凭空捏造。//,0,2020-03-30 00:02
https://weibo.cn//u/6446051956,恢恢868,男,河北,1,11,3,回复@国资小新:还要追加起诉，网络不是法外之地，每个人都要为自己的言行负责，希望成为一个法律规范言行的经典案例。,1,2020-03-30 00:01
https://weibo.cn//u/5150282338,瓜瓜与牛牛的八卦喵生,女,其他,3741,124,509,回复@国资小新:,0,2020-03-29 23:42
https://weibo.cn//u/2658265311,寒笙小楼吹,男,重庆,1577,370,287, 准备吃牢饭吧，垃圾。,1,2020-03-29 23:36
https://weibo.cn//u/6274286510,四次元etc,男,广东,663,141,323,这个号谣言很多，这种人应该抓出来示众，调查清楚是什么样的人，天天制造矛盾。。,2,2020-03-29 23:26
https://weibo.cn//u/5618861223,是小姐姐太迷人了,男,四川,0,68,60,报警没用，建议直接上法院，这种人冾流量，带节奏的，,1,2020-03-29 23:21
https://weibo.cn//u/1676928193,TONYADNL,女,山东,19514,92,784,回复@国资小新:,0,2020-03-29 23:19
https://weibo.cn//u/6353143897,metlife101,男,天津,16,153,33,每个说法吗？这么大的事，肯定有一个是假的,1,2020-03-29 23:13
https://weibo.cn//u/3031661474,追影渐殇,男,广东,430,205,190,微博自媒体该管管了，为了流量造谣的多了去了,1,2020-03-29 23:06
https://weibo.cn//524023407,湘微笑8,男,湖南,34610,713,1630,//,0,2020-03-29 23:04
https://weibo.cn//guozixiaoxin,国资小新,男,北京,38650,863,5739215,回复@TONYADNL:已报警、举报,0,2020-03-29 23:02
https://weibo.cn//guozixiaoxin,国资小新,男,北京,38650,863,5739215,回复@瓜公公与牛公公:已经报警了,6,2020-03-29 23:01
https://weibo.cn//u/5904515696,好烦啊全场最佳又是我,男,山东,1769,563,225,有人要暗度陈仓？,1,2020-03-29 22:50
https://weibo.cn//u/7148042380,想那些干什么200104,男,湖南,8939,958,144,造谣吗？该抓抓啊,0,2020-03-29 22:48
https://weibo.cn//u/1916076060,对酒当歌2098,男,上海,4403,113,1034,把主要中俄石油条款亮出来不就完了,0,2020-03-29 22:39
https://weibo.cn//u/1739854601,hutings,女,北京,2938,1317,150,现在微博公众号造谣太厉害了！网络不是法外之地，必须抵制造谣传谣信谣。,1,2020-03-29 22:39
https://weibo.cn//u/6887084047,Na宝的探险时光,男,海外,1525,818,453,无言无语无可捏造？,0,2020-03-29 22:37
https://weibo.cn//u/5744235869,黑索今,女,江西,199,116,129,   这种造谣都不封？,0,2020-03-29 22:35
https://weibo.cn//u/1676928193,TONYADNL,女,山东,19514,92,784,举报他啊,9,2020-03-29 22:34
https://weibo.cn//u/2980307021,报告大王emmm,男,河南,598,193,124,这么便宜为啥不买？,3,2020-03-29 22:25
https://weibo.cn//u/6777846149,法门隐士2020,男,北京,568,279,70, 这样的不封号为毛？,1,2020-03-29 22:25
