评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6147164852,中国建筑,男,北京,1974,327,74587,我们施工质量先行！争分夺秒！请大家放心！,31,2020-01-26 13:20
https://weibo.cn//u/5654963891,橙子还不是橙汁,男,其他,49,161,42,真的是造谣一张嘴,15,2020-01-26 13:20
https://weibo.cn//u/1740531807,幽怨的深海人鱼,女,广东,42435,2576,2623,這個時候造這種謠真的是髒心爛肺了,10,2020-01-26 13:25
https://weibo.cn//u/1763064562,困困困困不住我,女,湖北,744,867,317,辟谣[加油],0,2020-01-26 19:24
https://weibo.cn//271833005,红领巾sl,男,北京,93964,12211,1955354, ,0,2020-01-26 16:37
https://weibo.cn//u/6039525985,千里登高望,男,江苏,1023,86,117,造谣的人抓几个再说。妈的，妖言惑众。,1,2020-01-26 16:28
https://weibo.cn//u/1154857660,喵-大咖,男,黑龙江,1486,183,1248, 让正能量发声——一起加油，打赢这场没有硝烟的战争,1,2020-01-26 14:45
https://weibo.cn//u/6089130351,传统咖啡板蓝根,男,广东,1402,75,137,我认为一级响应要加入媒体管制的内容,0,2020-01-26 14:24
https://weibo.cn//u/6178310910,盛夏光草籽,女,上海,469,499,34,新京报的造谣视频那么多人传播，这个专业辟谣却这么少人转发,8,2020-01-26 14:05
https://weibo.cn//u/2122365353,张日龙在熬鷄汤,男,其他,189,430,758,居然有人要对医院造谣了。。。。。,2,2020-01-26 14:04
https://weibo.cn//u/1770194490,素髻懒妆也风流,女,安徽,152,76,95,造谣一张嘴，辟谣跑断腿，哎,3,2020-01-26 13:48
https://weibo.cn//u/3121689577,_请叫我老徐,女,上海,1104,787,276,这个时候还在造谣传谣的人真是其心可诛,4,2020-01-26 13:44
https://weibo.cn//u/7331590703,Loverainmaker0,男,浙江,648,149,129,造谣司马,2,2020-01-26 13:33
https://weibo.cn//u/1740531807,幽怨的深海人鱼,女,广东,42435,2576,2623,這個時候造這種謠真的是髒心爛肺了,10,2020-01-26 13:25
https://weibo.cn//u/5654963891,橙子还不是橙汁,男,其他,49,161,42,真的是造谣一张嘴,15,2020-01-26 13:20
https://weibo.cn//u/2874211303,兔子小校,男,北京,16236,1889,365,转发微博,0,2020-01-26 13:20
https://weibo.cn//u/6147164852,中国建筑,男,北京,1974,327,74587,我们施工质量先行！争分夺秒！请大家放心！,31,2020-01-26 13:20
https://weibo.cn//2bnumber1,俺要康康,女,辽宁,12238,494,337,造谣的太坏了,1,2020-01-26 13:17
