评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6537408376,栗子壳里的小宇宙,女,黑龙江,1242,145,48,好快啊,0,2020-04-16 15:53
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314, 举报 赞[1] 回复 2020-04-16 20:27:49 来自网页,1,2020-04-16 20:27
https://weibo.cn//xihesf,陇南西和司法,男,甘肃,32876,998,15063, 举报 赞[0] 回复 2020-04-16 17:21:19 来自网页,0,2020-04-16 17:21
https://weibo.cn//u/2060024533,一生挚爱情,男,河南,35,144,128,回复@c七堇年华:现在再看看封了没,0,2020-05-29 14:19
https://weibo.cn//u/1967477252,c七堇年华,女,黑龙江,7,127,88,就说你傻不傻吧，什么都敢瞎说,0,2020-04-19 22:48
https://weibo.cn//u/5340834901,网信大厂,男,河北,1975,67,106,大庆4月17号封城系谣言！造谣者被依法拘留,0,2020-04-17 09:16
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314,     举报             赞[1]         回复             2020-04-16 20:27:49 来自网页,1,2020-04-16 20:27
https://weibo.cn//u/3876342106,大庆市中级人民法院,男,黑龙江,81872,408,64192,     举报             赞[0]         回复             2020-04-16 20:27:35 来自网页,0,2020-04-16 20:27
https://weibo.cn//u/3342009022,胡歌你找到老婆了吗,女,上海,746,394,26,。。。。。这造谣她有啥好处么,0,2020-04-16 18:09
https://weibo.cn//u/5036270767,梅河口记录者,女,吉林,15775,520,27770,     举报             赞[0]         回复             2020-04-16 18:00:31 来自网页,0,2020-04-16 18:00
https://weibo.cn//xihesf,陇南西和司法,男,甘肃,32876,998,15063,     举报             赞[0]         回复             2020-04-16 17:21:19 来自网页,0,2020-04-16 17:21
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,大庆4月17号封城系谣言！造谣者被依法拘留,0,2020-04-16 17:20
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@栗子壳里的小宇宙:,0,2020-04-16 16:43
https://weibo.cn//u/6537408376,栗子壳里的小宇宙,女,黑龙江,1242,145,48,好快啊,0,2020-04-16 15:53
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,     举报             赞[1]         回复             2020-04-16 15:14:48 来自网页,1,2020-04-16 15:14
https://weibo.cn//u/6505901464,潍坊高新检察,男,山东,24261,434,8767,     举报             赞[1]         回复             2020-04-16 10:59:32 来自网页,1,2020-04-16 10:59
