评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5733547537,迷妹的日常lqq,女,黑龙江,2542,409,189,以后大概是做不成朋友了吧，这个时候开玩笑真的很过分,74,2020-01-25 12:55
https://weibo.cn//u/1715739162,che车v,女,黑龙江,3624,147,636,开这种玩笑过分了吧,31,2020-01-25 15:41
https://weibo.cn//u/2552889473,Janny-S,女,甘肃,250,252,395,特殊时期，这种谣言造成社会恐慌，应该依法追究法律责任，绝不姑息！,10,2020-01-25 16:01
https://weibo.cn//u/6150803216,0雪祭东风0,男,其他,0,6,2,请问怎么举报卖假口罩的？,0,2020-02-06 17:51
https://weibo.cn//wanlfdx,叹息森林,男,黑龙江,667,171,231,回复@大庆网警巡查执法:看到了，感谢您的回复，我为我的不当言论道歉。,0,2020-01-30 16:32
https://weibo.cn//u/6786872627,晏晏晏戈,女,黑龙江,5,114,2,开这种玩笑的，是憨批吗？,0,2020-01-28 14:33
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@叹息森林:请您仔细看下我们发的微博,0,2020-01-28 13:44
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@叹息森林:http://t.cn/A6PtRZVn,0,2020-01-28 13:43
https://weibo.cn//u/5243726926,糖糖小主的辣额娘,女,黑龙江,333,446,113,拿命开玩笑，还不够乱吗,0,2020-01-28 13:16
https://weibo.cn//wanlfdx,叹息森林,男,黑龙江,667,171,231,散布谣言道歉就完了？ 罚款加拘留呢？你们这个处罚力度就是告诉大家造谣没成本，警察没有威慑力。,0,2020-01-28 13:12
https://weibo.cn//u/6972544686,倾宴宴宴宴,女,黑龙江,126,17,7,回复@che车v:重点是有人信啊，我家群里婶婶还发了,0,2020-01-28 09:12
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@图图22720:12315投诉,0,2020-01-28 08:18
https://weibo.cn//u/6600051765,护土小王,女,其他,11,60,6,查查朋友圈哄抬物价的，口罩90的敢卖45,1,2020-01-27 22:39
https://weibo.cn//u/2946253425,DolphinWBSM,男,其他,432,504,359,纯沙币,0,2020-01-27 00:01
https://weibo.cn//u/5554063471,Tomsong03,男,海外,10,30,13,为什么不给造谣这人抓起来？,0,2020-01-26 12:51
https://weibo.cn//u/6484196543,Y佘南,男,其他,3,86,4,回复@大庆网警巡查执法:谢谢,0,2020-01-26 12:33
https://weibo.cn//u/5327225308,你宝贝丢了,女,黑龙江,101,373,58,这很过分了,0,2020-01-26 12:21
https://weibo.cn//u/1456904517,我的诺兰德,男,北京,27,64,31,大庆官方发布平台是什么?找不到确切消息,0,2020-01-26 10:33
https://weibo.cn//u/5365808373,无名小小足,男,安徽,68,529,313,吃饱了撑得,0,2020-01-26 10:29
https://weibo.cn//u/1133221172,鄙野幽人,男,四川,300,393,144,以身试法，挑战法律吗？,0,2020-01-26 10:28
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@SQ佘南:没有的，只是建议不聚餐，少去人多的公共场所，有些场馆的确关闭了，看看政府发布的消息最真实,0,2020-01-26 06:59
https://weibo.cn//u/6484196543,Y佘南,男,其他,3,86,4,大庆现在有规定说不让出门吗？我听很多人都在传,1,2020-01-26 02:44
https://weibo.cn//u/3243757400,安徽商贸学院警务室,男,安徽,132675,2825,20570,晚安！新年快乐～,0,2020-01-25 22:21
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,大庆市大同区一人携带新型冠状病毒潜逃，谣言！,0,2020-01-25 21:16
https://weibo.cn//u/2310149174,相互敬重,男,江西,14047,3694,992,这种造谣惑众者应该刑拘在里面蹲上至少15天。,0,2020-01-25 18:28
https://weibo.cn//u/5848521589,Suri_Ssy,女,北京,40,286,338,长了嘴就知道叭叭,0,2020-01-25 17:23
https://weibo.cn//u/5393291766,圆圆肚子_,女,陕西,221,267,259,脑子有病吧我真服了,0,2020-01-25 16:05
https://weibo.cn//u/2864976995,Anthony_Wells,男,广东,321,223,171,说实话，这个时候如果谁确诊是新型冠状病毒患者，哪怕有三头六臂也逃不出来，早就被严密隔离,0,2020-01-25 16:02
https://weibo.cn//u/2552889473,Janny-S,女,甘肃,250,252,395,特殊时期，这种谣言造成社会恐慌，应该依法追究法律责任，绝不姑息！,10,2020-01-25 16:01
https://weibo.cn//u/1715739162,che车v,女,黑龙江,3624,147,636,开这种玩笑过分了吧,31,2020-01-25 15:41
https://weibo.cn//u/6639617160,AB赐德,男,湖南,6197,318,208,必须严惩不贷。,0,2020-01-25 15:12
https://weibo.cn//u/1920901005,游仙公安,男,四川,22095,572,21224,     举报             赞[0]         回复             2020-01-25 14:59:14 来自网页,0,2020-01-25 14:59
https://weibo.cn//u/2891010405,大乐小姐你好吗,女,黑龙江,461,446,194,@Abcdefish_,0,2020-01-25 14:32
https://weibo.cn//u/1776278150,漩涡里的稻草,男,浙江,6486,449,253,要以法律的威严打击造谣者，不然谣言会越来越多，越来越离谱！,4,2020-01-25 14:30
