评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6236416780,漂泊的鱼0505,男,黑龙江,333,150,21,真是在家里太安逸了，不理解前线辛苦的医生护士和痛苦的患者，从内心深处的悔悟才有教育意义，网警辛苦了,2,2020-01-30 06:56
https://weibo.cn//u/1101668204,毕宪刚,男,黑龙江,460,44,110,别放出来了！,8,2020-01-28 19:42
https://weibo.cn//u/7263504155,LurKersl168,男,黑龙江,5,19,1,机动车检测站几号上班啊,0,2020-02-11 14:01
https://weibo.cn//u/7054299177,铁盒子4587,男,黑龙江,38,120,12,这种谣言浪费了多少公共资源？耽误了多少真正需要救助的人应该以危害公共安全罪论,1,2020-02-01 13:29
https://weibo.cn//u/6530892235,A稀饭老窝,男,其他,2,169,16,老女人,0,2020-02-01 13:11
https://weibo.cn//u/7381330936,阿冰在努力v,女,黑龙江,19,89,4,啥心理啊这是,0,2020-02-01 12:50
https://weibo.cn//u/1743448077,养只小眼睛的齐齐哈尔小崔老师,女,黑龙江,4993,192,287,我家楼下红喜超市，卖三无口罩，40一包，一包10个。就是那种蓝色一拉就破的。薄口罩。,0,2020-02-01 12:49
https://weibo.cn//u/2370099457,安然安心的安然后的然淼淼,女,黑龙江,1896,667,104442,随意传播确诊人员的所有详细信息。 患者身份证电话 家人电话。单位。门牌号码。 小区。车牌。 以及家人的电话学校还有住址。  单位。 算不算违法行为。   虽然跟我个人和家人没有关系。 但是我看到了这样的事。,0,2020-02-01 12:48
https://weibo.cn//u/6118788527,小灰的蝴蝶,女,黑龙江,480,88,40,不给别人添麻烦是美德！,0,2020-01-31 15:33
https://weibo.cn//u/5431015380,黄U绿V红W,男,海外,559,983,401,造谣的什么变态心里？有人研究这种病吗？,0,2020-01-31 09:03
https://weibo.cn//u/2619046531,小樱桃的白菜君,男,黑龙江,121,421,318,说疫情不会人传人，可防可控的那个最大造谣者抓不抓啊,1,2020-01-31 04:23
https://weibo.cn//u/6222509252,L-y-南北,女,其他,121,65,147,活该,0,2020-01-30 22:47
https://weibo.cn//u/5624158991,男银要有风度,男,黑龙江,1585,693,141,@melody窝,0,2020-01-30 21:05
https://weibo.cn//u/3844411026,_DOVIS_,女,海外,2,220,339,赐一卷胶带封嘴！,0,2020-01-30 17:13
https://weibo.cn//u/7054484886,渝情不了,男,四川,6529,849,1513,我觉得对这种人不需要打码//,1,2020-01-30 15:24
https://weibo.cn//u/5590617648,Liu先生你好,男,黑龙江,211,91,212,请给她枪毙,1,2020-01-30 10:32
https://weibo.cn//u/2146505684,兔小晶宝,女,湖北,508,572,259,     举报             赞[0]         回复             2020-01-30 08:11:03 来自网页,0,2020-01-30 08:11
https://weibo.cn//u/6236416780,漂泊的鱼0505,男,黑龙江,333,150,21,真是在家里太安逸了，不理解前线辛苦的医生护士和痛苦的患者，从内心深处的悔悟才有教育意义，网警辛苦了,2,2020-01-30 06:56
https://weibo.cn//u/3208370435,甘拜夏锋369,男,山东,310,99,330,有必要给他打上马赛克吗？,0,2020-01-30 01:13
https://weibo.cn//u/5517284828,小柳嘻嘻嘻嘻嘻,女,澳门,106,38,17,希望制止谣言哦 并且也希望大庆有病情的也早点播报!,0,2020-01-29 22:22
https://weibo.cn//u/6019540885,长大要挣很多钱,女,黑龙江,2349,866,102,特殊时期还顶风作案，估计是想进局子里躲一躲吧,0,2020-01-29 20:49
https://weibo.cn//u/6135125743,国土防卫,男,安徽,249,117,435,嘴缝上吧,4,2020-01-29 19:10
https://weibo.cn//u/2473543241,想飞张翅膀,男,黑龙江,375,262,99,我还真没看到过这条谣言,0,2020-01-29 18:17
https://weibo.cn//u/3202551462,山西老醯,女,香港,6,1017,2066,说的还挺利索     举报             赞[0]         回复             2020-01-29 17:47:11 来自网页,0,2020-01-29 17:47
https://weibo.cn//u/2703514225,so-perplexed,男,海南,484,440,161,网络从来不是法外之地,0,2020-01-29 17:14
https://weibo.cn//u/5241046552,XioXioEr,女,四川,43,223,287,神经病,0,2020-01-29 15:32
https://weibo.cn//u/5341323442,LN1213,女,其他,2181,24,158,是不是脑子有坑,0,2020-01-29 11:26
https://weibo.cn//u/3196607855,蒸蛋可了,女,其他,4740,166,264,祸从口出,1,2020-01-29 11:24
https://weibo.cn//u/3757297404,清尘寂迹,女,黑龙江,219,94,87,过年在家出不去吃太多了吧╯﹏╰脑子都吃坏了！,2,2020-01-29 08:25
https://weibo.cn//u/2720952767,南波湾吃榴莲,女,其他,4336,2778,125,就应该这样,0,2020-01-29 04:52
https://weibo.cn//fantasy0305,反应不过来了差点就,男,北京,2936,291,405,有毛病，开除吧,7,2020-01-29 04:10
https://weibo.cn//u/1993639177,蜗牛hii,男,江苏,35,153,151,嘴欠，掌嘴,2,2020-01-29 01:34
https://weibo.cn//rubysd,来一杯莓莓酸奶不加椰果半糖谢谢,女,山东,7386,677,441, 还喇嘛甸的,0,2020-01-29 01:10
https://weibo.cn//u/1101668204,毕宪刚,男,黑龙江,460,44,110,别放出来了！,8,2020-01-28 19:42
