评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5276177709,xy8516,男,其他,4,179,5, 现在还有很多娱乐场所在营业,0,2020-01-30 18:44
https://weibo.cn//u/1715739162,che车v,女,黑龙江,3624,147,636,不信谣，不传谣，不造谣,0,2020-02-06 14:26
https://weibo.cn//u/1715739162,che车v,女,黑龙江,3624,147,636,不信谣，不传谣，不造谣,0,2020-02-06 14:26
https://weibo.cn//u/7034800201,老石是老师,男,黑龙江,1,135,3,不传谣，不信谣,0,2020-01-31 12:53
https://weibo.cn//u/1793924725,玲子09,女,黑龙江,1430,58,350,别再添乱了🙏,0,2020-01-31 11:05
https://weibo.cn//u/5542554608,哈佛bao,男,其他,87,56,31,神经病,0,2020-01-31 10:28
https://weibo.cn//u/2145333991,间歇性时间停止,男,黑龙江,374,603,148,是不截图举报就可以啊？,0,2020-01-31 00:38
https://weibo.cn//u/2761727747,爱打烊了的小窝,女,黑龙江,3241,495,228,回复@ttanda:你还想咋地,0,2020-01-30 22:39
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@xy8516:私信具体情况,0,2020-01-30 18:59
https://weibo.cn//u/5276177709,xy8516,男,其他,4,179,5, 现在还有很多娱乐场所在营业,0,2020-01-30 18:44
https://weibo.cn//u/5642577179,YEEEmx,男,黑龙江,943,115,335,大庆这都抓几个了     举报             赞[0]         回复             2020-01-30 17:27:01 来自网页,0,2020-01-30 17:27
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@BigChelseaFans:造谣必惩处,0,2020-01-30 12:03
