评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5847561141,Mnnqn,女,黑龙江,217,126,80,不信谣不传谣！,3,2020-01-28 15:03
https://weibo.cn//u/5642577179,YEEEmx,男,黑龙江,943,115,335,传谣的转发过万，辟谣的没几个,2,2020-01-28 18:22
https://weibo.cn//u/5570229814,伊吹航改二,男,其他,15827,224,277,回复@BigChelseaFans:那就不信🎱,0,2020-02-01 16:21
https://weibo.cn//u/1010636870,时尚ss空间,女,北京,5817,45,354,这也叫谣言？,0,2020-01-30 21:46
https://weibo.cn//frostmournhunger,拓跋夙夜,男,广东,1998,481,459,知道怕了。,0,2020-01-29 12:00
https://weibo.cn//u/2358607575,戎武人生,男,黑龙江,6399,47,9941,谣不可及！痛打窑妹！祸乱人心者重罚！,0,2020-01-29 10:35
https://weibo.cn//u/3243757400,安徽商贸学院警务室,男,安徽,132675,2825,20570,早上好！,0,2020-01-29 08:08
https://weibo.cn//u/6611164713,万一596,女,西藏,950,168,61,老实呆着得了，不出力还瞎叭叭。,0,2020-01-28 19:08
https://weibo.cn//u/2854388175,江南-江南style,男,黑龙江,3591,185,418,好好响应国家号召，就别添乱了，出不了力就好好看着,0,2020-01-28 18:33
https://weibo.cn//wbxnbk,江门事儿,女,广东,1368,521,11233,     举报             赞[0]         回复             2020-01-28 18:24:34 来自网页,0,2020-01-28 18:24
https://weibo.cn//u/5642577179,YEEEmx,男,黑龙江,943,115,335,传谣的转发过万，辟谣的没几个,2,2020-01-28 18:22
https://weibo.cn//tseyu,_吉光羽_,女,黑龙江,72408,821,1156,有病吧好玩吗这种人,1,2020-01-28 17:27
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@NI小娜小怪兽:棒棒哒，手动给你个赞,0,2020-01-28 15:05
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@BigChelseaFans:共同抵抗病毒，抵制谣言！,0,2020-01-28 15:05
https://weibo.cn//u/5847561141,Mnnqn,女,黑龙江,217,126,80,不信谣不传谣！,3,2020-01-28 15:03
