评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5515472799,Lucky111孙,女,江苏,67,121,53,大庆能不能公布确诊的具体区和小区，以及接触人群，越明确也不会有这么多人信传谣了,3,2020-02-04 11:59
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314, 举报 赞[0] 回复 2020-02-04 16:55:34 来自网页,0,2020-02-04 16:55
https://weibo.cn//u/5544859617,Hzy-uann,男,其他,86,480,163,我求求了限号，必须做班车是觉得大庆感染人数不够多吗,0,2020-02-05 09:02
https://weibo.cn//u/5700693641,关爱咨询狗人人有责,男,澳门,43,73,18,微信上看到视频，说不知道限行，违反了罚款1500，不知道是不是真的,0,2020-02-05 13:17
https://weibo.cn//u/5544859617,Hzy-uann,男,其他,86,480,163,我求求了限号，必须做班车是觉得大庆感染人数不够多吗,0,2020-02-05 09:02
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314,     举报             赞[0]         回复             2020-02-04 16:55:34 来自网页,0,2020-02-04 16:55
https://weibo.cn//u/6091041572,海边的风采,男,辽宁,1786,133,268,回复@大庆网警巡查执法:各司其责，终究有一个媒体会给市民一个交代，给你们点赞,0,2020-02-04 13:46
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@海边的风采:棒棒哒,0,2020-02-04 13:32
https://weibo.cn//u/5515472799,Lucky111孙,女,江苏,67,121,53,回复@海边的风采:希望可以更精准一些，我们确诊人数不多，做到公布相信信息应该可以的，这样才更好的可防可控啊，也有可能官方怕引起恐慌吧,0,2020-02-04 12:51
https://weibo.cn//u/6091041572,海边的风采,男,辽宁,1786,133,268,回复@博小猴11:那个也没多么细致，只不过更详细一点儿，告诉都是哪个区或是县的了,0,2020-02-04 12:37
https://weibo.cn//u/5515472799,Lucky111孙,女,江苏,67,121,53,回复@海边的风采:感谢，终于找到有公布的地方了,0,2020-02-04 12:35
https://weibo.cn//u/6091041572,海边的风采,男,辽宁,1786,133,268,回复@博小猴11:请关注大庆发布，那里又公布的,1,2020-02-04 12:34
https://weibo.cn//u/2695041601,Electrician刘电工,男,河北,482,118,303,能不能像其他省市发布一样，公布感染人员的轨迹？,3,2020-02-04 12:25
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@博小猴11:您提的建议我们会向防控相关部门转递，感谢您的信任和理解,2,2020-02-04 12:10
https://weibo.cn//u/5515472799,Lucky111孙,女,江苏,67,121,53,大庆能不能公布确诊的具体区和小区，以及接触人群，越明确也不会有这么多人信传谣了,3,2020-02-04 11:59
