评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,你好，我是大同区林源镇的住户，我想反应个问题，我们林源这确实是封路了，可是对于进出车辆里的人不测体温，你们也是执法人员，能不能解决一下这个问题啊，感觉我们林源对这件事认识不够充分，麻烦帮忙解决，谢谢！,12,2020-02-06 19:53
https://weibo.cn//u/6010104842,刘以逃,男,其他,0,40,133, ,2,2020-02-07 10:22
https://weibo.cn//u/5659060760,Fine心态-性格-习惯,男,黑龙江,33,186,134,警察叔叔，最近被微信封群的消息恶心死了，我坚信不造谣不传谣不做违法乱纪的事不会被封，麻烦辟谣一下，我截个图给家里长辈看一下,2,2020-02-07 10:27
https://weibo.cn//u/3243757400,安徽商贸学院警务室,男,安徽,132675,2825,20570,     举报             赞[0]         回复             2020-02-09 17:13:28 来自网页,0,2020-02-09 17:13
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,回复@大庆网警巡查执法:我给您私信了，麻烦您看一下谢谢,0,2020-02-08 07:13
https://weibo.cn//u/5955775310,我没打算起这么长的名字,女,黑龙江,429,340,61,回复@加油2020武汉:我们这儿几乎没人出门 宣传力度已经算可以的了 没戴口罩有些人是因为买不到口罩 不过确实听说其他地方有一些中老年人不听劝,0,2020-02-08 06:40
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,回复@阿展_:林源这比较偏僻，大家都觉得和自己无关，意识比较淡吧，愁人，我这后天要出去买菜现在就得开始做心里建设了,0,2020-02-08 06:34
https://weibo.cn//u/1850812163,Arsenal_Leehom517,女,江苏,217,1607,12411,回复@Fine心态-性格-习惯:被多人举报是真的会封群哦，我看见过提示，不过当时是因为别的事情,0,2020-02-08 01:01
https://weibo.cn//u/5678997479,阿展_,男,黑龙江,24,134,121,回复@猴小美没眉毛:你别说 还真有不当回事儿的…  我上周还看见没戴口罩的呢,0,2020-02-07 21:57
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@陈小脸儿啊:有问题可以私信,1,2020-02-07 21:00
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@猴小美没眉毛:你好，会将你提的问题如实向相关部门转递,1,2020-02-07 21:00
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@刘以逃:已私信回复,0,2020-02-07 20:58
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,回复@阿展_:多危险啊，难道他们不怕么，我要不是非得和我妈买菜，我们一周都不下一趟楼,0,2020-02-07 20:52
https://weibo.cn//u/5544740597,於琪啊,女,黑龙江,848,176,43,大庆还真有,0,2020-02-07 20:24
https://weibo.cn//u/1401253282,繁华落幕1401253282,男,其他,40,95,10,不该这时候涣散人心,0,2020-02-07 20:09
https://weibo.cn//u/5678997479,阿展_,男,黑龙江,24,134,121,回复@猴小美没眉毛:这两天不太冷出来的人多了…  我在十区,0,2020-02-07 20:07
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,回复@阿展_:你看到了呀，你几区的啊，我们八区这也是很敷衍，我还发现今天开始来回走动的人还多起来了呢,0,2020-02-07 19:56
https://weibo.cn//u/3285860530,UNTiTlED-2014,女,其他,2455,2417,419,虽然我家小区楼道天天消毒 物业挨家挨户送了酒精 但是黑龙江涨这么快为什么还没意识呢 确诊人数都超过北京了 北京人口不比大庆多几倍了 肯定有地方还没有管理到位 麻烦大庆加强一下管理,2,2020-02-07 18:55
https://weibo.cn//u/5678997479,阿展_,男,黑龙江,24,134,121,回复@猴小美没眉毛:小区好像用东西拦住了 不过感觉好像有点敷衍,0,2020-02-07 17:13
https://weibo.cn//u/7383922682,豆角是我的最爱,男,黑龙江,17,35,57,希望别特么是真的  别几把怕引起恐慌就几把压着  大庆有老多人出门根本不带口罩  昨天去了趟超市  一半人不带口罩   这特么就说明你们宣传力度不够  草,2,2020-02-07 16:56
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,回复@阿展_:其实就应该趁着没有感染者赶紧封路，林源这和让胡路的联系还是很多的,0,2020-02-07 16:30
https://weibo.cn//u/5678997479,阿展_,男,黑龙江,24,134,121,回复@猴小美没眉毛:早应该封上了,0,2020-02-07 16:14
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,回复@阿展_:没封路，只是有警察在那查车，要是封路就好了,0,2020-02-07 16:07
https://weibo.cn//u/5678997479,阿展_,男,黑龙江,24,134,121,回复@猴小美没眉毛:林源在哪里封的路呀,0,2020-02-07 15:37
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314,     举报             赞[0]         回复             2020-02-07 14:38:06 来自网页,0,2020-02-07 14:38
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,@大庆网警巡查执法,0,2020-02-07 11:26
https://weibo.cn//u/2880515942,吃猫的大老虎啊,女,海外,4,71,20,回复@猴小美没眉毛:希望有人回复你,0,2020-02-07 10:33
https://weibo.cn//u/5659060760,Fine心态-性格-习惯,男,黑龙江,33,186,134,警察叔叔，最近被微信封群的消息恶心死了，我坚信不造谣不传谣不做违法乱纪的事不会被封，麻烦辟谣一下，我截个图给家里长辈看一下,2,2020-02-07 10:27
https://weibo.cn//u/6010104842,刘以逃,男,其他,0,40,133, ,2,2020-02-07 10:22
https://weibo.cn//u/6469520560,循环的风景,男,北京,6,97,36,回复@猴小美没眉毛:不知道有没有人回复你,0,2020-02-07 09:12
https://weibo.cn//zhaijiajia520,猴小美没眉毛,女,黑龙江,302,427,130,你好，我是大同区林源镇的住户，我想反应个问题，我们林源这确实是封路了，可是对于进出车辆里的人不测体温，你们也是执法人员，能不能解决一下这个问题啊，感觉我们林源对这件事认识不够充分，麻烦帮忙解决，谢谢！,12,2020-02-06 19:53
