评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,哪句话是谣言不解释一下吗,18,2020-02-08 22:43
https://weibo.cn//u/2774272470,文2012-,男,江苏,72,57,22,她说酒精和口罩买不到是真的还是假的？,6,2020-02-09 18:50
https://weibo.cn//tongzhounewcity,乡间一年,男,北京,5200,45,82308,看了一下，这个用户还在发微博啊？,4,2020-02-09 07:58
https://weibo.cn//u/7378537548,不在线的小羊,男,北京,158,85,7,这人30多岁了还是没长脑子。。白活了,0,2020-02-19 08:14
https://weibo.cn//u/3985625092,金家小胖脂,男,黑龙江,1819,326,3899,回复@_rau1adi:,0,2020-02-12 18:35
https://weibo.cn//u/2854922025,扶我起来我还能胖,男,天津,98,122,156,回复@_rau1adi:你是我子女还是啥我教你？嗯？你也配？我小外甥现在小学素质教育中，他给你当老师都有富裕，网络上真的是给了你一层面纱，让你这种喷子杠精有了一展才能的机会阿。滚远点，你这种优越狗就是家教缺乏的产物。,0,2020-02-11 19:02
https://weibo.cn//u/2854922025,扶我起来我还能胖,男,天津,98,122,156,回复@_rau1adi:咱也不知道你这无脑的优越感在哪来的。呵呵。说你沙雕你还总觉得委屈。滚远点。,0,2020-02-11 18:58
https://weibo.cn//u/3772006774,无法黑化的受气包,女,其他,711,658,828,回复@_rau1adi:我觉得有些人 傻了…… 不知道谁才是自己人了,0,2020-02-11 18:54
https://weibo.cn//u/5172712894,敏敏特穆尔83982,男,其他,2,108,62,理解不了,1,2020-02-11 17:23
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@blankcolorful:我对社会做的贡献肯定跟你这种玩游戏的小孩不是一个级别的，无言以对已经开始人身攻击了吗？真low,0,2020-02-11 14:59
https://weibo.cn//u/5624567314,blankcolorful,男,其他,488,68,41,回复@_rau1adi:现在又开始借口了，你除了当杠精扰乱社会，还会干什么？就是有你这种活该才让灾难变得更混乱。,0,2020-02-11 14:55
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@扶我起来我还能胖:我哪不是好好提问？在我国社会主义法治建设中哪提过乱世用重典这个词吗？我怎么做用不着你教，你也配？哪凉快哪呆着去吧,1,2020-02-11 14:51
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@blankcolorful:我可没说过瞒报，不知道你眼睛长哪去了。另外质疑数字就是扰乱社会治安？你说了算的？,1,2020-02-11 14:44
https://weibo.cn//u/5624567314,blankcolorful,男,其他,488,68,41,回复@_rau1adi:你张嘴就说瞒报了，但是每天都公布数字，只是这个数字你不相信。但是你又没办法，只能乱咬人。质疑公布数字。你这是扰乱社会治安！！！,0,2020-02-11 12:12
https://weibo.cn//u/2854922025,扶我起来我还能胖,男,天津,98,122,156,回复@_rau1adi:跟人民群众沟通不是跟杠精沟通，给你回复了你就好好读读，然后再不明白直接拨打市长热线，在网上杠的有来有回的，你还挺能挑刺。武汉公安那边裁定没判这边就不能判？法律给的区间就一定是首例无罪其后都无罪？动脑子打字，别为了抬杠而抬杠。你想明白了再回复，要是抬杠发言就别回了，没意义。,0,2020-02-11 11:50
https://weibo.cn//u/2854922025,扶我起来我还能胖,男,天津,98,122,156,回复@_rau1adi:你这是好好提问？保持理性好么？我国司法体系中是不支持有罪假设的。乱世用重典这个词不知道你怎么理解的，扰乱公共治安，网上造谣拘留十天是在我国法律中有明文规定的，你要是不知道可以自己百度一下，别跟个憋疯了似的杠精看啥都不顺眼,0,2020-02-11 11:47
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@大庆网警巡查执法:作为基层治理体系的一环推进治理能力现代化，就要敢于正面回答人民群众的问题而不是来回说车轱辘话。我看不明白那个处罚书上写的东西？我看了觉得那个处罚书写的不清楚不明白，容易引起质疑所以才问的。高高在上的自说自话，答非所问，这是跟人民群众的的沟通态度？,4,2020-02-11 09:46
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@_rau1adi:在微博下面文明发言，不要随便侮辱他人！,0,2020-02-11 09:20
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@_rau1adi:肇源这个案件，第一张拘留处罚书上面很清楚的说了肇源警方处理的事由和依据，请您保持理性，不要通过只言片语，片面偏激的进行判断,0,2020-02-11 09:16
https://weibo.cn//u/6447921680,狗尾巴草198208,男,其他,3,210,12,口罩和酒精在药店确实买不到啊,2,2020-02-10 16:28
https://weibo.cn//jntqjcy,济南市天桥区人民检察,男,山东,31642,571,59139,     举报             赞[0]         回复             2020-02-10 12:17:58 来自网页,0,2020-02-10 12:17
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,@大庆网警巡查执法,0,2020-02-10 09:40
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@宇宙无敌超级小肥茶:我询问数量可以回复以官方为准，我问的是他说的哪句是谣言，你说人家造谣不得说明白人家那句说得有毛病，怎么有问题的事实是什么样的。,2,2020-02-10 02:23
https://weibo.cn//chachamalu,宇宙无敌超级小肥茶,女,广东,8148,578,1147,回复@_rau1adi:以官方为准的意思就是说官方瞞报是造谣咯。如果你不信又没有证据，用什么反驳呢？你以为这是哪里,0,2020-02-10 02:15
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@宇宙无敌超级小肥茶:你看那回复有任何有效信息吗,0,2020-02-10 02:08
https://weibo.cn//chachamalu,宇宙无敌超级小肥茶,女,广东,8148,578,1147,回复@_rau1adi:大庆网警不是复你了吗～,0,2020-02-10 02:05
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@青芒酱油:有没有证据你等大庆网警来说，这评论下面不少问这个的，你不配，另外让我生气你更不配了,0,2020-02-10 00:12
https://weibo.cn//u/7365943361,青芒酱油,女,山西,3014,567,35,回复@_rau1adi:还是那话。证据。没证据自然是谣言。至于我干嘛的。专门气死你们这样脑子单细胞的。,0,2020-02-10 00:09
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@青芒酱油:你知道有没有？公安机关都没能直面这个问题，你算干嘛地的,0,2020-02-10 00:04
https://weibo.cn//u/7365943361,青芒酱油,女,山西,3014,567,35,回复@_rau1adi:黑龙江确实感染多。但是瞒报有证据？,0,2020-02-10 00:01
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@青芒酱油:我不用看黑龙江的疫情播报也知道那上面不会说他们瞒报了，不过就这几天黑龙江的数字屡次核减变化也能知道水平如何，作为一个远离武汉的地区，感染人数多死亡病例多，真是,2,2020-02-10 00:00
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@大庆网警巡查执法:大庆本地药店的口罩酒精好买不？政府部门的食堂有饭吃不这些信息公告上没有啊。武汉公安因为病毒跟sars只有70%的相似度认定医生说SARS算是造谣还算得上有理有据，还只是客气请来谈话，你们这直接拘留10天也把人家是怎么造谣的说清楚让人民群众看明白吧，毕竟最近网上群情激昂,7,2020-02-09 23:43
https://weibo.cn//u/7365943361,青芒酱油,女,山西,3014,567,35,回复@咔嚓一生0219:,0,2020-02-09 23:38
https://weibo.cn//rauladi,_rau1adi,男,北京,1071,392,1093,回复@靖哥哥Joy:我脑子比你强多了，你是大庆相关部门的负责人？知道人家有没有证据？,1,2020-02-09 23:32
https://weibo.cn//u/7365943361,青芒酱油,女,山西,3014,567,35,回复@咔嚓一生0219:图片里说了啊。所以我说图片里那么多话你一句都没看啊？,0,2020-02-09 22:36
https://weibo.cn//u/3735262623,种花家的圆兔子,男,其他,2314,2213,178,国家抓造谣人应当公布其原本言论的全部内容，并用事情的真相去证明自己，否则辟谣本质上与造谣无异！,4,2020-02-09 22:03
