评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,@大庆网警巡查执法,0,2020-02-24 10:51
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,网传大庆市让胡路区7处小区单元门被焊死，这是不实信息！,0,2020-02-22 10:14
https://weibo.cn//u/6722675207,蓝星的客人,男,广东,1226,263,362,我要在辟谣信息里露个脸证明我来过,1,2020-02-22 18:00
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,@大庆网警巡查执法,0,2020-02-24 10:51
https://weibo.cn//u/6871915187,请叫我曹师傅,男,其他,6,1214,40,如果发生火灾或者其他紧急情况就有意思了,0,2020-02-23 09:04
https://weibo.cn//mochenxin,莫伍1990,男,黑龙江,618,484,314,回复@智愚公:确实派人守住更人性化，现在的举措也是迫不得已，因为没有那么多的人手24小时守门以及很多其他的困难，希望您能理解。,0,2020-02-23 07:57
https://weibo.cn//zhongaiella,傲娇的小11,男,黑龙江,44,57,241,@果子_Echo,0,2020-02-22 19:43
https://weibo.cn//u/2604211571,Pain-YY,男,黑龙江,578,947,217,的确不实，不是焊死，但是单元门确实封闭了，西苑小区各别单元，创业城9区各别单元,1,2020-02-22 18:59
https://weibo.cn//u/6722675207,蓝星的客人,男,广东,1226,263,362,我要在辟谣信息里露个脸证明我来过,1,2020-02-22 18:00
https://weibo.cn//u/3968662319,Cash-Mong,男,黑龙江,53,123,242,回复@YN2B:擦 封区了 贼骚,0,2020-02-22 12:08
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,网传大庆市让胡路区7处小区单元门被焊死，这是不实信息！,0,2020-02-22 10:14
https://weibo.cn//u/1085405611,YN2B,男,海外,5444,1813,584,@Cash-Mong,0,2020-02-22 04:35
https://weibo.cn//u/1992726562,智愚公,男,广东,2970,286,712,锁门不好吧，派人守住比较好,1,2020-02-21 23:30
https://weibo.cn//u/2961880211,来这看热闹,男,黑龙江,2680,322,191,着火了怎么办？现打电话叫人还赶趟儿吗？,1,2020-02-21 22:35
https://weibo.cn//u/2022031651,靓靓要努力学习,女,江苏,8659,417,162,啊哈哈又轮到我们了,0,2020-02-21 22:13
