评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314, 举报 赞[1] 回复 2020-02-24 14:07:32 来自网页,1,2020-02-24 14:07
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,@大庆网警巡查执法,0,2020-02-24 10:51
https://weibo.cn//u/5375603707,韩城检察,男,陕西,42861,1752,25476, 举报 赞[0] 回复 2020-02-26 10:46:55 来自网页,0,2020-02-26 10:46
https://weibo.cn//u/5375603707,韩城检察,男,陕西,42861,1752,25476,     举报             赞[0]         回复             2020-02-26 10:46:55 来自网页,0,2020-02-26 10:46
https://weibo.cn//u/5489807305,孙离尘,男,北京,32,14,53,我也领过一次 医保和社保 但不是每天都能领  一看就是谣言,0,2020-02-25 15:00
https://weibo.cn//u/1727125387,梦里梅花落,女,江苏,1761,681,1797,回复@爱德华春申:我就在思考补贴口罩说的这个谣言为什么跟腾讯绑定电子医保卡活动赶一块儿的呢？,0,2020-02-25 12:57
https://weibo.cn//u/2706892580,穿越本超星系团,女,其他,63,189,251,@喵星人小武哥,1,2020-02-25 10:03
https://weibo.cn//u/5208213227,灬禁哥哥,男,其他,62,92,85,@我叫侯小仙儿_,0,2020-02-24 23:47
https://weibo.cn//u/5553292026,旧yan刺心BUT精彩,女,山东,383,211,134,我领了还提现了,0,2020-02-24 23:26
https://weibo.cn//u/2671234783,骑着猪的面包君,女,上海,1771,2213,4409,上面说的是口罩补贴。天天好领 。,0,2020-02-24 21:58
https://weibo.cn//u/1890957442,东方高加索的失格人间幽灵,男,湖南,2878,353,79,回复@刘海分个叉菇凉:,0,2020-02-24 18:33
https://weibo.cn//u/5836660263,爱德华春申微博早日破产,男,海外,10225,661,755,回复@喋喋我是diadia:哦哦,0,2020-02-24 18:33
https://weibo.cn//u/1311467411,Elan-esther,女,浙江,261,153,110,回复@爱德华春申:你都激活腾讯的电子医保卡了，当然会领到前。那京东开个白条还能优惠50元呢。这和口罩补贴没关系。,1,2020-02-24 18:31
https://weibo.cn//u/1697224724,刘海分个叉菇凉,女,广东,343,184,248, 假的 哈哈哈哈,1,2020-02-24 18:20
https://weibo.cn//u/6824772278,现又怕见到你,男,湖南,1141,256,16,只能领一次，而且叫社保福利补贴,2,2020-02-24 18:19
https://weibo.cn//u/1781535513,喋喋我是diadia,女,广东,6745,875,257,回复@爱德华春申:你看看啊，辟谣这里说的是口罩补贴！而实际上那个是腾讯激活医保电子凭证的活动的零钱。都不一样,0,2020-02-24 17:54
https://weibo.cn//u/5836660263,爱德华春申微博早日破产,男,海外,10225,661,755,我家人已经领到2.4元了！腾讯健康小程序和人社部门搞的！怎么可能是谣言！,0,2020-02-24 17:41
https://weibo.cn//u/1669338070,哈尔滨的想念,女,黑龙江,185,345,136,回复@糖团儿团儿:你那个一个是医保激活福利，一个是电子社保卡激活福利,0,2020-02-24 17:33
https://weibo.cn//u/2845905947,不想游泳的鱼dd,女,其他,84,495,207,回复@朵朵是个小肉球:反正我只领了一天，有的人还说4.1前每天可以领。听别人说不如自己操作一下来的真实,1,2020-02-24 17:06
https://weibo.cn//ispepsi,打鸣一派,男,河北,228,1053,130,回复@糖团儿团儿:按微信上的说明是每人限制领一次，难道是出bug了,0,2020-02-24 17:05
https://weibo.cn//u/2090173075,墭嗄Van,男,四川,27,151,29,回复@糖团儿团儿:那就不清楚了 查看动图,1,2020-02-24 17:03
https://weibo.cn//539771012,低调做人收敛锋芒,女,福建,8040,97,1468,回复@朵朵是个小肉球:有的人领了两天,0,2020-02-24 17:01
https://weibo.cn//u/2110862167,糖团儿团儿,女,河北,55,11,416,回复@墭嗄Van:可是我领了两天了,0,2020-02-24 16:55
https://weibo.cn//u/2090173075,墭嗄Van,男,四川,27,151,29,这个是社保20周年活动，微信初次绑定电子社保卡可领取一定奖励，活动期每个初绑社保账户只领取一定奖励，以往已经绑定的没有，活动截止日期4月1号，跟口罩、疫情没有任何关系！,2,2020-02-24 16:49
https://weibo.cn//u/2845905947,不想游泳的鱼dd,女,其他,84,495,207,回复@CG超超:不是每天都领，就是社保补助，1-2块钱，领一次,2,2020-02-24 16:45
https://weibo.cn//u/3894446888,CG超超,男,湖北,304,61,75,有些人真领到了是咋回事啊,2,2020-02-24 16:43
https://weibo.cn//u/6384461249,德映日月,男,安徽,15153,13110,1942,“摇”篮里做的梦“言”出来，就是“谣”言,0,2020-02-24 16:42
https://weibo.cn//u/6285362680,潍坊市人民检察院,男,山东,31462,364,26078,     举报             赞[0]         回复             2020-02-24 16:03:09 来自网页,0,2020-02-24 16:03
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314,     举报             赞[1]         回复             2020-02-24 14:07:32 来自网页,1,2020-02-24 14:07
https://weibo.cn//u/6319066146,xiaowenmeng,男,黑龙江,8362,4829,414,这都有人信？？？,4,2020-02-24 13:52
https://weibo.cn//u/5874474627,JiNgYu欣,女,其他,24,104,99,@皮皮佳不皮哦,0,2020-02-24 11:27
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,@大庆网警巡查执法,0,2020-02-24 10:51
