评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//youweiyoubo,皇妹夫,男,北京,1601,255,1192,造谣处罚太轻，谣言造成的恐慌是无形的就可以轻判?,4,2020-03-03 13:40
https://weibo.cn//u/6225206899,你今天听trap了吗,男,黑龙江,73,60,48,杜蒙也在传 是真是假,1,2020-03-03 21:17
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314, 举报 赞[1] 回复 2020-03-04 14:27:34 来自网页,1,2020-03-04 14:27
https://weibo.cn//u/6619292724,辛笛珈,女,黑龙江,14,171,82,之前就听人传肇州有两个韩国回来的，被隔离了！，谁知道真假,0,2020-03-05 14:51
https://weibo.cn//u/6560047570,一位服装贩子,男,黑龙江,2,38,7,这一天，这些人闲的都🥚疼，可是张一张破嘴了。都快50了，能消停会不。,0,2020-03-04 18:55
https://weibo.cn//u/5054130629,HaKuRyuo,男,陕西,14,350,251,笑死了,0,2020-03-04 16:55
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314,     举报             赞[1]         回复             2020-03-04 14:27:34 来自网页,1,2020-03-04 14:27
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@别再封我微博号了:具体情况私信发我,0,2020-03-04 07:12
https://weibo.cn//u/3243757400,安徽商贸学院警务室,男,安徽,132675,2825,20570,     举报             赞[0]         回复             2020-03-04 04:12:21 来自网页,0,2020-03-04 04:12
https://weibo.cn//u/6225206899,你今天听trap了吗,男,黑龙江,73,60,48,杜蒙也在传 是真是假,1,2020-03-03 21:17
https://weibo.cn//u/2313186512,百里秋声,男,上海,502,92,169,谣言传播为哪般？微信群里占一半。,0,2020-03-03 20:50
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314,     举报             赞[1]         回复             2020-03-03 19:51:18 来自网页,1,2020-03-03 19:51
https://weibo.cn//tcsjcy,铜川检察,男,陕西,34258,791,4374,     举报             赞[0]         回复             2020-03-03 19:12:58 来自网页,0,2020-03-03 19:12
https://weibo.cn//u/5036270767,梅河口记录者,女,吉林,15775,520,27770,     举报             赞[0]         回复             2020-03-03 18:19:39 来自网页,0,2020-03-03 18:19
https://weibo.cn//u/1920402284,Akira你不懂爱,男,其他,1004,471,260,他为什么要造这么个谣？你们调查说明一下吧。,0,2020-03-03 17:37
https://weibo.cn//xihesf,陇南西和司法,男,甘肃,32876,998,15063,     举报             赞[0]         回复             2020-03-03 16:30:30 来自网页,0,2020-03-03 16:30
https://weibo.cn//jntqjcy,济南市天桥区人民检察,男,山东,31642,571,59139,     举报             赞[0]         回复             2020-03-03 15:23:32 来自网页,0,2020-03-03 15:23
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@皇妹夫:公安机关依法办案，具体处罚结果要办案部门、法制部门依据案情、造成的结果等决定,2,2020-03-03 13:54
https://weibo.cn//youweiyoubo,皇妹夫,男,北京,1601,255,1192,造谣处罚太轻，谣言造成的恐慌是无形的就可以轻判?,4,2020-03-03 13:40
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697, ,0,2020-03-03 11:40
